8191,"SELECT ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g< #"
2019-06-05 18:33:00,1
2019-06-05 18:36:00,1
2019-06-05 19:01:00,1
2019-06-05 19:04:00,1
2019-06-05 19:05:00,1
2019-06-05 19:07:00,1
2019-06-05 19:08:00,1
2019-06-05 19:10:00,1
2019-06-05 19:11:00,1
2019-06-05 19:13:00,1
2019-06-05 19:14:00,1
2019-06-05 19:17:00,1
2019-06-05 19:21:00,1
2019-06-05 19:25:00,1
2019-06-05 19:28:00,1
2019-06-05 19:31:00,1
2019-06-05 19:34:00,1
2019-06-05 19:37:00,1
2019-06-05 19:40:00,1
2019-06-05 19:50:00,1
2019-06-05 19:54:00,1
2019-06-05 19:57:00,1
2019-06-05 20:00:00,1
2019-06-05 20:03:00,1
2019-06-05 20:06:00,1
2019-06-05 20:10:00,1
2019-06-05 20:13:00,1
2019-06-05 20:16:00,1
2019-06-05 20:17:00,1
2019-06-05 20:19:00,1
2019-06-05 20:20:00,1
2019-06-05 20:24:00,1
2019-06-05 20:27:00,1
2019-06-05 20:30:00,1
2019-06-05 20:33:00,1
2019-06-05 20:36:00,1
2019-06-05 20:39:00,1
2019-06-05 20:42:00,1
2019-06-05 20:45:00,1
2019-06-05 20:48:00,1
2019-06-05 20:52:00,1
2019-06-05 20:55:00,1
2019-06-05 20:59:00,1
2019-06-05 21:06:00,1
2019-06-05 21:09:00,1
2019-06-05 21:15:00,1
2019-06-05 21:18:00,1
2019-06-05 21:21:00,1
2019-06-05 21:24:00,1
2019-06-05 21:27:00,1
2019-06-05 21:29:00,1
2019-06-05 21:33:00,1
2019-06-05 21:36:00,1
2019-06-05 21:39:00,1
2019-06-05 21:42:00,1
2019-06-05 21:45:00,1
2019-06-05 21:48:00,1
2019-06-05 21:51:00,1
2019-06-05 21:54:00,1
2019-06-05 21:57:00,1
2019-06-05 22:00:00,1
2019-06-05 22:04:00,1
2019-06-05 22:07:00,1
2019-06-05 22:10:00,1
2019-06-05 22:11:00,1
2019-06-05 22:13:00,1
2019-06-05 22:14:00,1
2019-06-05 22:17:00,1
2019-06-05 22:18:00,1
2019-06-05 22:20:00,2
2019-06-05 22:23:00,1
2019-06-05 22:26:00,1
2019-06-06 07:54:00,5
2019-06-06 07:55:00,3
2019-06-06 07:56:00,12
2019-06-06 07:58:00,1
2019-06-06 07:59:00,4
2019-06-06 08:00:00,2
2019-06-06 08:37:00,1
2019-06-06 09:19:00,1
2019-06-06 09:26:00,1
2019-06-06 09:30:00,1
2019-06-06 09:37:00,1
2019-06-06 09:41:00,1
2019-06-06 09:46:00,1
2019-06-06 09:51:00,1
2019-06-06 10:01:00,2
2019-06-06 16:03:00,2
2019-06-06 16:11:00,2
2019-06-06 16:13:00,1
2019-06-06 16:15:00,1
2019-06-06 16:17:00,1
2019-06-06 16:21:00,1
2019-06-06 16:25:00,1
2019-06-06 16:26:00,1
2019-06-06 16:36:00,1
2019-06-06 16:37:00,1
2019-06-06 16:38:00,1
2019-06-06 16:40:00,1
2019-06-06 16:42:00,1
2019-06-06 16:44:00,1
2019-06-06 16:45:00,1
2019-06-06 16:49:00,1
2019-06-06 16:50:00,1
2019-06-06 16:53:00,1
2019-06-06 16:57:00,1
2019-06-06 17:02:00,1
2019-06-06 17:07:00,1
2019-06-06 17:10:00,1
2019-06-06 17:11:00,2
2019-06-06 17:14:00,3
2019-06-06 17:18:00,2
2019-06-06 17:21:00,1
2019-06-06 17:25:00,1
2019-06-06 17:29:00,1
2019-06-06 17:36:00,1
2019-06-06 17:39:00,1
2019-06-06 17:45:00,1
2019-06-06 17:50:00,2
2019-06-06 17:55:00,2
2019-06-06 18:00:00,1
2019-06-06 18:05:00,1
2019-06-06 18:10:00,1
2019-06-06 18:14:00,1
2019-06-06 18:18:00,1
2019-06-06 18:22:00,1
2019-06-06 18:28:00,1
2019-06-06 18:32:00,1
2019-06-06 18:34:00,1
2019-06-06 18:35:00,1
2019-06-06 18:37:00,1
2019-06-06 18:39:00,1
2019-06-06 18:40:00,1
2019-06-06 18:43:00,1
2019-06-06 18:44:00,1
2019-06-06 18:47:00,2
2019-06-06 18:50:00,1
2019-06-06 18:51:00,1
2019-06-06 18:54:00,2
2019-06-06 18:59:00,1
2019-06-06 19:02:00,1
2019-06-06 19:10:00,1
2019-06-06 19:20:00,1
2019-06-06 19:27:00,1
2019-06-06 19:33:00,1
2019-06-06 19:37:00,2
2019-06-06 19:45:00,2
2019-06-06 19:49:00,1
2019-06-06 19:52:00,4
2019-06-06 19:56:00,2
2019-06-06 20:00:00,1
2019-06-06 20:03:00,1
2019-06-06 20:10:00,1
2019-06-06 20:17:00,1
2019-06-06 20:22:00,1
2019-06-06 20:27:00,1
2019-06-06 20:31:00,1
2019-06-06 20:33:00,1
2019-06-06 20:34:00,1
2019-06-06 20:37:00,1
2019-06-06 20:38:00,1
2019-06-06 20:40:00,1
2019-06-06 20:42:00,1
2019-06-06 20:44:00,1
2019-06-06 20:45:00,1
2019-06-06 20:49:00,2
2019-06-06 20:53:00,1
2019-06-06 20:54:00,1
2019-06-06 20:58:00,2
2019-06-06 21:03:00,1
2019-06-06 21:04:00,1
2019-06-06 21:07:00,1
2019-06-06 21:09:00,1
2019-06-06 21:11:00,1
2019-06-06 21:14:00,2
2019-06-06 21:17:00,1
2019-06-06 21:18:00,1
2019-06-06 21:21:00,2
2019-06-06 21:26:00,1
2019-06-06 21:34:00,1
2019-06-06 21:40:00,1
2019-06-06 21:47:00,1
2019-06-06 21:55:00,4
2019-06-06 21:59:00,4
2019-06-06 22:04:00,2
2019-06-06 22:05:00,1
2019-06-06 22:08:00,2
2019-06-06 22:10:00,1
2019-06-06 22:12:00,1
2019-06-06 22:16:00,1
2019-06-06 22:18:00,1
2019-06-06 22:20:00,1
2019-06-06 22:26:00,1
2019-06-06 22:30:00,1
2019-06-06 22:33:00,1
2019-06-06 22:36:00,1
2019-06-06 22:39:00,1
2019-06-06 22:43:00,1
2019-06-07 09:24:00,4
2019-06-07 09:31:00,3
2019-06-07 13:17:00,12
2019-06-07 13:18:00,4
2019-06-07 13:19:00,20
2019-06-07 13:20:00,4
2019-06-07 13:21:00,3
2019-06-07 18:32:00,1
2019-06-07 18:34:00,1
2019-06-07 18:39:00,1
2019-06-07 18:40:00,1
2019-06-07 18:43:00,1
2019-06-07 18:47:00,1
2019-06-07 18:51:00,1
2019-06-07 18:56:00,1
2019-06-07 18:59:00,1
2019-06-07 19:01:00,1
2019-06-07 19:04:00,1
2019-06-07 19:05:00,2
2019-06-07 19:08:00,1
2019-06-07 19:12:00,1
2019-06-07 19:16:00,1
2019-06-07 19:17:00,1
2019-06-07 19:23:00,1
2019-06-07 19:34:00,1
2019-06-07 19:37:00,1
2019-06-07 19:39:00,1
2019-06-07 19:44:00,1
2019-06-07 19:48:00,2
2019-06-07 19:52:00,2
2019-06-07 19:55:00,4
2019-06-07 19:58:00,1
2019-06-07 19:59:00,1
2019-06-07 20:01:00,1
2019-06-07 20:02:00,1
2019-06-07 20:05:00,1
2019-06-07 20:08:00,2
2019-06-07 20:12:00,1
2019-06-07 20:15:00,1
2019-06-07 20:21:00,1
2019-06-07 20:28:00,1
2019-06-07 20:32:00,1
2019-06-07 20:36:00,2
2019-06-07 20:40:00,1
2019-06-07 20:42:00,1
2019-06-07 20:44:00,1
2019-06-07 20:46:00,1
2019-06-07 20:49:00,1
2019-06-07 20:50:00,1
2019-06-07 20:54:00,1
2019-06-07 20:55:00,1
2019-06-07 20:58:00,1
2019-06-07 21:00:00,1
2019-06-07 21:02:00,1
2019-06-07 21:04:00,1
2019-06-07 21:07:00,1
2019-06-07 21:10:00,1
2019-06-07 21:13:00,1
2019-06-07 21:15:00,1
2019-06-07 21:17:00,1
2019-06-07 21:20:00,1
2019-06-07 21:22:00,1
2019-06-07 21:24:00,1
2019-06-07 21:30:00,1
2019-06-07 21:34:00,1
2019-06-07 21:39:00,1
2019-06-07 21:42:00,1
2019-06-07 21:47:00,1
2019-06-07 21:55:00,1
2019-06-07 21:59:00,1
2019-06-08 17:16:00,2
2019-06-08 17:23:00,1
2019-06-08 17:24:00,1
2019-06-08 17:26:00,1
2019-06-08 17:33:00,1
2019-06-08 17:37:00,1
2019-06-08 17:40:00,1
2019-06-08 17:42:00,1
2019-06-08 17:45:00,1
2019-06-08 17:46:00,1
2019-06-08 17:49:00,2
2019-06-08 17:53:00,1
2019-06-08 17:57:00,1
2019-06-08 18:02:00,1
2019-06-08 18:06:00,1
2019-06-08 18:09:00,1
2019-06-08 18:10:00,1
2019-06-08 18:13:00,1
2019-06-08 18:16:00,1
2019-06-08 18:17:00,1
2019-06-08 18:20:00,1
2019-06-08 18:21:00,1
2019-06-08 18:24:00,2
2019-06-08 18:29:00,1
2019-06-08 18:33:00,1
2019-06-08 18:37:00,2
2019-06-08 18:42:00,1
2019-06-08 18:48:00,1
2019-06-08 18:53:00,1
2019-06-08 18:58:00,1
2019-06-08 19:01:00,1
2019-06-08 19:02:00,1
2019-06-08 19:05:00,2
2019-06-08 19:06:00,1
2019-06-08 19:09:00,1
2019-06-08 19:10:00,1
2019-06-08 19:14:00,1
2019-06-08 19:15:00,1
2019-06-08 19:18:00,1
2019-06-08 19:20:00,1
2019-06-08 19:23:00,1
2019-06-08 19:24:00,1
2019-06-08 19:28:00,1
2019-06-08 19:33:00,1
2019-06-08 19:41:00,1
2019-06-08 19:47:00,2
2019-06-08 19:49:00,2
2019-06-08 19:51:00,2
2019-06-08 19:52:00,1
2019-06-08 19:53:00,1
2019-06-09 09:15:00,3
2019-06-10 07:19:00,1
2019-06-10 07:22:00,1
2019-06-10 07:25:00,1
2019-06-10 07:29:00,1
2019-06-10 07:32:00,1
2019-06-10 07:35:00,1
2019-06-10 07:38:00,1
2019-06-10 07:41:00,1
2019-06-10 07:44:00,1
2019-06-10 07:47:00,1
2019-06-10 07:50:00,1
2019-06-10 07:54:00,1
2019-06-10 09:21:00,7
2019-06-10 18:36:00,4
2019-06-11 02:11:00,1
2019-06-11 02:14:00,1
2019-06-11 13:59:00,1
2019-06-11 14:02:00,1
2019-06-11 14:12:00,1
2019-06-11 16:51:00,1
2019-06-11 17:33:00,1
2019-06-11 17:36:00,1
2019-06-11 17:39:00,1
2019-06-11 17:43:00,1
2019-06-11 17:46:00,1
2019-06-11 17:50:00,1
2019-06-11 17:53:00,1
2019-06-11 17:56:00,1
2019-06-11 18:00:00,1
2019-06-11 18:04:00,1
2019-06-11 18:07:00,1
2019-06-11 18:11:00,1
2019-06-11 18:15:00,1
2019-06-11 21:38:00,42
2019-06-12 09:16:00,6
2019-06-12 14:24:00,4
2019-06-13 11:28:00,1
2019-06-13 12:43:00,1
2019-06-13 13:09:00,1
2019-06-14 02:33:00,1
2019-06-14 02:36:00,1
2019-06-14 02:40:00,1
2019-06-14 02:44:00,1
2019-06-14 02:47:00,1
2019-06-14 02:54:00,1
2019-06-14 02:58:00,1
2019-06-14 03:01:00,1
2019-06-14 03:06:00,1
2019-06-14 03:10:00,1
2019-06-14 03:14:00,1
2019-06-14 03:16:00,1
2019-06-14 03:19:00,1
2019-06-14 03:23:00,1
2019-06-14 03:26:00,1
2019-06-14 03:29:00,1
2019-06-14 03:33:00,1
2019-06-14 03:36:00,1
2019-06-14 03:39:00,1
2019-06-14 03:42:00,1
2019-06-14 03:47:00,1
2019-06-14 03:49:00,1
2019-06-14 03:52:00,1
2019-06-14 03:56:00,1
2019-06-14 03:59:00,1
2019-06-14 04:02:00,1
2019-06-14 04:06:00,1
2019-06-14 04:09:00,1
2019-06-14 04:12:00,1
2019-06-14 04:15:00,1
2019-06-14 04:18:00,1
2019-06-14 04:21:00,1
2019-06-14 04:25:00,1
2019-06-14 04:28:00,1
2019-06-14 04:31:00,1
2019-06-14 04:34:00,1
2019-06-14 04:37:00,1
2019-06-14 04:41:00,1
2019-06-14 04:44:00,1
2019-06-14 04:47:00,1
2019-06-14 04:51:00,1
2019-06-14 04:54:00,1
2019-06-14 04:57:00,1
2019-06-14 05:01:00,1
2019-06-14 05:04:00,1
2019-06-14 05:07:00,1
2019-06-14 05:11:00,1
2019-06-14 05:14:00,1
2019-06-14 05:17:00,1
2019-06-14 05:20:00,1
2019-06-14 05:23:00,1
2019-06-14 05:28:00,1
2019-06-14 05:32:00,1
2019-06-14 05:36:00,1
2019-06-14 05:39:00,1
2019-06-14 05:42:00,1
2019-06-14 05:46:00,1
2019-06-14 05:49:00,1
2019-06-14 05:52:00,1
2019-06-14 05:55:00,1
2019-06-14 05:58:00,1
2019-06-14 06:01:00,1
2019-06-14 06:04:00,1
2019-06-14 06:08:00,1
2019-06-14 06:11:00,1
2019-06-14 06:14:00,1
2019-06-14 06:19:00,1
2019-06-14 06:22:00,1
2019-06-14 06:25:00,1
2019-06-14 06:29:00,1
2019-06-14 06:32:00,1
2019-06-14 06:35:00,1
2019-06-14 06:38:00,1
2019-06-14 06:41:00,1
2019-06-14 06:44:00,1
2019-06-14 06:47:00,1
2019-06-14 06:50:00,1
2019-06-14 06:53:00,1
2019-06-14 06:56:00,1
2019-06-14 06:59:00,1
2019-06-14 07:03:00,1
2019-06-14 07:06:00,1
2019-06-14 07:09:00,1
2019-06-14 07:12:00,1
2019-06-14 07:15:00,1
2019-06-14 07:18:00,1
2019-06-14 07:21:00,1
2019-06-14 07:24:00,1
2019-06-14 07:27:00,1
2019-06-14 07:30:00,1
2019-06-14 07:33:00,1
2019-06-14 08:36:00,1
2019-06-14 18:22:00,1
2019-06-14 18:23:00,1
2019-06-14 18:31:00,1
2019-06-14 18:32:00,1
2019-06-14 18:35:00,1
2019-06-14 18:38:00,2
2019-06-14 18:42:00,1
2019-06-14 18:46:00,1
2019-06-14 18:50:00,1
2019-06-14 18:51:00,1
2019-06-14 18:53:00,1
2019-06-14 18:55:00,1
2019-06-14 18:58:00,1
2019-06-14 19:00:00,1
2019-06-14 19:05:00,1
2019-06-14 19:08:00,1
2019-06-14 19:10:00,1
2019-06-14 19:11:00,1
2019-06-14 19:13:00,1
2019-06-14 19:14:00,1
2019-06-14 19:20:00,1
2019-06-14 19:22:00,1
2019-06-14 19:31:00,2
2019-06-14 19:34:00,1
2019-06-14 19:37:00,1
2019-06-14 19:41:00,1
2019-06-14 19:42:00,1
2019-06-14 19:45:00,1
2019-06-14 19:46:00,1
2019-06-14 19:49:00,1
2019-06-14 19:52:00,1
2019-06-14 19:59:00,2
2019-06-14 20:07:00,1
2019-06-14 20:09:00,1
2019-06-14 20:11:00,1
2019-06-14 20:12:00,1
2019-06-14 20:27:00,1
2019-06-14 20:29:00,1
2019-06-14 20:33:00,1
2019-06-14 20:36:00,1
2019-06-14 20:40:00,1
2019-06-14 20:45:00,1
2019-06-14 20:48:00,1
2019-06-14 20:50:00,1
2019-06-14 20:54:00,1
2019-06-14 20:57:00,1
2019-06-14 21:00:00,2
2019-06-14 21:03:00,2
2019-06-14 21:06:00,4
2019-06-14 21:07:00,1
2019-06-14 21:09:00,2
2019-06-14 21:11:00,1
2019-06-17 07:25:00,2
2019-06-17 07:28:00,2
2019-06-17 07:29:00,1
2019-06-17 07:30:00,1
2019-06-17 07:31:00,1
2019-06-17 07:32:00,1
2019-06-17 07:33:00,1
2019-06-17 18:01:00,1
2019-06-17 18:06:00,1
2019-06-17 18:09:00,2
2019-06-17 18:11:00,1
2019-06-17 18:15:00,1
2019-06-17 18:20:00,2
2019-06-17 18:27:00,1
2019-06-17 18:30:00,1
2019-06-17 18:36:00,1
2019-06-17 18:37:00,1
2019-06-17 18:42:00,1
2019-06-17 18:46:00,1
2019-06-17 18:49:00,1
2019-06-17 18:55:00,1
2019-06-17 18:58:00,1
2019-06-17 19:00:00,1
2019-06-17 19:06:00,1
2019-06-17 19:09:00,2
2019-06-17 19:11:00,1
2019-06-17 19:19:00,1
2019-06-17 19:21:00,1
