862,select objid from photoprimary where photoprimary.dec between .# and # and photoprimary.ra between # and #
2019-03-06 13:07:00,1
2019-03-06 14:01:00,1
2019-03-06 14:23:00,1
2019-03-07 07:25:00,1
2019-03-07 14:27:00,4
2019-03-07 15:11:00,2
2019-03-07 15:12:00,4
2019-03-07 15:13:00,7
2019-03-07 15:17:00,3
2019-03-07 15:38:00,1
2019-03-07 15:40:00,2
2019-03-07 15:41:00,1
2019-03-07 15:46:00,2
2019-03-07 15:52:00,1
2019-03-07 15:54:00,1
2019-03-14 06:14:00,5
2019-03-14 06:45:00,6
2019-03-14 06:46:00,4
2019-03-14 06:47:00,17
2019-03-14 06:48:00,21
2019-03-14 06:49:00,24
2019-03-14 06:50:00,19
2019-03-14 06:51:00,26
2019-03-14 08:21:00,1
2019-03-14 08:24:00,2
2019-03-14 08:25:00,2
2019-03-14 08:26:00,1
2019-03-14 08:28:00,1
2019-03-14 08:29:00,2
2019-03-14 08:37:00,3
2019-03-14 08:40:00,2
2019-03-14 08:41:00,1
2019-03-14 08:43:00,1
2019-03-14 08:44:00,2
2019-03-14 08:45:00,1
2019-03-14 08:55:00,1
2019-03-14 09:10:00,1
2019-03-14 09:11:00,2
2019-03-14 13:33:00,1
