254,"select count (*) , stim_timestamps.timestamp from session_eeg, stim_timestamps where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp group by stim_timestamps.timestamp) select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp order by stim_timestamps_index.index_value"
2019-04-16 14:17:00,1
2019-04-16 14:25:00,1
2019-04-16 14:27:00,1
2019-04-16 14:37:00,1
2019-04-16 14:39:00,1
2019-04-16 14:40:00,1
2019-05-21 12:05:00,1
2019-05-21 12:31:00,1
2019-05-21 12:39:00,1
2019-05-21 12:43:00,1
2019-05-21 12:48:00,1
2019-05-21 12:51:00,1
2019-05-21 12:55:00,1
2019-05-21 12:59:00,1
2019-05-21 13:02:00,1
2019-05-21 13:07:00,1
2019-05-21 13:55:00,1
2019-05-21 14:02:00,1
2019-05-21 14:04:00,1
2019-05-21 14:05:00,1
2019-05-21 14:06:00,1
2019-05-21 14:07:00,1
2019-05-21 14:08:00,1
2019-05-21 14:09:00,2
2019-05-21 14:10:00,1
2019-05-21 14:11:00,1
2019-05-21 14:12:00,1
2019-05-21 14:13:00,1
2019-06-07 14:26:00,1
2019-06-07 14:30:00,1
2019-06-07 14:32:00,1
2019-06-07 14:35:00,1
2019-06-07 14:41:00,1
2019-06-07 14:43:00,2
2019-06-07 14:44:00,1
2019-06-07 14:45:00,1
2019-06-07 14:46:00,1
2019-06-07 14:47:00,1
2019-06-07 14:48:00,1
2019-06-07 14:49:00,1
2019-06-07 14:50:00,1
2019-06-07 14:51:00,1
2019-06-07 14:52:00,1
2019-06-07 14:53:00,1
2019-06-07 14:56:00,1
2019-06-07 14:58:00,1
2019-06-07 15:00:00,1
2019-06-07 15:07:00,1
2019-06-07 15:08:00,2
2019-06-07 15:09:00,1
2019-06-07 15:10:00,1
2019-06-07 15:21:00,1
2019-06-07 15:22:00,1
2019-06-07 15:23:00,1
2019-06-07 15:24:00,2
2019-06-07 15:25:00,1
2019-06-07 15:26:00,1
2019-06-07 15:27:00,1
2019-06-07 15:31:00,1
2019-06-07 15:32:00,1
2019-06-07 15:33:00,1
2019-06-07 15:34:00,1
2019-06-07 15:35:00,2
2019-06-07 15:36:00,1
2019-06-07 15:41:00,1
2019-06-07 15:42:00,1
2019-06-07 15:44:00,1
2019-06-07 15:45:00,1
2019-06-07 15:46:00,2
2019-06-07 15:47:00,1
2019-06-07 15:48:00,1
2019-06-07 15:49:00,1
2019-06-07 15:50:00,1
2019-06-07 15:51:00,2
2019-06-07 15:52:00,1
2019-06-07 15:53:00,1
2019-06-07 15:54:00,1
2019-06-07 15:55:00,1
