1169,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-07 17:47:00,7
2019-03-07 17:48:00,5
2019-03-07 17:49:00,7
2019-03-07 17:50:00,8
2019-03-07 17:51:00,8
2019-03-07 17:52:00,8
2019-03-07 17:53:00,6
2019-03-07 17:54:00,8
2019-03-07 17:55:00,7
2019-03-07 17:56:00,6
2019-03-07 17:57:00,8
2019-03-07 17:58:00,6
2019-03-07 17:59:00,6
2019-03-07 18:00:00,8
2019-03-07 18:01:00,9
2019-03-07 18:02:00,8
2019-03-07 18:03:00,6
2019-03-07 18:04:00,5
2019-03-07 18:05:00,8
2019-03-07 18:06:00,7
2019-03-07 18:07:00,8
2019-03-07 18:08:00,8
2019-03-07 18:09:00,5
2019-03-07 18:10:00,7
2019-03-07 18:11:00,7
2019-03-07 18:12:00,7
2019-03-07 18:13:00,6
2019-03-07 18:14:00,6
2019-03-07 18:15:00,6
2019-03-07 18:16:00,5
2019-03-07 18:17:00,9
2019-03-07 18:18:00,4
2019-03-07 18:19:00,8
2019-03-07 18:20:00,7
2019-03-07 18:21:00,5
2019-03-07 18:22:00,8
2019-03-07 18:23:00,7
2019-03-07 18:24:00,6
2019-03-07 18:25:00,7
2019-03-07 18:26:00,5
2019-03-07 18:27:00,8
2019-03-07 18:28:00,6
2019-03-07 18:29:00,7
2019-03-07 18:30:00,7
2019-03-07 18:31:00,6
2019-03-07 18:32:00,8
2019-03-07 18:33:00,6
2019-03-07 18:34:00,9
2019-03-07 18:35:00,4
2019-03-07 18:36:00,8
2019-03-07 18:37:00,7
2019-03-07 18:38:00,7
2019-03-07 18:39:00,5
2019-03-07 18:40:00,8
2019-03-07 18:41:00,4
2019-03-07 18:42:00,6
2019-03-07 18:43:00,5
2019-03-07 18:44:00,6
2019-03-07 18:45:00,5
2019-03-07 18:46:00,6
2019-03-07 18:47:00,8
2019-03-07 18:48:00,5
2019-03-07 18:49:00,3
2019-03-07 18:51:00,1
2019-03-07 18:53:00,2
2019-03-07 18:54:00,1
2019-03-07 18:58:00,1
2019-03-07 18:59:00,3
2019-03-07 19:00:00,8
2019-03-07 19:01:00,5
2019-03-07 19:02:00,7
2019-03-07 19:03:00,8
2019-03-07 19:04:00,8
2019-03-07 19:05:00,6
2019-03-07 19:06:00,8
2019-03-07 19:07:00,10
2019-03-07 19:08:00,6
2019-03-07 19:09:00,9
2019-03-07 19:10:00,7
2019-03-07 19:11:00,6
2019-03-07 19:12:00,12
2019-03-07 19:13:00,10
2019-03-07 19:14:00,9
2019-03-07 19:15:00,11
2019-03-07 19:16:00,9
2019-03-07 19:17:00,10
2019-03-07 19:18:00,6
2019-03-07 19:19:00,11
2019-03-07 19:20:00,8
2019-03-07 19:21:00,9
2019-03-07 19:22:00,9
2019-03-07 19:23:00,11
2019-03-07 19:24:00,17
2019-03-07 19:25:00,11
2019-03-07 19:26:00,9
2019-03-07 19:27:00,3
2019-03-07 19:28:00,1
2019-03-07 19:37:00,1
2019-03-07 19:39:00,8
2019-03-07 19:40:00,13
2019-03-07 19:41:00,4
2019-03-07 19:42:00,1
2019-03-07 19:47:00,1
2019-03-07 19:50:00,1
2019-03-07 19:51:00,7
2019-03-07 19:52:00,5
2019-03-07 19:53:00,3
2019-03-07 19:54:00,4
2019-03-07 19:55:00,3
2019-03-07 19:56:00,5
2019-03-07 19:57:00,3
2019-03-07 19:58:00,4
2019-03-07 19:59:00,5
2019-03-07 20:00:00,6
2019-03-07 20:01:00,5
2019-03-07 20:02:00,3
2019-03-07 20:03:00,4
2019-03-07 20:04:00,6
2019-03-07 20:05:00,6
2019-03-07 20:06:00,6
2019-03-07 20:07:00,5
2019-03-07 20:08:00,6
2019-03-07 20:09:00,5
2019-03-07 20:10:00,5
2019-03-07 20:11:00,5
2019-03-07 20:12:00,3
2019-03-07 20:13:00,4
2019-03-07 20:14:00,2
2019-03-07 20:15:00,2
2019-03-07 20:16:00,3
2019-03-07 20:17:00,4
2019-03-07 20:18:00,2
2019-03-07 20:19:00,7
2019-03-07 20:20:00,7
2019-03-07 20:21:00,6
2019-03-07 20:22:00,4
2019-03-07 20:23:00,5
2019-03-07 20:24:00,7
2019-03-07 20:25:00,3
2019-03-07 20:34:00,1
