1056,"select name, type from DBObjects where type=&&& and name NOT IN (&&&, &&&) order by name"
2019-04-24 20:23:00,2
2019-04-24 20:24:00,2
2019-04-24 20:34:00,4
2019-04-24 20:45:00,2
2019-04-24 21:00:00,2
2019-04-24 21:16:00,2
2019-04-24 21:17:00,2
2019-04-24 21:24:00,2
2019-04-24 21:26:00,2
2019-04-24 21:37:00,2
2019-04-24 21:43:00,2
2019-04-24 21:49:00,2
2019-04-24 21:54:00,2
2019-04-24 21:55:00,4
2019-04-24 21:56:00,2
2019-04-24 22:00:00,2
2019-04-24 22:05:00,2
2019-04-24 22:06:00,6
2019-04-24 22:07:00,2
2019-04-24 22:17:00,2
2019-04-24 22:28:00,2
2019-04-24 22:38:00,2
2019-04-24 22:39:00,2
2019-04-24 22:40:00,2
2019-04-24 22:48:00,2
2019-04-24 22:55:00,2
2019-04-24 22:56:00,2
2019-04-24 22:57:00,4
2019-04-24 23:01:00,2
2019-04-24 23:04:00,2
2019-04-24 23:15:00,2
2019-04-24 23:18:00,2
2019-04-24 23:26:00,2
2019-04-24 23:27:00,2
2019-04-24 23:28:00,2
2019-04-24 23:30:00,2
2019-04-24 23:41:00,2
2019-04-24 23:43:00,2
2019-04-24 23:46:00,2
2019-04-24 23:54:00,2
