2653,select fieldid from field where cccol_u between -.# and -.# and skyframes_r between # and #
2019-01-28 20:07:00,1
2019-01-28 20:10:00,17
2019-01-28 20:11:00,3
2019-01-28 20:12:00,13
2019-01-28 20:14:00,2
2019-01-28 20:15:00,1
2019-01-28 20:23:00,1
2019-01-28 20:26:00,183
2019-01-28 20:27:00,22
2019-01-28 20:28:00,15
2019-01-28 20:29:00,42
2019-01-28 20:31:00,5
2019-01-28 20:33:00,17
2019-01-28 20:34:00,2
2019-01-28 20:36:00,9
2019-01-28 20:37:00,5
2019-01-28 20:38:00,1
2019-01-28 20:40:00,15
2019-01-28 20:41:00,4
2019-01-28 20:42:00,2
2019-01-28 20:43:00,3
2019-01-28 20:45:00,5
2019-01-28 20:46:00,2
2019-01-28 20:50:00,21
2019-01-28 20:51:00,40
2019-01-28 20:52:00,64
2019-01-28 20:56:00,2
2019-01-28 20:59:00,10
2019-01-28 21:00:00,2
2019-01-28 21:01:00,2
2019-01-28 21:02:00,1
2019-01-28 21:04:00,9
2019-01-28 21:07:00,2
2019-01-28 21:08:00,1
2019-01-28 21:10:00,23
2019-01-28 21:11:00,15
2019-01-28 21:12:00,7
2019-01-28 21:13:00,70
2019-01-28 21:15:00,1
2019-01-28 21:17:00,7
2019-01-28 21:18:00,3
2019-01-28 21:19:00,1
2019-01-28 21:20:00,2
2019-01-28 21:25:00,1
2019-01-28 21:26:00,1
2019-01-28 21:31:00,4
2019-01-28 21:37:00,2
2019-01-28 21:38:00,3
2019-01-28 21:41:00,1
2019-01-28 21:42:00,2
2019-01-28 21:47:00,5
2019-01-28 21:48:00,4
2019-01-28 21:50:00,49
2019-01-28 21:51:00,6
2019-01-28 21:57:00,1
2019-01-28 21:58:00,1
2019-01-28 21:59:00,1
2019-01-28 22:00:00,5
2019-01-28 22:02:00,1
2019-01-28 22:03:00,2
2019-01-28 22:05:00,38
2019-01-28 22:06:00,30
2019-01-28 22:08:00,78
2019-01-28 22:09:00,1
2019-01-28 22:10:00,1
2019-01-28 22:13:00,2
2019-01-28 22:16:00,34
2019-01-28 22:17:00,50
2019-01-28 22:20:00,89
2019-01-28 22:21:00,45
2019-01-28 22:26:00,28
2019-01-28 22:27:00,49
2019-01-28 22:34:00,6
2019-01-28 22:35:00,2
2019-01-28 22:36:00,4
2019-01-28 22:39:00,4
2019-01-28 22:41:00,11
2019-01-28 22:42:00,11
2019-01-28 22:43:00,9
2019-01-28 22:46:00,1
2019-01-28 22:49:00,5
2019-01-28 22:54:00,4
2019-01-28 23:02:00,6
2019-01-28 23:03:00,7
2019-01-28 23:04:00,1
2019-01-28 23:11:00,1
2019-01-28 23:12:00,2
2019-01-28 23:13:00,16
2019-01-28 23:14:00,2
2019-01-28 23:15:00,2
2019-01-28 23:22:00,2
2019-01-28 23:23:00,1
2019-01-28 23:25:00,18
2019-01-28 23:26:00,19
2019-01-28 23:27:00,49
2019-01-28 23:28:00,9
2019-01-28 23:29:00,4
2019-01-28 23:30:00,47
2019-01-28 23:31:00,18
2019-01-28 23:38:00,6
2019-01-28 23:39:00,1
2019-01-28 23:41:00,3
2019-01-28 23:45:00,7
2019-01-28 23:47:00,3
2019-01-28 23:48:00,19
2019-01-28 23:50:00,3
2019-01-28 23:54:00,10
