2340,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-28 19:22:00,1
2019-01-28 19:23:00,4
2019-01-28 19:25:00,5
2019-01-28 19:26:00,20
2019-01-28 19:27:00,4
2019-01-28 19:28:00,6
2019-01-28 19:31:00,12
2019-01-28 19:32:00,2
2019-01-28 19:33:00,1
2019-01-28 19:34:00,4
2019-01-28 19:35:00,4
2019-01-28 19:37:00,1
2019-01-28 19:38:00,3
2019-01-28 19:40:00,2
2019-01-28 19:41:00,3
2019-01-28 19:43:00,7
2019-01-28 19:44:00,7
2019-01-28 19:45:00,1
2019-01-28 19:47:00,4
2019-01-28 19:51:00,3
2019-01-28 19:52:00,6
2019-01-28 19:53:00,2
2019-01-28 19:54:00,9
2019-01-28 19:55:00,4
2019-01-28 19:56:00,3
2019-01-28 19:57:00,5
2019-01-28 20:01:00,1
2019-01-28 20:03:00,18
2019-01-28 20:04:00,2
2019-01-28 20:05:00,20
2019-01-28 20:06:00,6
2019-01-28 20:07:00,4
2019-01-28 20:09:00,2
2019-01-28 20:10:00,12
2019-01-28 20:11:00,6
2019-01-28 20:12:00,10
2019-01-28 20:14:00,32
2019-01-28 20:15:00,36
2019-01-28 20:16:00,29
2019-01-28 20:17:00,13
2019-01-28 20:22:00,5
2019-01-28 20:23:00,3
2019-01-28 20:27:00,11
2019-01-28 20:28:00,2
2019-01-28 20:29:00,128
2019-01-28 20:30:00,44
2019-01-28 20:31:00,15
2019-01-28 20:33:00,6
2019-01-28 20:34:00,1
2019-01-28 20:35:00,23
2019-01-28 20:36:00,7
2019-01-28 20:38:00,1
2019-01-28 20:40:00,2
2019-01-28 20:41:00,7
2019-01-28 20:46:00,49
2019-01-28 20:50:00,8
2019-01-28 20:52:00,63
2019-01-28 20:53:00,2
2019-01-28 20:57:00,3
2019-01-28 20:59:00,6
2019-01-28 21:00:00,15
2019-01-28 21:01:00,1
2019-01-28 21:02:00,1
2019-01-28 21:03:00,2
2019-01-28 21:04:00,5
2019-01-28 21:07:00,14
2019-01-28 21:09:00,8
2019-01-28 21:10:00,1
2019-01-28 21:15:00,11
2019-01-28 21:16:00,1
2019-01-28 21:20:00,9
2019-01-28 21:26:00,2
2019-01-28 21:30:00,4
2019-01-28 21:36:00,7
2019-01-28 21:41:00,1
2019-01-28 21:43:00,9
2019-01-28 21:44:00,6
2019-01-28 21:45:00,9
2019-01-28 21:46:00,2
2019-01-28 21:58:00,6
2019-01-28 21:59:00,4
2019-01-28 22:00:00,3
2019-01-28 22:01:00,11
2019-01-28 22:03:00,30
2019-01-28 22:04:00,1
2019-01-28 22:09:00,50
2019-01-28 22:10:00,11
2019-01-28 22:11:00,96
2019-01-28 22:12:00,3
2019-01-28 22:13:00,23
2019-01-28 22:17:00,3
2019-01-28 22:21:00,8
2019-01-28 22:22:00,45
2019-01-28 22:23:00,96
2019-01-28 22:24:00,11
2019-01-28 22:27:00,30
2019-01-28 22:28:00,20
2019-01-28 22:29:00,4
2019-01-28 22:31:00,6
2019-01-28 22:32:00,21
2019-01-28 22:33:00,17
2019-01-28 22:34:00,67
2019-01-28 22:35:00,5
2019-01-28 22:37:00,9
2019-01-28 22:38:00,111
2019-01-28 22:39:00,8
2019-01-28 22:40:00,42
2019-01-28 22:41:00,10
2019-01-28 22:42:00,28
2019-01-28 22:43:00,1
2019-01-28 22:44:00,6
2019-01-28 22:45:00,7
2019-01-28 22:46:00,9
2019-01-28 22:47:00,10
2019-01-28 22:49:00,27
2019-01-28 22:50:00,9
2019-01-28 22:51:00,14
2019-01-28 22:52:00,9
2019-01-28 22:53:00,2
2019-01-28 22:58:00,8
2019-01-28 22:59:00,5
2019-01-28 23:00:00,9
2019-01-28 23:01:00,2
2019-01-28 23:02:00,19
2019-01-28 23:03:00,16
2019-01-28 23:04:00,9
2019-01-28 23:11:00,3
2019-01-28 23:12:00,4
2019-01-28 23:13:00,43
2019-01-28 23:14:00,9
2019-01-28 23:15:00,14
2019-01-28 23:22:00,11
2019-01-28 23:23:00,3
2019-01-28 23:24:00,7
2019-01-28 23:25:00,12
2019-01-28 23:27:00,11
2019-01-28 23:28:00,7
2019-01-28 23:29:00,11
2019-01-28 23:30:00,14
2019-01-28 23:31:00,19
2019-01-28 23:38:00,4
2019-01-28 23:41:00,2
2019-01-28 23:47:00,1
2019-01-28 23:48:00,5
2019-01-28 23:50:00,8
2019-01-28 23:54:00,4
