143565,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-28 13:31:00,191
2019-01-28 13:43:00,8
2019-01-28 13:46:00,2
2019-01-28 13:47:00,7
2019-01-28 13:50:00,6
2019-01-28 13:51:00,125
2019-01-28 13:52:00,439
2019-01-28 13:53:00,388
2019-01-28 13:54:00,373
2019-01-28 13:55:00,453
2019-01-28 13:56:00,394
2019-01-28 13:58:00,141
2019-01-28 13:59:00,399
2019-01-28 14:00:00,329
2019-01-28 14:01:00,333
2019-01-28 14:02:00,410
2019-01-28 14:03:00,470
2019-01-28 14:04:00,359
2019-01-28 14:06:00,114
2019-01-28 14:07:00,376
2019-01-28 14:08:00,417
2019-01-28 14:09:00,428
2019-01-28 14:10:00,476
2019-01-28 14:11:00,424
2019-01-28 14:12:00,364
2019-01-28 14:13:00,391
2019-01-28 14:14:00,478
2019-01-28 14:15:00,492
2019-01-28 14:16:00,400
2019-01-28 14:17:00,29
2019-01-28 14:18:00,160
2019-01-28 14:19:00,352
2019-01-28 14:20:00,341
2019-01-28 14:21:00,424
2019-01-28 14:22:00,417
2019-01-28 14:23:00,223
2019-01-28 14:24:00,301
2019-01-28 14:25:00,454
2019-01-28 14:26:00,444
2019-01-28 14:27:00,478
2019-01-28 14:28:00,388
2019-01-28 14:29:00,282
2019-01-28 14:30:00,299
2019-01-28 14:31:00,398
2019-01-28 14:32:00,348
2019-01-28 14:33:00,436
2019-01-28 14:34:00,319
2019-01-28 14:35:00,282
2019-01-28 14:36:00,354
2019-01-28 14:37:00,354
2019-01-28 14:38:00,251
2019-01-28 14:39:00,210
2019-01-28 14:40:00,208
2019-01-28 14:41:00,150
2019-01-28 14:42:00,146
2019-01-28 14:43:00,119
2019-01-28 14:44:00,125
2019-01-28 14:45:00,142
2019-01-28 14:46:00,128
2019-01-28 14:47:00,122
2019-01-28 14:48:00,231
2019-01-28 14:49:00,156
2019-01-28 14:50:00,132
2019-01-28 14:51:00,93
2019-01-28 14:52:00,220
2019-01-28 14:53:00,266
2019-01-28 14:54:00,324
2019-01-28 14:55:00,334
2019-01-28 14:56:00,293
2019-01-28 14:57:00,319
2019-01-28 14:58:00,210
2019-01-28 14:59:00,142
2019-01-28 15:00:00,211
2019-01-28 15:01:00,252
2019-01-28 15:02:00,388
2019-01-28 15:03:00,374
2019-01-28 15:04:00,322
2019-01-28 15:05:00,369
2019-01-28 15:06:00,351
2019-01-28 15:07:00,362
2019-01-28 15:08:00,267
2019-01-28 15:09:00,348
2019-01-28 15:10:00,360
2019-01-28 15:11:00,335
2019-01-28 15:12:00,307
2019-01-28 15:13:00,307
2019-01-28 15:14:00,359
2019-01-28 15:15:00,284
2019-01-28 15:16:00,180
2019-01-28 15:17:00,214
2019-01-28 15:18:00,133
2019-01-28 15:19:00,283
2019-01-28 15:20:00,337
2019-01-28 15:21:00,325
2019-01-28 15:22:00,358
2019-01-28 15:23:00,211
2019-01-28 15:24:00,267
2019-01-28 15:25:00,238
2019-01-28 15:26:00,296
2019-01-28 15:27:00,266
2019-01-28 15:28:00,209
2019-01-28 15:29:00,206
2019-01-28 15:30:00,199
2019-01-28 15:31:00,330
2019-01-28 15:32:00,348
2019-01-28 15:33:00,246
2019-01-28 15:34:00,227
2019-01-28 15:35:00,238
2019-01-28 15:36:00,242
2019-01-28 15:37:00,234
2019-01-28 15:38:00,334
2019-01-28 15:39:00,302
2019-01-28 15:40:00,313
2019-01-28 15:41:00,349
2019-01-28 15:42:00,241
2019-01-28 15:43:00,227
2019-01-28 15:44:00,309
2019-01-28 15:45:00,273
2019-01-28 15:46:00,269
2019-01-28 15:47:00,359
2019-01-28 15:48:00,270
2019-01-28 15:49:00,127
2019-01-28 15:50:00,32
2019-01-28 15:51:00,29
2019-01-28 15:52:00,18
2019-01-28 15:53:00,223
2019-01-28 15:54:00,85
2019-01-28 15:55:00,282
2019-01-28 15:56:00,243
2019-01-28 15:57:00,249
2019-01-28 15:58:00,362
2019-01-28 15:59:00,295
2019-01-28 16:00:00,285
2019-01-28 16:01:00,76
2019-01-28 16:02:00,233
2019-01-28 16:03:00,9
2019-01-28 16:04:00,335
2019-01-28 16:05:00,359
2019-01-28 16:06:00,159
2019-01-28 16:12:00,96
2019-01-28 16:13:00,41
2019-01-28 16:14:00,358
2019-01-28 16:15:00,384
2019-01-28 16:16:00,39
2019-01-28 16:23:00,21
2019-01-28 16:24:00,217
2019-01-28 16:27:00,208
2019-01-28 16:28:00,273
2019-01-28 16:29:00,346
2019-01-28 16:30:00,350
2019-01-28 16:31:00,268
2019-01-28 16:32:00,334
2019-01-28 16:33:00,341
2019-01-28 16:34:00,94
2019-01-28 16:35:00,109
2019-01-28 16:36:00,263
2019-01-28 16:37:00,275
2019-01-28 16:38:00,281
2019-01-28 16:39:00,205
2019-01-28 16:40:00,221
2019-01-28 16:41:00,399
2019-01-28 16:42:00,353
2019-01-28 16:43:00,339
2019-01-28 16:44:00,352
2019-01-28 16:45:00,249
2019-01-28 17:00:00,9
2019-01-28 17:01:00,31
2019-01-28 17:05:00,107
2019-01-28 17:06:00,85
2019-01-28 17:07:00,102
2019-01-28 17:11:00,7
2019-01-28 17:22:00,366
2019-01-28 17:23:00,380
2019-01-28 17:24:00,326
2019-01-28 17:25:00,332
2019-01-28 17:26:00,336
2019-01-28 17:27:00,2
2019-01-28 17:28:00,5
2019-01-28 17:29:00,343
2019-01-28 17:30:00,330
2019-01-28 17:31:00,207
2019-01-28 17:32:00,178
2019-01-28 17:33:00,190
2019-01-28 17:34:00,384
2019-01-28 17:35:00,406
2019-01-28 17:36:00,344
2019-01-28 17:37:00,310
2019-01-28 17:38:00,360
2019-01-28 17:39:00,394
2019-01-28 17:40:00,390
2019-01-28 17:41:00,356
2019-01-28 17:42:00,279
2019-01-28 17:43:00,209
2019-01-28 17:44:00,370
2019-01-28 17:45:00,394
2019-01-28 17:46:00,358
2019-01-28 17:47:00,360
2019-01-28 17:48:00,350
2019-01-28 17:49:00,348
2019-01-28 17:50:00,299
2019-01-28 17:51:00,341
2019-01-28 17:52:00,23
2019-01-28 17:53:00,15
2019-01-28 17:54:00,11
2019-01-28 18:01:00,78
2019-01-28 18:03:00,30
2019-01-28 18:04:00,85
2019-01-28 18:05:00,41
2019-01-28 18:12:00,19
2019-01-28 18:13:00,24
2019-01-28 18:15:00,15
2019-01-28 18:17:00,18
2019-01-28 18:18:00,95
2019-01-28 18:19:00,234
2019-01-28 18:20:00,278
2019-01-28 18:21:00,121
2019-01-28 18:27:00,40
2019-01-28 18:36:00,58
2019-01-28 18:37:00,328
2019-01-28 18:38:00,288
2019-01-28 18:39:00,135
2019-01-28 18:46:00,140
2019-01-28 18:47:00,126
2019-01-28 18:59:00,15
2019-01-28 19:11:00,162
2019-01-28 19:14:00,2
2019-01-28 19:15:00,336
2019-01-28 19:16:00,298
2019-01-28 19:17:00,316
2019-01-28 19:18:00,331
2019-01-28 19:19:00,287
2019-01-28 19:20:00,259
2019-01-28 19:21:00,206
2019-01-28 19:22:00,301
2019-01-28 19:23:00,290
2019-01-28 19:24:00,326
2019-01-28 19:25:00,355
2019-01-28 19:26:00,243
2019-01-28 19:27:00,365
2019-01-28 19:28:00,311
2019-01-28 19:29:00,349
2019-01-28 19:30:00,340
2019-01-28 19:31:00,466
2019-01-28 19:32:00,406
2019-01-28 19:33:00,345
2019-01-28 19:34:00,312
2019-01-28 19:35:00,259
2019-01-28 19:36:00,259
2019-01-28 19:37:00,257
2019-01-28 19:38:00,260
2019-01-28 19:39:00,229
2019-01-28 19:40:00,253
2019-01-28 19:41:00,220
2019-01-28 19:42:00,219
2019-01-28 19:43:00,317
2019-01-28 19:44:00,263
2019-01-28 19:45:00,196
2019-01-28 19:46:00,267
2019-01-28 19:47:00,290
2019-01-28 19:48:00,183
2019-01-28 19:49:00,222
2019-01-28 19:50:00,422
2019-01-28 19:51:00,195
2019-01-28 19:52:00,264
2019-01-28 19:53:00,264
2019-01-28 19:54:00,203
2019-01-28 19:55:00,244
2019-01-28 19:56:00,267
2019-01-28 19:57:00,344
2019-01-28 19:58:00,263
2019-01-28 19:59:00,204
2019-01-28 20:00:00,237
2019-01-28 20:01:00,231
2019-01-28 20:02:00,298
2019-01-28 20:03:00,166
2019-01-28 20:04:00,250
2019-01-28 20:05:00,296
2019-01-28 20:06:00,170
2019-01-28 20:07:00,253
2019-01-28 20:08:00,280
2019-01-28 20:09:00,189
2019-01-28 20:10:00,304
2019-01-28 20:11:00,165
2019-01-28 20:12:00,335
2019-01-28 20:13:00,28
2019-01-28 20:14:00,204
2019-01-28 20:15:00,217
2019-01-28 20:16:00,230
2019-01-28 20:17:00,118
2019-01-28 20:18:00,169
2019-01-28 20:19:00,45
2019-01-28 20:20:00,63
2019-01-28 20:21:00,63
2019-01-28 20:22:00,158
2019-01-28 20:23:00,120
2019-01-28 20:24:00,130
2019-01-28 20:25:00,155
2019-01-28 20:26:00,196
2019-01-28 20:27:00,343
2019-01-28 20:28:00,109
2019-01-28 20:29:00,160
2019-01-28 20:30:00,168
2019-01-28 20:31:00,311
2019-01-28 20:32:00,12
2019-01-28 20:33:00,179
2019-01-28 20:34:00,40
2019-01-28 20:35:00,239
2019-01-28 20:36:00,97
2019-01-28 20:37:00,281
2019-01-28 20:38:00,136
2019-01-28 20:39:00,240
2019-01-28 20:40:00,352
2019-01-28 20:41:00,126
2019-01-28 20:42:00,20
2019-01-28 20:43:00,173
2019-01-28 20:44:00,307
2019-01-28 20:45:00,261
2019-01-28 20:46:00,299
2019-01-28 20:47:00,95
2019-01-28 20:49:00,19
2019-01-28 20:50:00,317
2019-01-28 20:51:00,182
2019-01-28 20:52:00,335
2019-01-28 20:53:00,276
2019-01-28 20:54:00,410
2019-01-28 20:55:00,363
2019-01-28 20:56:00,64
2019-01-28 20:57:00,331
2019-01-28 20:58:00,336
2019-01-28 20:59:00,200
2019-01-28 21:00:00,429
2019-01-28 21:01:00,204
2019-01-28 21:02:00,426
2019-01-28 21:03:00,276
2019-01-28 21:04:00,342
2019-01-28 21:05:00,226
2019-01-28 21:06:00,237
2019-01-28 21:07:00,309
2019-01-28 21:08:00,283
2019-01-28 21:09:00,377
2019-01-28 21:10:00,194
2019-01-28 21:11:00,247
2019-01-28 21:12:00,282
2019-01-28 21:13:00,314
2019-01-28 21:14:00,147
2019-01-28 21:15:00,242
2019-01-28 21:16:00,249
2019-01-28 21:17:00,353
2019-01-28 21:18:00,88
2019-01-28 21:19:00,344
2019-01-28 21:20:00,218
2019-01-28 21:21:00,274
2019-01-28 21:22:00,294
2019-01-28 21:23:00,196
2019-01-28 21:24:00,399
2019-01-28 21:25:00,221
2019-01-28 21:26:00,337
2019-01-28 21:27:00,201
2019-01-28 21:28:00,257
2019-01-28 21:29:00,224
2019-01-28 21:30:00,332
2019-01-28 21:31:00,268
2019-01-28 21:32:00,432
2019-01-28 21:33:00,222
2019-01-28 21:34:00,295
2019-01-28 21:35:00,216
2019-01-28 21:36:00,352
2019-01-28 21:37:00,266
2019-01-28 21:38:00,361
2019-01-28 21:39:00,68
2019-01-28 21:41:00,169
2019-01-28 21:42:00,239
2019-01-28 21:43:00,295
2019-01-28 21:44:00,368
2019-01-28 21:45:00,202
2019-01-28 21:46:00,235
2019-01-28 21:47:00,236
2019-01-28 21:48:00,314
2019-01-28 21:49:00,382
2019-01-28 21:50:00,121
2019-01-28 21:51:00,328
2019-01-28 21:52:00,222
2019-01-28 21:53:00,227
2019-01-28 21:54:00,301
2019-01-28 21:55:00,364
2019-01-28 21:56:00,314
2019-01-28 21:57:00,207
2019-01-28 21:58:00,367
2019-01-28 21:59:00,224
2019-01-28 22:00:00,334
2019-01-28 22:01:00,221
2019-01-28 22:02:00,81
2019-01-28 22:03:00,337
2019-01-28 22:04:00,233
2019-01-28 22:05:00,326
2019-01-28 22:06:00,280
2019-01-28 22:07:00,235
2019-01-28 22:08:00,169
2019-01-28 22:09:00,236
2019-01-28 22:10:00,240
2019-01-28 22:11:00,262
2019-01-28 22:12:00,360
2019-01-28 22:13:00,336
2019-01-28 22:14:00,410
2019-01-28 22:15:00,155
2019-01-28 22:16:00,250
2019-01-28 22:17:00,336
2019-01-28 22:18:00,342
2019-01-28 22:19:00,293
2019-01-28 22:20:00,230
2019-01-28 22:21:00,293
2019-01-28 22:22:00,323
2019-01-28 22:23:00,285
2019-01-28 22:24:00,396
2019-01-28 22:25:00,350
2019-01-28 22:26:00,296
2019-01-28 22:27:00,273
2019-01-28 22:28:00,318
2019-01-28 22:29:00,357
2019-01-28 22:30:00,365
2019-01-28 22:31:00,185
2019-01-28 22:32:00,25
2019-01-28 22:33:00,26
2019-01-28 22:34:00,101
2019-01-28 22:35:00,387
2019-01-28 22:36:00,188
2019-01-28 22:37:00,341
2019-01-28 22:38:00,244
2019-01-28 22:39:00,325
2019-01-28 22:40:00,255
2019-01-28 22:41:00,323
2019-01-28 22:42:00,347
2019-01-28 22:43:00,347
2019-01-28 22:44:00,179
2019-01-28 22:45:00,290
2019-01-28 22:46:00,361
2019-01-28 22:47:00,426
2019-01-28 22:48:00,404
2019-01-28 22:49:00,330
2019-01-28 22:50:00,335
2019-01-28 22:51:00,202
2019-01-28 22:52:00,363
2019-01-28 22:53:00,337
2019-01-28 22:54:00,297
2019-01-28 22:55:00,328
2019-01-28 22:56:00,325
2019-01-28 22:57:00,336
2019-01-28 22:58:00,376
2019-01-28 22:59:00,341
2019-01-28 23:00:00,294
2019-01-28 23:01:00,325
2019-01-28 23:02:00,306
2019-01-28 23:03:00,317
2019-01-28 23:04:00,358
2019-01-28 23:05:00,360
2019-01-28 23:06:00,5
2019-01-28 23:11:00,117
2019-01-28 23:12:00,385
2019-01-28 23:13:00,274
2019-01-28 23:14:00,218
2019-01-28 23:15:00,247
2019-01-28 23:16:00,135
2019-01-28 23:18:00,6
2019-01-28 23:21:00,3
2019-01-28 23:22:00,57
2019-01-28 23:23:00,222
2019-01-28 23:24:00,269
2019-01-28 23:25:00,331
2019-01-28 23:26:00,450
2019-01-28 23:27:00,276
2019-01-28 23:28:00,294
2019-01-28 23:29:00,208
2019-01-28 23:30:00,149
2019-01-28 23:31:00,343
2019-01-28 23:32:00,416
2019-01-28 23:33:00,400
2019-01-28 23:34:00,370
2019-01-28 23:35:00,392
2019-01-28 23:36:00,224
2019-01-28 23:37:00,27
2019-01-28 23:38:00,220
2019-01-28 23:39:00,190
2019-01-28 23:40:00,59
2019-01-28 23:41:00,223
2019-01-28 23:42:00,119
2019-01-28 23:43:00,207
2019-01-28 23:44:00,24
2019-01-28 23:45:00,212
2019-01-28 23:46:00,205
2019-01-28 23:47:00,342
2019-01-28 23:48:00,216
2019-01-28 23:50:00,257
2019-01-28 23:51:00,254
2019-01-28 23:52:00,125
2019-01-28 23:54:00,90
