2603,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < #"
2019-04-22 20:00:00,8
2019-04-22 20:01:00,13
2019-04-22 20:02:00,13
2019-04-22 20:03:00,14
2019-04-22 20:04:00,13
2019-04-22 20:05:00,18
2019-04-22 20:06:00,15
2019-04-22 20:07:00,21
2019-04-22 20:08:00,9
2019-04-22 20:47:00,7
2019-04-22 20:48:00,28
2019-04-22 20:49:00,15
2019-04-22 20:50:00,28
2019-04-22 20:51:00,26
2019-04-22 20:52:00,33
2019-04-22 20:53:00,28
2019-04-22 20:54:00,30
2019-04-22 20:55:00,25
2019-04-22 20:56:00,1
2019-04-22 20:58:00,14
2019-04-22 20:59:00,34
2019-04-22 21:00:00,42
2019-04-22 21:01:00,53
2019-04-22 21:02:00,44
2019-04-22 21:03:00,41
2019-04-22 21:04:00,54
2019-04-22 21:05:00,50
2019-04-22 21:06:00,54
2019-04-22 21:07:00,52
2019-04-22 21:08:00,44
2019-04-22 21:09:00,40
2019-04-22 21:10:00,54
2019-04-22 21:11:00,44
2019-04-22 21:12:00,55
2019-04-22 21:13:00,40
2019-04-22 21:14:00,48
2019-04-22 21:15:00,41
2019-04-22 21:16:00,7
2019-04-22 21:17:00,6
2019-04-22 21:18:00,6
2019-04-22 21:19:00,6
2019-04-22 21:20:00,3
2019-04-22 21:21:00,5
2019-04-22 21:22:00,5
2019-04-22 21:23:00,6
2019-04-22 21:24:00,7
2019-04-22 21:25:00,7
2019-04-22 21:26:00,4
2019-04-22 21:27:00,7
2019-04-22 21:28:00,8
2019-04-22 21:29:00,5
2019-04-22 21:30:00,5
2019-04-22 21:31:00,3
2019-04-22 21:32:00,8
2019-04-22 21:33:00,5
2019-04-22 21:34:00,5
2019-04-22 21:35:00,5
2019-04-22 21:36:00,2
2019-04-22 21:37:00,8
2019-04-22 21:38:00,8
2019-04-22 21:39:00,7
2019-04-22 21:40:00,9
2019-04-22 21:41:00,9
2019-04-22 21:42:00,4
2019-04-22 21:43:00,5
2019-04-22 21:44:00,9
2019-04-22 21:45:00,7
2019-04-22 21:46:00,11
2019-04-22 21:47:00,4
2019-04-22 21:48:00,10
2019-04-22 21:49:00,8
2019-04-22 21:50:00,11
2019-04-22 21:51:00,9
2019-04-22 21:52:00,8
2019-04-22 21:53:00,8
2019-04-22 21:54:00,6
2019-04-22 21:55:00,17
2019-04-22 21:56:00,9
2019-04-22 21:57:00,7
2019-04-22 21:58:00,9
2019-04-22 21:59:00,18
2019-04-22 22:00:00,15
2019-04-22 22:01:00,14
2019-04-22 22:02:00,15
2019-04-22 22:03:00,12
2019-04-22 22:04:00,10
2019-04-22 22:05:00,15
2019-04-22 22:06:00,20
2019-04-22 22:07:00,23
2019-04-22 22:08:00,16
2019-04-22 22:09:00,21
2019-04-22 22:10:00,32
2019-04-22 22:11:00,27
2019-04-22 22:12:00,21
