1327,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-10-12 13:28:00,2
2019-10-12 13:30:00,1
2019-10-12 13:31:00,2
2019-10-12 13:37:00,4
2019-10-12 13:38:00,1
2019-10-12 13:39:00,1
2019-10-12 13:40:00,2
2019-10-12 13:41:00,3
2019-10-12 13:47:00,4
2019-10-12 13:48:00,1
2019-10-12 13:49:00,1
2019-10-12 13:50:00,1
2019-10-12 13:51:00,2
2019-10-12 13:57:00,4
2019-10-12 13:58:00,1
2019-10-12 13:59:00,1
2019-10-12 14:00:00,1
2019-10-12 14:01:00,2
2019-10-12 14:07:00,4
2019-10-12 14:08:00,1
2019-10-12 14:09:00,1
2019-10-12 14:10:00,1
2019-10-12 14:11:00,2
2019-10-12 14:17:00,4
2019-10-12 14:18:00,1
2019-10-12 14:19:00,1
2019-10-12 14:20:00,1
2019-10-12 14:21:00,2
2019-10-12 14:27:00,4
2019-10-12 14:28:00,1
2019-10-12 14:29:00,1
2019-10-12 14:30:00,1
2019-10-12 14:31:00,2
2019-10-12 14:37:00,5
2019-10-12 14:38:00,1
2019-10-12 14:39:00,1
2019-10-12 14:40:00,1
2019-10-12 14:41:00,2
2019-10-12 14:47:00,5
2019-10-12 14:48:00,1
2019-10-12 14:49:00,1
2019-10-12 14:50:00,1
2019-10-12 14:51:00,2
2019-10-12 14:57:00,4
2019-10-12 14:58:00,1
2019-10-12 14:59:00,1
2019-10-12 15:00:00,2
2019-10-12 15:01:00,2
2019-10-12 15:07:00,4
2019-10-12 15:08:00,1
2019-10-12 15:09:00,1
2019-10-12 15:10:00,1
2019-10-12 15:11:00,2
2019-10-12 15:17:00,4
2019-10-12 15:18:00,1
2019-10-12 15:19:00,1
2019-10-12 15:21:00,3
2019-10-12 15:27:00,4
2019-10-12 15:28:00,1
2019-10-12 15:29:00,1
2019-10-12 15:31:00,3
2019-10-12 15:37:00,4
2019-10-12 15:38:00,1
2019-10-12 15:39:00,1
2019-10-12 15:41:00,3
2019-10-12 15:47:00,5
2019-10-12 15:48:00,1
2019-10-12 15:49:00,1
2019-10-12 15:51:00,3
2019-10-12 15:57:00,4
2019-10-12 15:58:00,1
2019-10-12 15:59:00,1
2019-10-12 16:01:00,3
2019-10-12 16:07:00,4
2019-10-12 16:08:00,1
2019-10-12 16:09:00,1
2019-10-12 16:11:00,3
2019-10-12 16:17:00,4
2019-10-12 16:19:00,2
2019-10-12 16:21:00,3
2019-10-12 16:27:00,4
2019-10-12 16:28:00,1
2019-10-12 16:29:00,1
2019-10-12 16:31:00,3
2019-10-12 16:37:00,4
2019-10-12 16:39:00,2
2019-10-12 16:41:00,3
2019-10-12 16:47:00,4
2019-10-12 16:49:00,2
2019-10-12 16:51:00,3
2019-10-12 16:57:00,4
2019-10-12 16:59:00,2
2019-10-12 17:01:00,3
2019-10-12 17:07:00,4
2019-10-12 17:09:00,2
2019-10-12 17:11:00,3
2019-10-12 17:17:00,4
2019-10-12 17:19:00,2
2019-10-12 17:21:00,3
2019-10-12 17:27:00,4
2019-10-12 17:29:00,2
2019-10-12 17:31:00,3
2019-10-12 17:37:00,4
2019-10-12 17:39:00,2
2019-10-12 17:41:00,3
2019-10-12 17:47:00,4
2019-10-12 17:49:00,2
2019-10-12 17:51:00,4
2019-10-12 17:57:00,4
2019-10-12 17:59:00,2
2019-10-12 18:01:00,3
2019-10-12 18:07:00,4
2019-10-12 18:09:00,2
2019-10-12 18:11:00,3
2019-10-12 18:17:00,4
2019-10-12 18:19:00,2
2019-10-12 18:21:00,3
2019-10-12 18:27:00,4
2019-10-12 18:29:00,2
2019-10-12 18:31:00,3
2019-10-12 18:37:00,4
2019-10-12 18:39:00,2
2019-10-12 18:41:00,3
2019-10-12 18:47:00,4
2019-10-12 18:49:00,2
2019-10-12 18:51:00,3
2019-10-12 18:57:00,4
2019-10-12 18:59:00,6
2019-10-12 19:01:00,6
2019-10-12 19:09:00,3
2019-10-12 19:11:00,6
2019-10-12 19:19:00,3
2019-10-12 19:21:00,6
2019-10-12 19:29:00,3
2019-10-12 19:31:00,6
2019-10-12 19:39:00,3
2019-10-12 19:41:00,6
2019-10-12 19:49:00,3
2019-10-12 19:51:00,6
2019-10-12 19:59:00,3
2019-10-12 20:01:00,6
2019-10-12 20:09:00,3
2019-10-12 20:11:00,6
2019-10-12 20:19:00,3
2019-10-12 20:21:00,6
2019-10-12 20:29:00,3
2019-10-12 20:31:00,6
2019-10-12 20:39:00,3
2019-10-12 20:41:00,6
2019-10-12 20:49:00,3
2019-10-12 20:51:00,6
2019-10-12 20:59:00,3
2019-10-12 21:01:00,6
2019-10-12 21:02:00,1
2019-10-12 21:09:00,3
2019-10-12 21:11:00,4
2019-10-12 21:12:00,2
2019-10-12 21:19:00,3
2019-10-12 21:21:00,3
2019-10-12 21:22:00,3
2019-10-12 21:29:00,3
2019-10-12 21:31:00,3
2019-10-12 21:32:00,3
2019-10-12 21:39:00,3
2019-10-12 21:41:00,3
2019-10-12 21:42:00,3
2019-10-12 21:49:00,3
2019-10-12 21:51:00,3
2019-10-12 21:52:00,3
2019-10-12 21:59:00,3
2019-10-12 22:01:00,3
2019-10-12 22:02:00,3
2019-10-12 22:09:00,3
2019-10-12 22:11:00,3
2019-10-12 22:12:00,3
2019-10-12 22:19:00,3
2019-10-12 22:21:00,3
2019-10-12 22:22:00,3
2019-10-12 22:29:00,3
2019-10-12 22:31:00,3
2019-10-12 22:32:00,3
2019-10-12 22:39:00,3
2019-10-12 22:41:00,3
2019-10-12 22:42:00,3
2019-10-12 22:49:00,3
2019-10-12 22:51:00,3
2019-10-12 22:52:00,3
2019-10-12 22:59:00,3
2019-10-12 23:01:00,3
2019-10-12 23:02:00,3
2019-10-12 23:09:00,3
2019-10-12 23:11:00,3
2019-10-12 23:12:00,3
2019-10-12 23:19:00,3
2019-10-12 23:21:00,3
2019-10-12 23:22:00,3
2019-10-12 23:29:00,3
2019-10-12 23:31:00,3
2019-10-12 23:32:00,3
2019-10-12 23:39:00,3
2019-10-12 23:41:00,3
2019-10-12 23:42:00,3
2019-10-12 23:49:00,3
2019-10-12 23:51:00,3
2019-10-12 23:52:00,3
2019-10-12 23:59:00,3
