1635,"SELECT st.ra, st.dec, st.r from star as st JOIN dbo.fGetNearbyObjEq(#,#,#) as PN ON st.objID = PN.objID WHERE st.r < #"
2019-08-26 19:07:00,9
2019-08-26 19:08:00,9
2019-08-26 19:09:00,12
2019-08-26 19:10:00,7
2019-08-26 19:11:00,12
2019-08-26 19:12:00,12
2019-08-26 19:13:00,9
2019-08-26 19:14:00,8
2019-08-26 19:15:00,6
2019-08-26 19:16:00,9
2019-08-26 19:17:00,7
2019-08-26 19:19:00,3
2019-08-26 19:20:00,3
2019-08-26 19:21:00,8
