1549,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-03 03:10:00,12
2019-12-03 03:13:00,12
2019-12-03 03:15:00,17
2019-12-03 03:16:00,12
2019-12-03 03:17:00,5
2019-12-03 03:20:00,5
2019-12-03 03:21:00,7
2019-12-03 03:22:00,5
2019-12-03 03:23:00,4
2019-12-03 03:24:00,8
2019-12-03 03:26:00,12
2019-12-03 03:52:00,5
2019-12-03 03:54:00,5
2019-12-03 04:00:00,8
2019-12-03 04:04:00,8
2019-12-03 04:12:00,8
2019-12-03 04:19:00,4
2019-12-03 04:20:00,14
2019-12-03 04:26:00,5
2019-12-03 04:28:00,9
2019-12-03 04:30:00,12
2019-12-03 04:31:00,11
2019-12-03 04:33:00,5
2019-12-03 04:34:00,5
2019-12-03 04:35:00,13
2019-12-03 04:36:00,5
2019-12-03 04:37:00,5
2019-12-03 04:53:00,5
2019-12-03 05:22:00,1
2019-12-03 05:23:00,16
2019-12-03 05:24:00,1
2019-12-03 05:25:00,5
2019-12-03 05:29:00,12
2019-12-03 05:30:00,7
2019-12-03 05:33:00,5
2019-12-03 05:41:00,5
2019-12-03 05:44:00,5
2019-12-03 05:45:00,5
2019-12-03 05:51:00,5
2019-12-03 05:53:00,5
2019-12-03 06:04:00,5
2019-12-03 06:12:00,5
2019-12-03 06:13:00,5
2019-12-03 06:16:00,3
2019-12-03 06:17:00,2
2019-12-03 06:50:00,14
2019-12-03 06:57:00,14
2019-12-03 07:00:00,14
2019-12-03 07:01:00,14
2019-12-03 08:10:00,10
2019-12-03 08:11:00,10
2019-12-03 08:29:00,1
2019-12-03 08:32:00,15
2019-12-03 08:33:00,5
2019-12-03 08:35:00,1
2019-12-03 08:37:00,1
2019-12-03 08:38:00,3
2019-12-03 08:39:00,11
2019-12-03 08:40:00,17
2019-12-03 08:41:00,8
2019-12-03 08:42:00,3
2019-12-03 08:43:00,16
2019-12-03 08:45:00,1
2019-12-03 08:48:00,4
2019-12-03 08:49:00,29
2019-12-03 08:50:00,8
2019-12-03 08:51:00,14
2019-12-03 08:52:00,10
2019-12-03 08:53:00,17
2019-12-03 08:55:00,2
2019-12-03 08:56:00,15
2019-12-03 08:57:00,10
2019-12-03 13:33:00,9
2019-12-03 13:35:00,9
2019-12-03 13:36:00,9
2019-12-03 13:53:00,9
2019-12-03 14:04:00,5
2019-12-03 14:41:00,21
2019-12-03 14:42:00,10
2019-12-03 14:43:00,17
2019-12-03 14:44:00,5
2019-12-03 14:45:00,5
2019-12-03 14:46:00,16
2019-12-03 14:47:00,18
2019-12-03 14:48:00,15
2019-12-03 14:51:00,15
2019-12-03 14:52:00,21
2019-12-03 14:53:00,18
2019-12-03 14:56:00,8
2019-12-03 14:59:00,8
2019-12-03 15:18:00,2
2019-12-03 15:20:00,1
2019-12-03 15:21:00,2
2019-12-03 15:23:00,1
2019-12-03 15:24:00,1
2019-12-03 15:28:00,10
2019-12-03 15:29:00,17
2019-12-03 15:31:00,2
2019-12-03 15:33:00,1
2019-12-03 15:38:00,3
2019-12-03 15:39:00,14
2019-12-03 15:40:00,9
2019-12-03 15:42:00,5
2019-12-03 15:44:00,14
2019-12-03 15:52:00,1
2019-12-03 15:55:00,1
2019-12-03 15:57:00,3
2019-12-03 15:58:00,1
