1759,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #) AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i <= # AND po.ra BETWEEN # AND #"
2019-07-31 03:35:00,2
2019-07-31 03:36:00,1
2019-07-31 03:37:00,2
2019-07-31 03:38:00,1
2019-07-31 03:39:00,2
2019-07-31 03:40:00,2
2019-07-31 03:41:00,1
2019-07-31 03:42:00,2
2019-07-31 03:43:00,2
2019-07-31 03:44:00,1
2019-07-31 03:45:00,2
2019-07-31 03:46:00,1
2019-07-31 03:47:00,2
2019-07-31 03:48:00,2
2019-07-31 03:49:00,1
2019-07-31 03:50:00,2
2019-07-31 03:51:00,1
2019-07-31 03:52:00,2
2019-07-31 03:53:00,2
2019-07-31 03:54:00,1
2019-07-31 03:55:00,2
2019-07-31 03:56:00,1
2019-07-31 03:57:00,2
2019-07-31 03:58:00,2
2019-07-31 03:59:00,2
2019-07-31 04:00:00,1
2019-07-31 04:01:00,2
2019-07-31 04:02:00,2
2019-07-31 04:03:00,2
2019-07-31 04:04:00,2
2019-07-31 04:05:00,2
2019-07-31 04:06:00,2
2019-07-31 04:07:00,1
2019-07-31 04:08:00,2
2019-07-31 04:09:00,2
2019-07-31 04:10:00,1
2019-07-31 04:11:00,2
2019-07-31 04:12:00,2
2019-07-31 04:13:00,1
2019-07-31 04:14:00,2
2019-07-31 04:15:00,2
2019-07-31 04:16:00,2
2019-07-31 04:17:00,2
2019-07-31 04:18:00,2
2019-07-31 04:19:00,2
2019-07-31 04:20:00,1
2019-07-31 04:21:00,2
2019-07-31 04:22:00,2
2019-07-31 04:23:00,2
2019-07-31 04:24:00,2
2019-07-31 04:25:00,2
2019-07-31 04:26:00,2
2019-07-31 04:27:00,2
2019-07-31 04:28:00,3
2019-07-31 04:29:00,2
2019-07-31 04:30:00,2
2019-07-31 04:31:00,2
2019-07-31 04:32:00,2
2019-07-31 04:33:00,2
2019-07-31 04:34:00,3
2019-07-31 04:35:00,2
2019-07-31 04:36:00,2
2019-07-31 04:37:00,3
2019-07-31 04:38:00,3
2019-07-31 04:39:00,3
2019-07-31 04:40:00,3
2019-07-31 04:41:00,2
2019-07-31 04:42:00,3
2019-07-31 04:43:00,2
2019-07-31 04:44:00,3
2019-07-31 04:45:00,2
2019-07-31 04:46:00,3
2019-07-31 04:47:00,2
2019-07-31 04:48:00,3
2019-07-31 04:49:00,3
2019-07-31 04:50:00,2
2019-07-31 04:51:00,3
2019-07-31 04:52:00,2
2019-07-31 04:53:00,3
2019-07-31 04:54:00,3
2019-07-31 04:55:00,2
2019-07-31 04:56:00,3
2019-07-31 04:57:00,2
2019-07-31 04:58:00,3
2019-07-31 04:59:00,3
2019-07-31 05:00:00,2
2019-07-31 05:01:00,3
2019-07-31 05:02:00,2
2019-07-31 05:03:00,3
2019-07-31 05:04:00,2
2019-07-31 05:05:00,2
2019-07-31 05:06:00,3
2019-07-31 05:07:00,3
2019-07-31 05:08:00,2
2019-07-31 05:09:00,3
2019-07-31 05:10:00,3
2019-07-31 05:11:00,3
2019-07-31 05:12:00,3
2019-07-31 05:13:00,2
2019-07-31 05:14:00,3
2019-07-31 05:15:00,3
2019-07-31 05:16:00,4
2019-07-31 05:17:00,6
2019-07-31 05:18:00,5
2019-07-31 05:19:00,3
2019-07-31 05:20:00,4
2019-07-31 05:21:00,5
2019-07-31 05:22:00,4
2019-07-31 05:23:00,4
2019-07-31 05:24:00,5
2019-07-31 05:25:00,4
2019-07-31 05:26:00,5
2019-07-31 05:27:00,4
2019-07-31 05:28:00,3
2019-07-31 05:29:00,5
2019-07-31 05:30:00,4
2019-07-31 05:31:00,3
2019-07-31 05:32:00,4
2019-07-31 05:33:00,3
2019-07-31 05:34:00,4
2019-07-31 05:35:00,5
2019-07-31 05:36:00,3
2019-07-31 05:37:00,4
2019-07-31 05:38:00,3
2019-07-31 05:39:00,3
2019-07-31 05:40:00,5
2019-07-31 05:41:00,3
2019-07-31 05:42:00,4
2019-07-31 05:43:00,5
2019-07-31 05:44:00,4
2019-07-31 05:45:00,5
2019-07-31 05:46:00,5
2019-07-31 05:47:00,5
2019-07-31 05:48:00,5
2019-07-31 05:49:00,8
2019-07-31 05:50:00,6
2019-07-31 05:51:00,7
2019-07-31 05:52:00,6
2019-07-31 05:53:00,5
2019-07-31 05:54:00,6
2019-07-31 05:55:00,4
2019-07-31 05:56:00,4
2019-07-31 05:57:00,2
2019-07-31 05:58:00,5
2019-07-31 05:59:00,3
2019-07-31 06:00:00,3
2019-07-31 06:01:00,3
2019-07-31 06:02:00,3
2019-07-31 06:03:00,5
2019-07-31 06:04:00,6
2019-07-31 06:05:00,4
2019-07-31 06:06:00,6
2019-07-31 06:07:00,5
2019-07-31 06:08:00,6
2019-07-31 06:09:00,5
2019-07-31 06:10:00,5
2019-07-31 06:11:00,6
2019-07-31 06:12:00,5
2019-07-31 06:13:00,5
2019-07-31 06:14:00,5
2019-07-31 06:15:00,6
2019-07-31 06:16:00,5
2019-07-31 06:17:00,6
2019-07-31 06:18:00,5
2019-07-31 06:19:00,2
2019-07-31 08:52:00,2
2019-07-31 08:53:00,1
2019-07-31 08:54:00,2
2019-07-31 08:55:00,1
2019-07-31 09:04:00,1
2019-07-31 09:05:00,1
2019-07-31 09:06:00,2
2019-07-31 09:07:00,2
2019-07-31 09:08:00,2
2019-07-31 09:09:00,1
2019-07-31 09:10:00,2
2019-07-31 09:11:00,1
2019-07-31 09:12:00,2
2019-07-31 09:13:00,1
2019-07-31 09:14:00,2
2019-07-31 09:15:00,1
2019-07-31 09:16:00,3
2019-07-31 09:18:00,3
2019-07-31 09:19:00,2
2019-07-31 09:20:00,1
2019-07-31 09:21:00,2
2019-07-31 09:22:00,1
2019-07-31 09:23:00,3
2019-07-31 09:25:00,2
2019-07-31 09:26:00,2
2019-07-31 09:28:00,2
2019-07-31 09:29:00,2
2019-07-31 09:30:00,2
2019-07-31 09:31:00,6
2019-07-31 09:32:00,8
2019-07-31 09:33:00,4
2019-07-31 09:36:00,7
2019-07-31 09:38:00,2
2019-07-31 09:39:00,3
2019-07-31 09:40:00,1
2019-07-31 09:41:00,1
2019-07-31 09:42:00,1
2019-07-31 09:44:00,4
2019-07-31 09:45:00,1
2019-07-31 09:46:00,2
2019-07-31 09:47:00,1
2019-07-31 09:48:00,3
2019-07-31 09:49:00,1
2019-07-31 09:51:00,5
2019-07-31 09:52:00,1
2019-07-31 09:53:00,2
2019-07-31 09:54:00,3
2019-07-31 09:55:00,1
2019-07-31 09:56:00,1
2019-07-31 09:57:00,9
2019-07-31 09:58:00,1
