3953,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-19 04:46:00,82
2019-04-19 04:47:00,62
2019-04-19 04:48:00,75
2019-04-19 04:49:00,70
2019-04-19 04:50:00,73
2019-04-19 04:51:00,75
2019-04-19 04:52:00,77
2019-04-19 04:53:00,72
2019-04-19 04:54:00,64
2019-04-19 04:55:00,78
2019-04-19 04:56:00,74
2019-04-19 04:57:00,20
2019-04-19 04:58:00,4
2019-04-19 04:59:00,3
2019-04-19 05:00:00,4
2019-04-19 05:01:00,3
2019-04-19 05:02:00,4
2019-04-19 05:03:00,3
2019-04-19 05:04:00,4
2019-04-19 05:05:00,4
2019-04-19 05:06:00,6
2019-04-19 05:07:00,4
2019-04-19 05:08:00,7
2019-04-19 05:09:00,6
2019-04-19 05:10:00,5
2019-04-19 05:11:00,4
2019-04-19 05:12:00,7
2019-04-19 05:13:00,7
2019-04-19 05:14:00,5
2019-04-19 05:15:00,8
2019-04-19 05:16:00,6
2019-04-19 05:17:00,6
2019-04-19 05:18:00,4
2019-04-19 05:19:00,6
2019-04-19 05:20:00,6
2019-04-19 05:21:00,6
2019-04-19 05:22:00,5
2019-04-19 05:23:00,8
2019-04-19 05:24:00,7
2019-04-19 05:25:00,9
2019-04-19 05:26:00,7
2019-04-19 05:27:00,7
2019-04-19 05:28:00,6
2019-04-19 05:29:00,7
2019-04-19 05:30:00,9
2019-04-19 05:31:00,14
2019-04-19 05:32:00,10
2019-04-19 05:33:00,11
2019-04-19 05:34:00,10
2019-04-19 05:35:00,14
2019-04-19 05:36:00,10
2019-04-19 05:37:00,11
2019-04-19 05:38:00,11
2019-04-19 05:39:00,13
2019-04-19 05:40:00,12
2019-04-19 05:41:00,16
2019-04-19 05:42:00,13
2019-04-19 05:43:00,17
2019-04-19 05:44:00,18
2019-04-19 05:45:00,19
2019-04-19 05:46:00,19
2019-04-19 05:47:00,18
2019-04-19 05:48:00,25
2019-04-19 05:49:00,28
2019-04-19 05:50:00,27
2019-04-19 05:51:00,29
2019-04-19 05:52:00,23
2019-04-19 05:53:00,29
2019-04-19 05:54:00,38
2019-04-19 05:55:00,23
2019-04-19 05:56:00,31
2019-04-19 05:57:00,34
2019-04-19 05:58:00,32
2019-04-19 05:59:00,35
2019-04-19 06:00:00,34
2019-04-19 06:01:00,32
