13316,"SELECT gse.lgm_tot_p5#, gse.lgm_tot_p8#                FROM galSpecExtra AS gse                JOIN SpecObjAll AS s ON s.specObjID = gse.specObjID                WHERE s.mjd = # AND s.plate = # AND s.fiberID = #"
2019-09-30 18:15:00,55
2019-09-30 18:16:00,45
2019-09-30 18:17:00,51
2019-09-30 18:18:00,57
2019-09-30 18:19:00,57
2019-09-30 18:20:00,59
2019-09-30 18:21:00,52
2019-09-30 18:22:00,45
2019-09-30 18:23:00,42
2019-09-30 18:24:00,57
2019-09-30 18:25:00,56
2019-09-30 18:26:00,55
2019-09-30 18:27:00,53
2019-09-30 18:28:00,54
2019-09-30 18:29:00,58
2019-09-30 18:30:00,46
2019-09-30 18:31:00,46
2019-09-30 18:32:00,60
2019-09-30 18:33:00,33
2019-09-30 18:34:00,52
2019-09-30 18:35:00,50
2019-09-30 18:36:00,31
2019-09-30 18:37:00,44
2019-09-30 18:38:00,59
2019-09-30 18:39:00,43
2019-09-30 18:40:00,46
2019-09-30 18:41:00,57
2019-09-30 18:42:00,34
2019-09-30 18:43:00,57
2019-09-30 18:44:00,52
2019-09-30 18:45:00,41
2019-09-30 18:46:00,60
2019-09-30 18:47:00,51
2019-09-30 18:48:00,48
2019-09-30 18:49:00,34
2019-09-30 18:50:00,58
2019-09-30 18:51:00,55
2019-09-30 18:52:00,57
2019-09-30 18:53:00,57
2019-09-30 18:54:00,56
2019-09-30 18:55:00,43
2019-09-30 18:56:00,51
2019-09-30 18:57:00,42
2019-09-30 18:58:00,43
2019-09-30 18:59:00,55
2019-09-30 19:00:00,52
2019-09-30 19:01:00,50
2019-09-30 19:02:00,55
2019-09-30 19:03:00,54
2019-09-30 19:04:00,41
2019-09-30 19:05:00,60
2019-09-30 19:06:00,46
2019-09-30 19:07:00,52
2019-09-30 19:08:00,50
2019-09-30 19:09:00,44
2019-09-30 19:10:00,60
2019-09-30 19:11:00,37
2019-09-30 19:12:00,39
2019-09-30 19:13:00,60
2019-09-30 19:14:00,39
2019-09-30 19:15:00,56
2019-09-30 19:16:00,52
2019-09-30 19:17:00,53
2019-09-30 19:18:00,57
2019-09-30 19:19:00,44
2019-09-30 19:20:00,56
2019-09-30 19:21:00,52
2019-09-30 19:22:00,32
2019-09-30 19:23:00,51
2019-09-30 19:24:00,55
2019-09-30 19:25:00,56
2019-09-30 19:26:00,56
2019-09-30 19:27:00,56
2019-09-30 19:28:00,58
2019-09-30 19:29:00,56
2019-09-30 19:30:00,51
2019-09-30 19:31:00,52
2019-09-30 19:32:00,53
2019-09-30 19:33:00,56
2019-09-30 19:34:00,56
2019-09-30 19:35:00,55
2019-09-30 19:36:00,58
2019-09-30 19:37:00,55
2019-09-30 19:38:00,47
2019-09-30 19:39:00,56
2019-09-30 19:40:00,34
2019-09-30 19:41:00,35
2019-09-30 19:42:00,59
2019-09-30 19:43:00,50
2019-09-30 19:44:00,60
2019-09-30 19:45:00,50
2019-09-30 19:46:00,46
2019-09-30 19:47:00,50
2019-09-30 19:48:00,40
2019-09-30 19:49:00,52
2019-09-30 19:50:00,54
2019-09-30 19:51:00,56
2019-09-30 19:52:00,50
2019-09-30 19:53:00,30
2019-09-30 19:54:00,43
2019-09-30 19:55:00,60
2019-09-30 19:56:00,36
2019-09-30 19:57:00,39
2019-09-30 19:58:00,51
2019-09-30 19:59:00,57
2019-09-30 20:00:00,50
2019-09-30 20:01:00,57
2019-09-30 20:02:00,57
2019-09-30 20:03:00,54
2019-09-30 20:04:00,56
2019-09-30 20:05:00,57
2019-09-30 20:06:00,45
2019-09-30 20:07:00,5
