22092,"select p.*   from dbo.MillenniumParticlesPosVel(#,&&&) p"
2019-05-07 08:32:00,8
2019-05-07 08:33:00,10
2019-05-07 08:34:00,9
2019-05-07 08:35:00,10
2019-05-07 08:36:00,9
2019-05-07 08:37:00,9
2019-05-07 08:38:00,11
2019-05-07 08:39:00,10
2019-05-07 08:40:00,7
2019-05-07 08:41:00,9
2019-05-07 08:42:00,9
2019-05-07 08:43:00,9
2019-05-07 08:44:00,10
2019-05-07 08:45:00,9
2019-05-07 08:46:00,10
2019-05-07 08:47:00,8
2019-05-07 08:48:00,10
2019-05-07 08:49:00,9
2019-05-07 08:50:00,10
2019-05-07 08:51:00,3
2019-05-07 11:03:00,1
2019-05-07 12:00:00,145
2019-05-07 12:01:00,178
2019-05-07 12:02:00,167
2019-05-07 12:03:00,177
2019-05-07 12:04:00,181
2019-05-07 12:05:00,176
2019-05-07 12:06:00,173
2019-05-07 12:07:00,173
2019-05-07 12:08:00,181
2019-05-07 12:09:00,168
2019-05-07 12:10:00,173
2019-05-07 12:11:00,174
2019-05-07 12:12:00,175
2019-05-07 12:13:00,170
2019-05-07 12:14:00,180
2019-05-07 12:15:00,181
2019-05-07 12:16:00,173
2019-05-07 12:17:00,173
2019-05-07 12:18:00,163
2019-05-07 12:19:00,165
2019-05-07 12:20:00,180
2019-05-07 12:21:00,159
2019-05-07 12:22:00,169
2019-05-07 12:23:00,175
2019-05-07 12:24:00,171
2019-05-07 12:25:00,179
2019-05-07 12:26:00,179
2019-05-07 12:27:00,180
2019-05-07 12:28:00,173
2019-05-07 12:29:00,177
2019-05-07 12:30:00,175
2019-05-07 12:31:00,176
2019-05-07 12:32:00,171
2019-05-07 12:33:00,177
2019-05-07 12:34:00,176
2019-05-07 12:35:00,156
2019-05-07 12:36:00,176
2019-05-07 12:37:00,175
2019-05-07 12:38:00,167
2019-05-07 12:39:00,167
2019-05-07 12:40:00,173
2019-05-07 12:41:00,171
2019-05-07 12:42:00,164
2019-05-07 12:43:00,138
2019-05-07 12:44:00,162
2019-05-07 12:45:00,157
2019-05-07 12:46:00,168
2019-05-07 12:47:00,166
2019-05-07 12:48:00,177
2019-05-07 12:49:00,169
2019-05-07 12:50:00,174
2019-05-07 12:51:00,169
2019-05-07 12:52:00,168
2019-05-07 12:53:00,171
2019-05-07 12:54:00,171
2019-05-07 12:55:00,175
2019-05-07 12:56:00,174
2019-05-07 12:57:00,159
2019-05-07 12:58:00,37
2019-05-07 13:34:00,111
2019-05-07 13:35:00,176
2019-05-07 13:36:00,167
2019-05-07 13:37:00,171
2019-05-07 13:38:00,174
2019-05-07 13:39:00,165
2019-05-07 13:40:00,168
2019-05-07 13:41:00,162
2019-05-07 13:42:00,177
2019-05-07 13:43:00,175
2019-05-07 13:44:00,174
2019-05-07 13:45:00,168
2019-05-07 13:46:00,172
2019-05-07 13:47:00,169
2019-05-07 13:48:00,171
2019-05-07 13:49:00,179
2019-05-07 13:50:00,171
2019-05-07 13:51:00,174
2019-05-07 13:52:00,174
2019-05-07 13:53:00,158
2019-05-07 13:54:00,165
2019-05-07 13:55:00,168
2019-05-07 13:56:00,173
2019-05-07 13:57:00,161
2019-05-07 13:58:00,148
2019-05-07 13:59:00,178
2019-05-07 14:00:00,53
2019-05-07 14:01:00,176
2019-05-07 14:02:00,170
2019-05-07 14:03:00,176
2019-05-07 14:04:00,170
2019-05-07 14:05:00,175
2019-05-07 14:06:00,169
2019-05-07 14:07:00,177
2019-05-07 14:08:00,175
2019-05-07 14:09:00,172
2019-05-07 14:10:00,176
2019-05-07 14:11:00,177
2019-05-07 14:12:00,169
2019-05-07 14:13:00,179
2019-05-07 14:14:00,167
2019-05-07 14:15:00,178
2019-05-07 14:16:00,177
2019-05-07 14:17:00,169
2019-05-07 14:18:00,169
2019-05-07 14:19:00,172
2019-05-07 14:20:00,171
2019-05-07 14:21:00,173
2019-05-07 14:22:00,178
2019-05-07 14:23:00,170
2019-05-07 14:24:00,182
2019-05-07 14:25:00,168
2019-05-07 14:26:00,170
2019-05-07 14:27:00,129
2019-05-07 14:28:00,87
2019-05-07 14:29:00,77
2019-05-07 14:30:00,2
2019-05-07 14:44:00,47
2019-05-07 14:45:00,156
2019-05-07 14:46:00,168
2019-05-07 14:47:00,159
2019-05-07 14:48:00,142
2019-05-07 14:49:00,43
2019-05-07 14:50:00,40
2019-05-07 14:51:00,32
2019-05-07 14:52:00,12
