2504,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and #/SQRT(psfFluxIvar_u)/psfFlux_u < # and #/SQRT(psfFluxIvar_g)/psfFlux_g < # and #/SQRT(psfFluxIvar_r)/psfFlux_r < # and #/SQRT(psfFluxIvar_i)/psfFlux_i < # and #/SQRT(psfFluxIvar_z)/psfFlux_z < #"
2019-08-15 05:21:00,4
2019-08-15 05:22:00,7
2019-08-15 05:23:00,8
2019-08-15 05:24:00,7
2019-08-15 05:25:00,6
2019-08-15 05:26:00,6
2019-08-15 05:27:00,7
2019-08-15 05:28:00,9
2019-08-15 05:29:00,6
2019-08-15 05:30:00,5
2019-08-15 05:31:00,6
2019-08-15 05:32:00,9
2019-08-15 05:33:00,8
2019-08-15 05:34:00,7
2019-08-15 05:35:00,8
2019-08-15 05:36:00,9
2019-08-15 05:37:00,9
2019-08-15 05:38:00,8
2019-08-15 05:39:00,10
2019-08-15 05:40:00,9
2019-08-15 05:41:00,7
2019-08-15 05:42:00,13
2019-08-15 05:43:00,9
2019-08-15 05:44:00,11
2019-08-15 05:45:00,13
2019-08-15 05:46:00,18
2019-08-15 05:47:00,13
2019-08-15 05:48:00,14
2019-08-15 05:49:00,8
2019-08-15 05:50:00,11
2019-08-15 05:51:00,9
2019-08-15 05:52:00,19
2019-08-15 05:53:00,17
2019-08-15 05:54:00,18
2019-08-15 05:55:00,20
2019-08-15 05:56:00,19
2019-08-15 05:57:00,23
2019-08-15 05:58:00,18
2019-08-15 05:59:00,7
