97295,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between # and #
2019-01-25 08:45:00,41
2019-01-25 08:46:00,55
2019-01-25 08:47:00,33
2019-01-25 08:48:00,39
2019-01-25 08:49:00,41
2019-01-25 08:50:00,12
2019-01-25 08:51:00,34
2019-01-25 08:52:00,38
2019-01-25 08:53:00,32
2019-01-25 08:54:00,35
2019-01-25 08:55:00,36
2019-01-25 08:56:00,14
2019-01-25 08:57:00,42
2019-01-25 08:58:00,46
2019-01-25 08:59:00,53
2019-01-25 09:00:00,53
2019-01-25 09:01:00,39
2019-01-25 09:02:00,14
2019-01-25 09:03:00,51
2019-01-25 09:04:00,49
2019-01-25 09:05:00,50
2019-01-25 09:06:00,23
2019-01-25 09:07:00,80
2019-01-25 09:08:00,434
2019-01-25 09:09:00,400
2019-01-25 09:10:00,164
2019-01-25 09:11:00,350
2019-01-25 09:12:00,245
2019-01-25 09:13:00,244
2019-01-25 09:15:00,279
2019-01-25 09:16:00,378
2019-01-25 09:17:00,323
2019-01-25 09:18:00,364
2019-01-25 09:19:00,308
2019-01-25 09:20:00,350
2019-01-25 09:21:00,388
2019-01-25 09:22:00,59
2019-01-25 09:23:00,271
2019-01-25 09:24:00,358
2019-01-25 09:25:00,364
2019-01-25 09:26:00,487
2019-01-25 09:27:00,400
2019-01-25 09:28:00,459
2019-01-25 09:29:00,405
2019-01-25 09:30:00,393
2019-01-25 09:31:00,336
2019-01-25 09:32:00,276
2019-01-25 09:33:00,387
2019-01-25 09:34:00,373
2019-01-25 09:35:00,419
2019-01-25 09:36:00,468
2019-01-25 09:37:00,356
2019-01-25 09:38:00,269
2019-01-25 09:39:00,389
2019-01-25 09:40:00,375
2019-01-25 09:41:00,314
2019-01-25 09:42:00,232
2019-01-25 09:43:00,342
2019-01-25 09:44:00,402
2019-01-25 09:45:00,372
2019-01-25 09:46:00,421
2019-01-25 09:47:00,388
2019-01-25 09:48:00,356
2019-01-25 09:49:00,379
2019-01-25 09:50:00,388
2019-01-25 09:51:00,359
2019-01-25 09:52:00,384
2019-01-25 09:53:00,355
2019-01-25 09:54:00,360
2019-01-25 09:55:00,331
2019-01-25 09:56:00,383
2019-01-25 09:57:00,354
2019-01-25 09:58:00,404
2019-01-25 09:59:00,351
2019-01-25 10:00:00,311
2019-01-25 10:01:00,332
2019-01-25 10:02:00,181
2019-01-25 10:04:00,303
2019-01-25 10:05:00,384
2019-01-25 10:06:00,355
2019-01-25 10:07:00,347
2019-01-25 10:08:00,314
2019-01-25 10:09:00,375
2019-01-25 10:10:00,253
2019-01-25 10:11:00,236
2019-01-25 10:12:00,97
2019-01-25 10:14:00,234
2019-01-25 10:15:00,304
2019-01-25 10:16:00,332
2019-01-25 10:17:00,324
2019-01-25 10:18:00,323
2019-01-25 10:19:00,307
2019-01-25 10:20:00,391
2019-01-25 10:21:00,378
2019-01-25 10:22:00,375
2019-01-25 10:23:00,328
2019-01-25 10:24:00,191
2019-01-25 10:27:00,276
2019-01-25 10:28:00,342
2019-01-25 10:29:00,328
2019-01-25 10:30:00,314
2019-01-25 10:31:00,334
2019-01-25 10:32:00,135
2019-01-25 10:33:00,348
2019-01-25 10:34:00,360
2019-01-25 10:35:00,328
2019-01-25 10:36:00,360
2019-01-25 10:37:00,317
2019-01-25 10:38:00,360
2019-01-25 10:39:00,168
2019-01-25 10:40:00,353
2019-01-25 10:41:00,407
2019-01-25 10:42:00,358
2019-01-25 10:43:00,346
2019-01-25 10:44:00,328
2019-01-25 10:45:00,349
2019-01-25 10:46:00,366
2019-01-25 10:47:00,393
2019-01-25 10:48:00,365
2019-01-25 10:49:00,340
2019-01-25 10:50:00,339
2019-01-25 10:51:00,249
2019-01-25 10:52:00,337
2019-01-25 10:53:00,344
2019-01-25 10:54:00,366
2019-01-25 10:55:00,360
2019-01-25 10:56:00,335
2019-01-25 10:57:00,294
2019-01-25 10:58:00,337
2019-01-25 10:59:00,346
2019-01-25 11:00:00,355
2019-01-25 11:01:00,305
2019-01-25 11:02:00,291
2019-01-25 11:03:00,262
2019-01-25 11:04:00,320
2019-01-25 11:05:00,382
2019-01-25 11:06:00,370
2019-01-25 11:07:00,335
2019-01-25 11:08:00,313
2019-01-25 11:09:00,299
2019-01-25 11:10:00,337
2019-01-25 11:11:00,383
2019-01-25 11:12:00,342
2019-01-25 11:13:00,328
2019-01-25 11:14:00,319
2019-01-25 11:15:00,324
2019-01-25 11:16:00,334
2019-01-25 11:17:00,392
2019-01-25 11:18:00,380
2019-01-25 11:19:00,390
2019-01-25 11:20:00,393
2019-01-25 11:21:00,352
2019-01-25 11:22:00,309
2019-01-25 11:23:00,374
2019-01-25 11:24:00,329
2019-01-25 11:25:00,319
2019-01-25 11:26:00,343
2019-01-25 11:27:00,351
2019-01-25 11:28:00,212
2019-01-25 11:29:00,344
2019-01-25 11:30:00,421
2019-01-25 11:31:00,347
2019-01-25 11:32:00,22
2019-01-25 11:33:00,308
2019-01-25 11:34:00,342
2019-01-25 11:35:00,340
2019-01-25 11:36:00,195
2019-01-25 11:37:00,20
2019-01-25 11:38:00,30
2019-01-25 11:39:00,345
2019-01-25 11:40:00,336
2019-01-25 11:41:00,337
2019-01-25 11:42:00,308
2019-01-25 11:43:00,308
2019-01-25 11:44:00,393
2019-01-25 11:45:00,152
2019-01-25 11:46:00,197
2019-01-25 11:47:00,337
2019-01-25 11:48:00,378
2019-01-25 11:49:00,339
2019-01-25 11:50:00,339
2019-01-25 11:51:00,377
2019-01-25 11:52:00,365
2019-01-25 11:53:00,321
2019-01-25 11:54:00,358
2019-01-25 11:55:00,348
2019-01-25 11:56:00,355
2019-01-25 11:57:00,384
2019-01-25 11:58:00,345
2019-01-25 11:59:00,373
2019-01-25 12:00:00,338
2019-01-25 12:01:00,338
2019-01-25 12:02:00,386
2019-01-25 12:03:00,359
2019-01-25 12:04:00,275
2019-01-25 12:05:00,343
2019-01-25 12:06:00,387
2019-01-25 12:07:00,336
2019-01-25 12:08:00,172
2019-01-25 12:10:00,333
2019-01-25 12:11:00,392
2019-01-25 12:12:00,352
2019-01-25 12:13:00,248
2019-01-25 12:14:00,31
2019-01-25 12:15:00,48
2019-01-25 12:16:00,21
2019-01-25 12:17:00,20
2019-01-25 12:18:00,31
2019-01-25 12:19:00,34
2019-01-25 12:20:00,11
2019-01-25 12:21:00,8
2019-01-25 12:22:00,21
2019-01-25 12:23:00,297
2019-01-25 12:24:00,326
2019-01-25 12:25:00,332
2019-01-25 12:26:00,333
2019-01-25 12:27:00,369
2019-01-25 12:28:00,403
2019-01-25 12:29:00,494
2019-01-25 12:30:00,298
2019-01-25 12:31:00,348
2019-01-25 12:32:00,338
2019-01-25 12:33:00,303
2019-01-25 12:34:00,325
2019-01-25 12:35:00,376
2019-01-25 12:36:00,355
2019-01-25 12:37:00,234
2019-01-25 12:38:00,282
2019-01-25 12:39:00,311
2019-01-25 12:40:00,363
2019-01-25 12:41:00,347
2019-01-25 12:42:00,23
2019-01-25 12:43:00,17
2019-01-25 12:50:00,10
2019-01-25 12:51:00,4
2019-01-25 12:52:00,39
2019-01-25 12:53:00,3
2019-01-25 13:01:00,14
2019-01-25 13:02:00,55
2019-01-25 13:03:00,18
2019-01-25 13:06:00,2
2019-01-25 13:07:00,10
2019-01-25 13:09:00,19
2019-01-25 13:23:00,33
2019-01-25 13:30:00,22
2019-01-25 13:31:00,4
2019-01-25 13:35:00,65
2019-01-25 13:36:00,94
2019-01-25 13:37:00,32
2019-01-25 13:42:00,17
2019-01-25 13:55:00,23
2019-01-25 13:56:00,36
2019-01-25 13:58:00,2
2019-01-25 14:03:00,1
2019-01-25 14:20:00,12
2019-01-25 14:21:00,10
2019-01-25 14:22:00,1
2019-01-25 14:25:00,9
2019-01-25 14:28:00,38
2019-01-25 14:31:00,19
2019-01-25 14:32:00,27
2019-01-25 14:35:00,101
2019-01-25 14:36:00,24
2019-01-25 14:37:00,30
2019-01-25 14:41:00,31
2019-01-25 14:42:00,23
2019-01-25 14:43:00,9
2019-01-25 14:44:00,117
2019-01-25 14:45:00,26
2019-01-25 14:46:00,5
2019-01-25 14:51:00,6
2019-01-25 14:53:00,318
2019-01-25 14:54:00,146
2019-01-25 14:55:00,5
2019-01-25 15:03:00,33
2019-01-25 15:04:00,145
2019-01-25 15:12:00,146
2019-01-25 15:13:00,3
2019-01-25 15:16:00,135
2019-01-25 15:21:00,215
2019-01-25 15:22:00,179
2019-01-25 15:23:00,155
2019-01-25 15:24:00,20
2019-01-25 15:25:00,350
2019-01-25 15:26:00,256
2019-01-25 15:34:00,11
2019-01-25 15:35:00,5
2019-01-25 15:37:00,16
2019-01-25 15:38:00,15
2019-01-25 15:44:00,185
2019-01-25 15:46:00,125
2019-01-25 15:47:00,49
2019-01-25 15:48:00,2
2019-01-25 15:49:00,10
2019-01-25 15:52:00,6
2019-01-25 16:01:00,31
2019-01-25 16:02:00,43
2019-01-25 16:03:00,13
2019-01-25 16:12:00,16
2019-01-25 16:13:00,10
2019-01-25 16:14:00,14
2019-01-25 16:17:00,290
2019-01-25 16:18:00,215
2019-01-25 16:19:00,390
2019-01-25 16:20:00,329
2019-01-25 16:31:00,154
2019-01-25 16:32:00,132
2019-01-25 16:33:00,360
2019-01-25 16:34:00,147
2019-01-25 16:35:00,73
2019-01-25 16:36:00,105
2019-01-25 16:37:00,387
2019-01-25 16:38:00,343
2019-01-25 16:39:00,13
2019-01-25 16:40:00,155
2019-01-25 16:41:00,295
2019-01-25 16:42:00,447
2019-01-25 16:51:00,14
2019-01-25 16:52:00,14
2019-01-25 16:56:00,87
2019-01-25 17:06:00,6
2019-01-25 17:07:00,114
2019-01-25 17:08:00,309
2019-01-25 17:09:00,373
2019-01-25 17:10:00,398
2019-01-25 17:11:00,400
2019-01-25 17:12:00,149
2019-01-25 17:18:00,10
