2849,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-25 16:10:00,1
2019-01-25 16:11:00,13
2019-01-25 16:12:00,2
2019-01-25 16:13:00,2
2019-01-25 16:15:00,6
2019-01-25 16:24:00,1
2019-01-25 16:25:00,3
2019-01-25 16:28:00,4
2019-01-25 16:29:00,11
2019-01-25 16:30:00,1
2019-01-25 16:31:00,2
2019-01-25 16:39:00,4
2019-01-25 16:40:00,1
2019-01-25 16:43:00,6
2019-01-25 16:44:00,3
2019-01-25 16:45:00,11
2019-01-25 16:46:00,5
2019-01-25 16:47:00,6
2019-01-25 16:53:00,3
2019-01-25 16:54:00,13
2019-01-25 16:55:00,4
2019-01-25 16:56:00,17
2019-01-25 16:57:00,6
2019-01-25 16:59:00,4
2019-01-25 17:00:00,1
2019-01-25 17:01:00,13
2019-01-25 17:02:00,22
2019-01-25 17:03:00,6
2019-01-25 17:04:00,4
2019-01-25 17:05:00,20
2019-01-25 17:06:00,1
2019-01-25 17:07:00,1
2019-01-25 17:08:00,6
2019-01-25 17:09:00,3
2019-01-25 17:12:00,18
2019-01-25 17:14:00,8
2019-01-25 17:15:00,3
2019-01-25 17:17:00,2
