3182,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-12-10 16:19:00,2
2019-12-10 16:21:00,12
2019-12-10 16:23:00,5
2019-12-10 16:24:00,3
2019-12-10 16:30:00,2
2019-12-10 16:31:00,8
2019-12-10 16:33:00,5
2019-12-10 16:34:00,5
2019-12-10 16:40:00,2
2019-12-10 16:41:00,13
2019-12-10 16:43:00,5
2019-12-10 16:44:00,3
2019-12-10 16:45:00,4
2019-12-10 16:50:00,2
2019-12-10 16:51:00,8
2019-12-10 16:53:00,5
2019-12-10 16:54:00,3
2019-12-10 17:00:00,2
2019-12-10 17:01:00,8
2019-12-10 17:03:00,5
2019-12-10 17:04:00,3
2019-12-10 17:10:00,2
2019-12-10 17:11:00,8
2019-12-10 17:13:00,5
2019-12-10 17:14:00,3
2019-12-10 17:20:00,2
2019-12-10 17:21:00,8
2019-12-10 17:23:00,5
2019-12-10 17:24:00,3
2019-12-10 17:30:00,7
2019-12-10 17:31:00,8
2019-12-10 17:32:00,4
2019-12-10 17:33:00,5
2019-12-10 17:34:00,5
2019-12-10 17:38:00,4
2019-12-10 17:39:00,4
2019-12-10 17:40:00,2
2019-12-10 17:41:00,7
2019-12-10 17:42:00,6
2019-12-10 17:43:00,9
2019-12-10 17:44:00,3
2019-12-10 17:45:00,4
2019-12-10 17:47:00,4
2019-12-10 17:50:00,2
2019-12-10 17:51:00,3
2019-12-10 17:52:00,9
2019-12-10 17:53:00,5
2019-12-10 17:54:00,3
2019-12-10 18:00:00,2
2019-12-10 18:01:00,7
2019-12-10 18:02:00,20
2019-12-10 18:03:00,5
2019-12-10 18:04:00,3
2019-12-10 18:05:00,5
2019-12-10 18:06:00,5
2019-12-10 18:07:00,10
2019-12-10 18:08:00,5
2019-12-10 18:10:00,2
2019-12-10 18:11:00,2
2019-12-10 18:12:00,6
2019-12-10 18:13:00,21
2019-12-10 18:14:00,7
2019-12-10 18:15:00,5
2019-12-10 18:16:00,1
2019-12-10 18:20:00,2
2019-12-10 18:21:00,2
2019-12-10 18:22:00,6
2019-12-10 18:23:00,5
2019-12-10 18:24:00,3
2019-12-10 18:30:00,2
2019-12-10 18:31:00,2
2019-12-10 18:32:00,10
2019-12-10 18:33:00,5
2019-12-10 18:34:00,5
2019-12-10 18:37:00,5
2019-12-10 18:39:00,5
2019-12-10 18:40:00,2
2019-12-10 18:41:00,7
2019-12-10 18:42:00,6
2019-12-10 18:43:00,5
2019-12-10 18:44:00,3
2019-12-10 18:45:00,4
2019-12-10 18:46:00,9
2019-12-10 18:50:00,2
2019-12-10 18:52:00,13
2019-12-10 18:53:00,5
2019-12-10 18:54:00,3
2019-12-10 18:55:00,4
2019-12-10 18:57:00,9
2019-12-10 19:00:00,2
2019-12-10 19:02:00,13
2019-12-10 19:03:00,5
2019-12-10 19:04:00,3
