984,select count(*) from [myscratch:default].decals_test3 where brickname = &&&
2019-10-31 10:19:00,4
2019-10-31 10:20:00,4
2019-10-31 10:21:00,5
2019-10-31 10:22:00,4
2019-10-31 10:23:00,4
2019-10-31 10:24:00,4
2019-10-31 10:25:00,4
2019-10-31 10:26:00,4
2019-10-31 10:27:00,4
2019-10-31 10:28:00,4
2019-10-31 10:29:00,4
2019-10-31 10:30:00,4
2019-10-31 10:31:00,4
2019-10-31 10:32:00,4
2019-10-31 10:33:00,4
2019-10-31 10:34:00,4
2019-10-31 10:35:00,4
2019-10-31 10:36:00,4
2019-10-31 10:37:00,4
2019-10-31 10:38:00,4
2019-10-31 10:39:00,3
2019-10-31 10:40:00,4
2019-10-31 10:41:00,4
2019-10-31 10:42:00,4
2019-10-31 10:43:00,4
2019-10-31 10:44:00,3
2019-10-31 10:45:00,4
2019-10-31 10:46:00,4
2019-10-31 10:47:00,4
2019-10-31 10:48:00,3
2019-10-31 10:49:00,3
2019-10-31 10:50:00,4
2019-10-31 10:51:00,4
2019-10-31 10:52:00,3
2019-10-31 10:53:00,4
2019-10-31 10:54:00,4
2019-10-31 10:55:00,3
2019-10-31 10:56:00,4
2019-10-31 10:57:00,4
2019-10-31 10:58:00,3
2019-10-31 10:59:00,4
2019-10-31 11:00:00,4
2019-10-31 11:01:00,3
2019-10-31 11:02:00,4
2019-10-31 11:03:00,3
2019-10-31 11:04:00,4
2019-10-31 11:05:00,3
2019-10-31 11:06:00,4
2019-10-31 11:07:00,3
2019-10-31 11:08:00,4
2019-10-31 11:09:00,4
2019-10-31 11:10:00,3
2019-10-31 11:11:00,4
2019-10-31 11:12:00,3
2019-10-31 11:13:00,4
2019-10-31 11:14:00,3
2019-10-31 11:15:00,4
2019-10-31 11:16:00,3
2019-10-31 11:17:00,4
2019-10-31 11:18:00,3
2019-10-31 11:19:00,3
2019-10-31 11:20:00,4
2019-10-31 11:21:00,3
2019-10-31 11:22:00,4
2019-10-31 11:23:00,3
2019-10-31 11:24:00,4
2019-10-31 11:25:00,3
2019-10-31 11:26:00,4
2019-10-31 11:27:00,3
2019-10-31 11:28:00,4
2019-10-31 11:29:00,3
2019-10-31 11:30:00,3
2019-10-31 11:31:00,4
2019-10-31 11:32:00,3
2019-10-31 11:33:00,3
2019-10-31 11:34:00,4
2019-10-31 11:35:00,3
2019-10-31 11:36:00,3
2019-10-31 11:37:00,3
2019-10-31 11:38:00,4
2019-10-31 11:39:00,3
2019-10-31 11:40:00,3
2019-10-31 11:41:00,4
2019-10-31 11:42:00,3
2019-10-31 11:43:00,3
2019-10-31 11:44:00,3
2019-10-31 11:45:00,4
2019-10-31 11:46:00,2
2019-10-31 11:47:00,4
2019-10-31 11:48:00,3
2019-10-31 11:49:00,3
2019-10-31 11:50:00,3
2019-10-31 11:51:00,4
2019-10-31 11:52:00,3
2019-10-31 11:53:00,3
2019-10-31 11:54:00,3
2019-10-31 11:55:00,3
2019-10-31 11:56:00,4
2019-10-31 11:57:00,3
