132791,"SELECT p.rowc_u,p.colc_u, p.rowc_g,p.colc_g, p.rowc_r,p.colc_r, p.rowc_i,p.colc_i, p.rowc_z,p.colc_z FROM PhotoObjAll as p WHERE p.objID = #"
2019-01-07 02:37:00,181
2019-01-07 02:38:00,176
2019-01-07 02:39:00,179
2019-01-07 02:40:00,173
2019-01-07 02:41:00,177
2019-01-07 02:42:00,179
2019-01-07 02:43:00,175
2019-01-07 02:44:00,181
2019-01-07 02:45:00,176
2019-01-07 02:46:00,181
2019-01-07 02:47:00,177
2019-01-07 02:48:00,177
2019-01-07 02:49:00,178
2019-01-07 02:50:00,178
2019-01-07 02:51:00,176
2019-01-07 02:52:00,179
2019-01-07 02:53:00,182
2019-01-07 02:54:00,176
2019-01-07 02:55:00,179
2019-01-07 02:56:00,180
2019-01-07 02:57:00,176
2019-01-07 02:58:00,178
2019-01-07 02:59:00,174
2019-01-07 03:00:00,175
2019-01-07 03:01:00,180
2019-01-07 03:02:00,172
2019-01-07 03:03:00,175
2019-01-07 03:04:00,182
2019-01-07 03:05:00,176
2019-01-07 03:06:00,173
2019-01-07 03:07:00,175
2019-01-07 03:08:00,176
2019-01-07 03:09:00,104
2019-01-07 03:10:00,181
2019-01-07 03:11:00,176
2019-01-07 03:12:00,130
2019-01-07 03:13:00,155
2019-01-07 03:14:00,180
2019-01-07 03:15:00,173
2019-01-07 03:16:00,174
2019-01-07 03:17:00,176
2019-01-07 03:18:00,165
2019-01-07 03:19:00,180
2019-01-07 03:20:00,177
2019-01-07 03:21:00,178
2019-01-07 03:22:00,179
2019-01-07 03:23:00,178
2019-01-07 03:24:00,169
2019-01-07 03:25:00,178
2019-01-07 03:26:00,177
2019-01-07 03:27:00,177
2019-01-07 03:28:00,180
2019-01-07 03:29:00,180
2019-01-07 03:30:00,180
2019-01-07 03:31:00,180
2019-01-07 03:32:00,173
2019-01-07 03:33:00,170
2019-01-07 03:34:00,169
2019-01-07 03:35:00,177
2019-01-07 03:36:00,177
2019-01-07 03:37:00,178
2019-01-07 03:38:00,173
2019-01-07 03:39:00,178
2019-01-07 03:40:00,180
2019-01-07 03:41:00,180
2019-01-07 03:42:00,180
2019-01-07 03:43:00,179
2019-01-07 03:44:00,175
2019-01-07 03:45:00,173
2019-01-07 03:46:00,182
2019-01-07 03:47:00,180
2019-01-07 03:48:00,182
2019-01-07 03:49:00,182
2019-01-07 03:50:00,171
2019-01-07 03:51:00,169
2019-01-07 03:52:00,175
2019-01-07 03:53:00,175
2019-01-07 03:54:00,179
2019-01-07 03:55:00,180
2019-01-07 03:56:00,181
2019-01-07 03:57:00,181
2019-01-07 03:58:00,181
2019-01-07 03:59:00,178
2019-01-07 04:00:00,176
2019-01-07 04:01:00,175
2019-01-07 04:02:00,179
2019-01-07 04:03:00,179
2019-01-07 04:04:00,174
2019-01-07 04:05:00,180
2019-01-07 04:06:00,175
2019-01-07 04:07:00,179
2019-01-07 04:08:00,176
2019-01-07 04:09:00,181
2019-01-07 04:10:00,180
2019-01-07 04:11:00,179
2019-01-07 04:12:00,179
2019-01-07 04:13:00,177
2019-01-07 04:14:00,178
2019-01-07 04:15:00,178
2019-01-07 04:16:00,182
2019-01-07 04:17:00,177
2019-01-07 04:18:00,177
2019-01-07 04:19:00,175
2019-01-07 04:20:00,178
2019-01-07 04:21:00,179
2019-01-07 04:22:00,174
2019-01-07 04:23:00,182
2019-01-07 04:24:00,181
2019-01-07 04:25:00,180
2019-01-07 04:26:00,182
2019-01-07 04:27:00,176
2019-01-07 04:28:00,174
2019-01-07 04:29:00,179
2019-01-07 04:30:00,160
2019-01-07 04:31:00,163
2019-01-07 04:32:00,182
2019-01-07 04:33:00,182
2019-01-07 04:34:00,180
2019-01-07 04:35:00,175
2019-01-07 04:36:00,172
2019-01-07 04:37:00,173
2019-01-07 04:38:00,177
2019-01-07 04:39:00,171
2019-01-07 04:40:00,178
2019-01-07 04:41:00,181
2019-01-07 04:42:00,179
2019-01-07 04:43:00,178
2019-01-07 04:44:00,179
2019-01-07 04:45:00,178
2019-01-07 04:46:00,179
2019-01-07 04:47:00,176
2019-01-07 04:48:00,175
2019-01-07 04:49:00,177
2019-01-07 04:50:00,181
2019-01-07 04:51:00,177
2019-01-07 04:52:00,181
2019-01-07 04:53:00,182
2019-01-07 04:54:00,179
2019-01-07 04:55:00,169
2019-01-07 04:56:00,173
2019-01-07 04:57:00,177
2019-01-07 04:58:00,174
2019-01-07 04:59:00,181
2019-01-07 05:00:00,177
2019-01-07 05:01:00,182
2019-01-07 05:02:00,178
2019-01-07 05:03:00,178
2019-01-07 05:04:00,171
2019-01-07 05:05:00,174
2019-01-07 05:06:00,174
2019-01-07 05:07:00,174
2019-01-07 05:08:00,178
2019-01-07 05:09:00,181
2019-01-07 05:10:00,181
2019-01-07 05:11:00,179
2019-01-07 05:12:00,180
2019-01-07 05:13:00,177
2019-01-07 05:14:00,177
2019-01-07 05:15:00,171
2019-01-07 05:16:00,178
2019-01-07 05:17:00,182
2019-01-07 05:18:00,182
2019-01-07 05:19:00,177
2019-01-07 05:20:00,180
2019-01-07 05:21:00,174
2019-01-07 05:22:00,172
2019-01-07 05:23:00,173
2019-01-07 05:24:00,175
2019-01-07 05:25:00,176
2019-01-07 05:26:00,180
2019-01-07 05:27:00,170
2019-01-07 05:28:00,179
2019-01-07 05:29:00,180
2019-01-07 05:30:00,172
2019-01-07 05:31:00,176
2019-01-07 05:32:00,171
2019-01-07 05:33:00,177
2019-01-07 05:34:00,176
2019-01-07 05:35:00,175
2019-01-07 05:36:00,178
2019-01-07 05:37:00,180
2019-01-07 05:38:00,178
2019-01-07 05:39:00,170
2019-01-07 05:40:00,164
2019-01-07 05:41:00,175
2019-01-07 05:42:00,173
2019-01-07 05:43:00,169
2019-01-07 05:44:00,154
2019-01-07 05:45:00,179
2019-01-07 05:46:00,179
2019-01-07 05:47:00,181
2019-01-07 05:48:00,177
2019-01-07 05:49:00,175
2019-01-07 05:50:00,175
2019-01-07 05:51:00,178
2019-01-07 05:52:00,177
2019-01-07 05:53:00,176
2019-01-07 05:54:00,182
2019-01-07 05:55:00,177
2019-01-07 05:56:00,178
2019-01-07 05:57:00,180
2019-01-07 05:58:00,174
2019-01-07 05:59:00,170
2019-01-07 06:00:00,174
2019-01-07 06:01:00,177
2019-01-07 06:02:00,173
2019-01-07 06:03:00,182
2019-01-07 06:04:00,182
2019-01-07 06:05:00,91
2019-01-07 06:06:00,181
2019-01-07 06:07:00,175
2019-01-07 06:08:00,169
2019-01-07 06:09:00,174
2019-01-07 06:10:00,177
2019-01-07 06:11:00,173
2019-01-07 06:12:00,177
2019-01-07 06:13:00,177
2019-01-07 06:14:00,178
2019-01-07 06:15:00,160
2019-01-07 06:16:00,169
2019-01-07 06:17:00,175
2019-01-07 06:18:00,173
2019-01-07 06:19:00,173
2019-01-07 06:20:00,175
2019-01-07 06:21:00,179
2019-01-07 06:22:00,181
2019-01-07 06:23:00,179
2019-01-07 06:24:00,179
2019-01-07 06:25:00,175
2019-01-07 06:26:00,180
2019-01-07 06:27:00,177
2019-01-07 06:28:00,176
2019-01-07 06:29:00,180
2019-01-07 06:30:00,182
2019-01-07 06:31:00,180
2019-01-07 06:32:00,174
2019-01-07 06:33:00,177
2019-01-07 06:34:00,178
2019-01-07 06:35:00,173
2019-01-07 06:36:00,179
2019-01-07 06:37:00,178
2019-01-07 06:38:00,175
2019-01-07 06:39:00,180
2019-01-07 06:40:00,173
2019-01-07 06:41:00,176
2019-01-07 06:42:00,177
2019-01-07 06:43:00,176
2019-01-07 06:44:00,179
2019-01-07 06:45:00,176
2019-01-07 06:46:00,175
2019-01-07 06:47:00,180
2019-01-07 06:48:00,176
2019-01-07 06:49:00,184
2019-01-07 06:50:00,179
2019-01-07 06:51:00,182
2019-01-07 06:52:00,171
2019-01-07 06:53:00,174
2019-01-07 06:54:00,180
2019-01-07 06:55:00,172
2019-01-07 06:56:00,175
2019-01-07 06:57:00,181
2019-01-07 06:58:00,181
2019-01-07 06:59:00,177
2019-01-07 07:00:00,177
2019-01-07 07:01:00,179
2019-01-07 07:02:00,172
2019-01-07 07:03:00,174
2019-01-07 07:04:00,160
2019-01-07 07:05:00,110
2019-01-07 07:06:00,181
2019-01-07 07:07:00,177
2019-01-07 07:08:00,180
2019-01-07 07:09:00,181
2019-01-07 07:10:00,179
2019-01-07 07:11:00,173
2019-01-07 07:12:00,173
2019-01-07 07:13:00,176
2019-01-07 07:14:00,181
2019-01-07 07:15:00,157
2019-01-07 07:16:00,172
2019-01-07 07:17:00,176
2019-01-07 07:18:00,179
2019-01-07 07:19:00,178
2019-01-07 07:20:00,169
2019-01-07 07:21:00,176
2019-01-07 07:22:00,173
2019-01-07 07:23:00,176
2019-01-07 07:24:00,173
2019-01-07 07:25:00,179
2019-01-07 07:26:00,183
2019-01-07 07:27:00,180
2019-01-07 07:28:00,178
2019-01-07 07:29:00,176
2019-01-07 07:30:00,177
2019-01-07 07:31:00,174
2019-01-07 07:32:00,181
2019-01-07 07:33:00,178
2019-01-07 07:34:00,177
2019-01-07 07:35:00,177
2019-01-07 07:36:00,182
2019-01-07 07:37:00,172
2019-01-07 07:38:00,178
2019-01-07 07:39:00,170
2019-01-07 07:40:00,178
2019-01-07 07:41:00,175
2019-01-07 07:42:00,177
2019-01-07 07:43:00,176
2019-01-07 07:44:00,178
2019-01-07 07:45:00,179
2019-01-07 07:46:00,179
2019-01-07 07:47:00,177
2019-01-07 07:48:00,171
2019-01-07 07:49:00,180
2019-01-07 07:50:00,179
2019-01-07 07:51:00,175
2019-01-07 07:52:00,182
2019-01-07 07:53:00,174
2019-01-07 07:54:00,182
2019-01-07 07:55:00,180
2019-01-07 07:56:00,176
2019-01-07 07:57:00,175
2019-01-07 07:58:00,174
2019-01-07 07:59:00,173
2019-01-07 08:00:00,169
2019-01-07 08:01:00,178
2019-01-07 08:02:00,178
2019-01-07 08:03:00,179
2019-01-07 08:04:00,162
2019-01-07 08:05:00,108
2019-01-07 08:06:00,170
2019-01-07 08:07:00,174
2019-01-07 08:08:00,176
2019-01-07 08:09:00,172
2019-01-07 08:10:00,178
2019-01-07 08:11:00,176
2019-01-07 08:12:00,171
2019-01-07 08:13:00,178
2019-01-07 08:14:00,145
2019-01-07 08:15:00,24
2019-01-07 08:16:00,174
2019-01-07 08:17:00,178
2019-01-07 08:18:00,169
2019-01-07 08:19:00,177
2019-01-07 08:20:00,175
2019-01-07 08:21:00,174
2019-01-07 08:22:00,180
2019-01-07 08:23:00,180
2019-01-07 08:24:00,181
2019-01-07 08:25:00,177
2019-01-07 08:26:00,174
2019-01-07 08:27:00,173
2019-01-07 08:28:00,170
2019-01-07 08:29:00,181
2019-01-07 08:30:00,181
2019-01-07 08:31:00,180
2019-01-07 08:32:00,177
2019-01-07 08:33:00,179
2019-01-07 08:34:00,178
2019-01-07 08:35:00,172
2019-01-07 08:36:00,171
2019-01-07 08:37:00,175
2019-01-07 08:38:00,174
2019-01-07 08:39:00,172
2019-01-07 08:40:00,175
2019-01-07 08:41:00,170
2019-01-07 08:42:00,175
2019-01-07 08:43:00,158
2019-01-07 08:44:00,152
2019-01-07 08:45:00,177
2019-01-07 08:46:00,173
2019-01-07 08:47:00,173
2019-01-07 08:48:00,177
2019-01-07 08:49:00,176
2019-01-07 08:50:00,155
2019-01-07 08:51:00,179
2019-01-07 08:52:00,177
2019-01-07 08:53:00,174
2019-01-07 08:54:00,170
2019-01-07 08:55:00,177
2019-01-07 08:56:00,172
2019-01-07 08:57:00,175
2019-01-07 08:58:00,175
2019-01-07 08:59:00,179
2019-01-07 09:00:00,176
2019-01-07 09:01:00,173
2019-01-07 09:02:00,176
2019-01-07 09:03:00,175
2019-01-07 09:04:00,170
2019-01-07 09:05:00,164
2019-01-07 09:06:00,170
2019-01-07 09:07:00,172
2019-01-07 09:08:00,173
2019-01-07 09:09:00,180
2019-01-07 09:10:00,178
2019-01-07 09:11:00,180
2019-01-07 09:12:00,173
2019-01-07 09:13:00,177
2019-01-07 09:14:00,168
2019-01-07 09:15:00,174
2019-01-07 09:16:00,180
2019-01-07 09:17:00,177
2019-01-07 09:18:00,179
2019-01-07 09:19:00,181
2019-01-07 09:20:00,180
2019-01-07 09:21:00,174
2019-01-07 09:22:00,177
2019-01-07 09:23:00,176
2019-01-07 09:24:00,173
2019-01-07 09:25:00,175
2019-01-07 09:26:00,175
2019-01-07 09:27:00,180
2019-01-07 09:28:00,180
2019-01-07 09:29:00,177
2019-01-07 09:30:00,169
2019-01-07 09:31:00,176
2019-01-07 09:32:00,178
2019-01-07 09:33:00,173
2019-01-07 09:34:00,174
2019-01-07 09:35:00,176
2019-01-07 09:36:00,180
2019-01-07 09:37:00,182
2019-01-07 09:38:00,178
2019-01-07 09:39:00,172
2019-01-07 09:40:00,180
2019-01-07 09:41:00,176
2019-01-07 09:42:00,175
2019-01-07 09:43:00,179
2019-01-07 09:44:00,179
2019-01-07 09:45:00,181
2019-01-07 09:46:00,172
2019-01-07 09:47:00,175
2019-01-07 09:48:00,170
2019-01-07 09:49:00,181
2019-01-07 09:50:00,173
2019-01-07 09:51:00,181
2019-01-07 09:52:00,184
2019-01-07 09:53:00,181
2019-01-07 09:54:00,182
2019-01-07 09:55:00,176
2019-01-07 09:56:00,175
2019-01-07 09:57:00,177
2019-01-07 09:58:00,174
2019-01-07 09:59:00,178
2019-01-07 10:00:00,185
2019-01-07 10:01:00,181
2019-01-07 10:02:00,175
2019-01-07 10:03:00,180
2019-01-07 10:04:00,173
2019-01-07 10:05:00,156
2019-01-07 10:06:00,181
2019-01-07 10:07:00,176
2019-01-07 10:08:00,176
2019-01-07 10:09:00,181
2019-01-07 10:10:00,177
2019-01-07 10:11:00,175
2019-01-07 10:12:00,180
2019-01-07 10:13:00,177
2019-01-07 10:14:00,55
2019-01-07 10:15:00,49
2019-01-07 10:16:00,133
2019-01-07 10:17:00,183
2019-01-07 10:18:00,172
2019-01-07 10:19:00,177
2019-01-07 10:20:00,179
2019-01-07 10:21:00,175
2019-01-07 10:22:00,182
2019-01-07 10:23:00,180
2019-01-07 10:24:00,181
2019-01-07 10:25:00,183
2019-01-07 10:26:00,182
2019-01-07 10:27:00,180
2019-01-07 10:28:00,178
2019-01-07 10:29:00,177
2019-01-07 10:30:00,179
2019-01-07 10:31:00,179
2019-01-07 10:32:00,176
2019-01-07 10:33:00,182
2019-01-07 10:34:00,183
2019-01-07 10:35:00,179
2019-01-07 10:36:00,180
2019-01-07 10:37:00,177
2019-01-07 10:38:00,169
2019-01-07 10:39:00,184
2019-01-07 10:40:00,181
2019-01-07 10:41:00,179
2019-01-07 10:42:00,182
2019-01-07 10:43:00,179
2019-01-07 10:44:00,178
2019-01-07 10:45:00,178
2019-01-07 10:46:00,180
2019-01-07 10:47:00,181
2019-01-07 10:48:00,181
2019-01-07 10:49:00,182
2019-01-07 10:50:00,178
2019-01-07 10:51:00,176
2019-01-07 10:52:00,181
2019-01-07 10:53:00,179
2019-01-07 10:54:00,180
2019-01-07 10:55:00,180
2019-01-07 10:56:00,179
2019-01-07 10:57:00,182
2019-01-07 10:58:00,180
2019-01-07 10:59:00,181
2019-01-07 11:00:00,182
2019-01-07 11:01:00,179
2019-01-07 11:02:00,177
2019-01-07 11:03:00,178
2019-01-07 11:04:00,180
2019-01-07 11:05:00,176
2019-01-07 11:06:00,180
2019-01-07 11:07:00,176
2019-01-07 11:08:00,183
2019-01-07 11:09:00,181
2019-01-07 11:10:00,181
2019-01-07 11:11:00,175
2019-01-07 11:12:00,180
2019-01-07 11:13:00,177
2019-01-07 11:14:00,180
2019-01-07 11:15:00,178
2019-01-07 11:16:00,183
2019-01-07 11:17:00,182
2019-01-07 11:18:00,181
2019-01-07 11:19:00,177
2019-01-07 11:20:00,174
2019-01-07 11:21:00,176
2019-01-07 11:22:00,171
2019-01-07 11:23:00,175
2019-01-07 11:24:00,180
2019-01-07 11:25:00,180
2019-01-07 11:26:00,178
2019-01-07 11:27:00,181
2019-01-07 11:28:00,177
2019-01-07 11:29:00,178
2019-01-07 11:30:00,179
2019-01-07 11:31:00,179
2019-01-07 11:32:00,183
2019-01-07 11:33:00,175
2019-01-07 11:34:00,181
2019-01-07 11:35:00,172
2019-01-07 11:36:00,179
2019-01-07 11:37:00,159
2019-01-07 11:38:00,179
2019-01-07 11:39:00,169
2019-01-07 11:40:00,181
2019-01-07 11:41:00,180
2019-01-07 11:42:00,182
2019-01-07 11:43:00,179
2019-01-07 11:44:00,183
2019-01-07 11:45:00,182
2019-01-07 11:46:00,179
2019-01-07 11:47:00,179
2019-01-07 11:48:00,178
2019-01-07 11:49:00,182
2019-01-07 11:50:00,175
2019-01-07 11:51:00,181
2019-01-07 11:52:00,178
2019-01-07 11:53:00,174
2019-01-07 11:54:00,179
2019-01-07 11:55:00,175
2019-01-07 11:56:00,173
2019-01-07 11:57:00,179
2019-01-07 11:58:00,177
2019-01-07 11:59:00,174
2019-01-07 12:00:00,180
2019-01-07 12:01:00,181
2019-01-07 12:02:00,181
2019-01-07 12:03:00,182
2019-01-07 12:04:00,179
2019-01-07 12:05:00,178
2019-01-07 12:06:00,173
2019-01-07 12:07:00,174
2019-01-07 12:08:00,170
2019-01-07 12:09:00,175
2019-01-07 12:10:00,177
2019-01-07 12:11:00,175
2019-01-07 12:12:00,171
2019-01-07 12:13:00,181
2019-01-07 12:14:00,177
2019-01-07 12:15:00,177
2019-01-07 12:16:00,178
2019-01-07 12:17:00,173
2019-01-07 12:18:00,177
2019-01-07 12:19:00,179
2019-01-07 12:20:00,174
2019-01-07 12:21:00,182
2019-01-07 12:22:00,178
2019-01-07 12:23:00,178
2019-01-07 12:24:00,168
2019-01-07 12:25:00,176
2019-01-07 12:26:00,174
2019-01-07 12:27:00,181
2019-01-07 12:28:00,170
2019-01-07 12:29:00,181
2019-01-07 12:30:00,181
2019-01-07 12:31:00,174
2019-01-07 12:32:00,173
2019-01-07 12:33:00,180
2019-01-07 12:34:00,174
2019-01-07 12:35:00,176
2019-01-07 12:36:00,102
