226,SELECT TOP # and #=#
2019-07-04 08:04:00,1
2019-07-04 08:10:00,1
2019-07-04 08:16:00,1
2019-07-04 08:19:00,1
2019-07-04 08:22:00,1
2019-07-04 08:25:00,1
2019-07-04 08:28:00,1
2019-07-04 08:36:00,1
2019-07-04 08:37:00,1
2019-07-04 08:40:00,1
2019-07-04 08:43:00,1
2019-07-04 08:46:00,1
2019-07-04 08:55:00,1
2019-07-04 08:58:00,1
2019-07-04 09:04:00,1
2019-07-04 09:07:00,1
2019-07-04 09:10:00,1
2019-07-04 09:13:00,1
2019-07-04 09:16:00,1
2019-07-04 09:19:00,1
2019-07-04 09:28:00,1
2019-07-04 09:34:00,1
2019-07-04 09:37:00,1
2019-07-04 09:40:00,1
2019-07-04 09:43:00,1
2019-07-04 09:46:00,1
2019-07-04 09:49:00,1
2019-07-04 09:55:00,1
2019-07-04 09:58:00,1
2019-07-04 10:04:00,1
2019-07-04 10:10:00,1
2019-07-04 10:13:00,1
2019-07-04 10:25:00,1
2019-07-04 10:28:00,1
2019-07-04 10:37:00,1
2019-07-04 10:40:00,1
2019-07-04 10:49:00,1
2019-07-04 10:52:00,1
2019-07-04 10:58:00,1
2019-07-04 11:01:00,1
2019-07-04 11:04:00,1
2019-07-04 11:07:00,1
2019-07-04 11:10:00,1
2019-07-04 11:13:00,1
2019-07-04 11:16:00,1
2019-07-04 11:19:00,1
2019-07-04 11:22:00,1
2019-07-04 11:25:00,1
2019-07-04 11:31:00,1
2019-07-04 11:43:00,1
2019-07-04 11:55:00,1
2019-07-04 12:01:00,1
2019-07-04 12:07:00,1
2019-07-04 12:10:00,1
2019-07-04 12:22:00,1
2019-07-04 12:25:00,1
2019-07-04 12:31:00,1
2019-07-04 12:34:00,1
2019-07-04 12:43:00,1
2019-07-04 12:48:00,1
2019-07-04 13:32:00,1
2019-07-04 13:55:00,1
2019-07-04 14:19:00,1
2019-07-04 14:44:00,1
2019-07-04 15:08:00,1
2019-07-04 15:56:00,1
2019-07-04 16:43:00,1
2019-07-04 17:07:00,1
2019-07-04 17:31:00,1
2019-07-04 18:19:00,1
2019-07-04 19:02:00,1
2019-07-04 19:14:00,1
2019-07-04 19:38:00,1
2019-07-04 20:09:00,1
2019-07-04 20:15:00,1
2019-07-04 20:27:00,1
2019-07-04 20:31:00,1
2019-07-04 20:35:00,1
2019-07-04 20:45:00,1
2019-07-04 20:46:00,1
2019-07-04 20:48:00,1
2019-07-04 20:51:00,1
2019-07-04 20:54:00,1
2019-07-04 21:00:00,1
2019-07-04 21:06:00,1
2019-07-04 21:15:00,1
2019-07-04 21:18:00,1
2019-07-04 21:21:00,1
2019-07-04 21:24:00,1
2019-07-04 21:27:00,1
2019-07-04 21:30:00,1
2019-07-04 21:36:00,1
2019-07-04 21:39:00,1
2019-07-04 21:48:00,1
2019-07-04 21:51:00,1
2019-07-04 21:54:00,1
2019-07-04 21:57:00,1
2019-07-04 22:03:00,1
2019-07-04 22:06:00,1
2019-07-04 22:09:00,1
2019-07-04 22:12:00,1
2019-07-04 22:15:00,1
2019-07-04 22:21:00,1
2019-07-04 22:24:00,1
2019-07-04 22:27:00,1
2019-07-04 22:30:00,1
2019-07-04 22:33:00,1
2019-07-04 22:39:00,1
2019-07-04 22:42:00,1
2019-07-04 22:45:00,1
2019-07-04 22:48:00,1
2019-07-04 22:51:00,1
2019-07-04 23:00:00,1
2019-07-04 23:09:00,1
2019-07-04 23:12:00,1
2019-07-04 23:18:00,1
2019-07-04 23:21:00,1
2019-07-04 23:24:00,1
2019-07-04 23:30:00,1
2019-07-04 23:39:00,1
2019-07-04 23:44:00,1
2019-07-04 23:48:00,1
2019-07-04 23:54:00,1
2019-07-04 23:57:00,1
