20536,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-10-20 03:26:00,44
2019-10-20 03:27:00,39
2019-10-20 03:28:00,44
2019-10-20 03:29:00,44
2019-10-20 03:30:00,36
2019-10-20 03:31:00,43
2019-10-20 03:32:00,44
2019-10-20 03:33:00,40
2019-10-20 03:34:00,43
2019-10-20 03:35:00,44
2019-10-20 03:36:00,41
2019-10-20 03:37:00,45
2019-10-20 03:38:00,45
2019-10-20 03:39:00,43
2019-10-20 03:40:00,45
2019-10-20 03:41:00,45
2019-10-20 03:42:00,44
2019-10-20 03:43:00,42
2019-10-20 03:44:00,44
2019-10-20 03:45:00,44
2019-10-20 03:46:00,44
2019-10-20 03:47:00,44
2019-10-20 03:48:00,44
2019-10-20 03:49:00,43
2019-10-20 03:50:00,43
2019-10-20 03:51:00,44
2019-10-20 03:52:00,44
2019-10-20 03:53:00,44
2019-10-20 03:54:00,35
2019-10-20 03:55:00,41
2019-10-20 03:56:00,42
2019-10-20 03:57:00,42
2019-10-20 03:58:00,43
2019-10-20 03:59:00,41
2019-10-20 04:00:00,44
2019-10-20 04:01:00,41
2019-10-20 04:02:00,41
2019-10-20 04:03:00,41
2019-10-20 04:04:00,41
2019-10-20 04:05:00,37
2019-10-20 04:06:00,39
2019-10-20 04:07:00,39
2019-10-20 04:08:00,42
2019-10-20 04:09:00,41
2019-10-20 04:10:00,38
2019-10-20 04:11:00,37
2019-10-20 04:12:00,43
2019-10-20 04:13:00,42
2019-10-20 04:14:00,41
2019-10-20 04:15:00,32
2019-10-20 04:16:00,38
2019-10-20 04:17:00,41
2019-10-20 04:18:00,41
2019-10-20 04:19:00,41
2019-10-20 04:20:00,41
2019-10-20 04:21:00,40
2019-10-20 04:22:00,41
2019-10-20 04:23:00,37
2019-10-20 04:24:00,40
2019-10-20 04:25:00,39
2019-10-20 04:26:00,39
2019-10-20 04:27:00,38
2019-10-20 04:28:00,41
2019-10-20 04:29:00,39
2019-10-20 04:30:00,41
2019-10-20 04:31:00,40
2019-10-20 04:32:00,42
2019-10-20 04:33:00,42
2019-10-20 04:34:00,41
2019-10-20 04:35:00,39
2019-10-20 04:36:00,33
2019-10-20 04:37:00,37
2019-10-20 04:38:00,39
2019-10-20 04:39:00,39
2019-10-20 04:40:00,39
2019-10-20 04:41:00,39
2019-10-20 04:42:00,40
2019-10-20 04:43:00,40
2019-10-20 04:44:00,42
2019-10-20 04:45:00,40
2019-10-20 04:46:00,40
2019-10-20 04:47:00,37
2019-10-20 04:48:00,38
2019-10-20 04:49:00,38
2019-10-20 04:50:00,40
2019-10-20 04:51:00,38
2019-10-20 04:52:00,39
2019-10-20 04:53:00,38
2019-10-20 04:54:00,39
2019-10-20 04:55:00,36
2019-10-20 04:56:00,35
2019-10-20 04:57:00,41
2019-10-20 04:58:00,40
2019-10-20 04:59:00,40
2019-10-20 05:00:00,34
2019-10-20 05:01:00,38
2019-10-20 05:02:00,39
2019-10-20 05:03:00,39
2019-10-20 05:04:00,40
2019-10-20 05:05:00,38
2019-10-20 05:06:00,38
2019-10-20 05:07:00,39
2019-10-20 05:08:00,39
2019-10-20 05:09:00,38
2019-10-20 05:10:00,38
2019-10-20 05:11:00,38
2019-10-20 05:12:00,40
2019-10-20 05:13:00,37
2019-10-20 05:14:00,38
2019-10-20 05:15:00,36
2019-10-20 05:16:00,39
2019-10-20 05:17:00,38
2019-10-20 05:18:00,40
2019-10-20 05:19:00,39
2019-10-20 05:20:00,41
2019-10-20 05:21:00,34
2019-10-20 05:22:00,36
2019-10-20 05:23:00,36
2019-10-20 05:24:00,33
2019-10-20 05:25:00,31
2019-10-20 05:26:00,36
2019-10-20 05:27:00,36
2019-10-20 05:28:00,37
2019-10-20 05:29:00,38
2019-10-20 05:30:00,37
2019-10-20 05:31:00,38
2019-10-20 05:32:00,36
2019-10-20 05:33:00,37
2019-10-20 05:34:00,38
2019-10-20 05:35:00,38
2019-10-20 05:36:00,37
2019-10-20 05:37:00,35
2019-10-20 05:38:00,38
2019-10-20 05:39:00,38
2019-10-20 05:40:00,38
2019-10-20 05:41:00,37
2019-10-20 05:42:00,34
2019-10-20 05:43:00,38
2019-10-20 05:44:00,38
2019-10-20 05:45:00,37
2019-10-20 05:46:00,37
2019-10-20 05:47:00,37
2019-10-20 05:48:00,35
2019-10-20 05:49:00,36
2019-10-20 05:50:00,37
2019-10-20 05:51:00,35
2019-10-20 05:52:00,35
2019-10-20 05:53:00,37
2019-10-20 05:54:00,37
2019-10-20 05:55:00,35
2019-10-20 05:56:00,35
2019-10-20 05:57:00,35
2019-10-20 05:58:00,35
2019-10-20 05:59:00,36
2019-10-20 06:00:00,36
2019-10-20 06:01:00,35
2019-10-20 06:02:00,36
2019-10-20 06:03:00,35
2019-10-20 06:04:00,38
2019-10-20 06:05:00,35
2019-10-20 06:06:00,39
2019-10-20 06:07:00,36
2019-10-20 06:08:00,38
2019-10-20 06:09:00,31
2019-10-20 06:10:00,3
2019-10-20 06:43:00,3
2019-10-20 06:44:00,24
2019-10-20 07:23:00,28
2019-10-20 07:24:00,9
2019-10-20 07:57:00,18
2019-10-20 07:58:00,10
2019-10-20 19:18:00,21
2019-10-20 19:19:00,32
2019-10-20 19:20:00,32
2019-10-20 19:21:00,33
2019-10-20 19:22:00,34
2019-10-20 19:23:00,33
2019-10-20 19:24:00,35
2019-10-20 19:25:00,32
2019-10-20 19:26:00,35
2019-10-20 19:27:00,37
2019-10-20 19:28:00,35
2019-10-20 19:29:00,33
2019-10-20 19:30:00,35
2019-10-20 19:31:00,36
2019-10-20 19:32:00,36
2019-10-20 19:33:00,36
2019-10-20 19:34:00,36
2019-10-20 19:35:00,36
2019-10-20 19:36:00,37
2019-10-20 19:37:00,33
2019-10-20 19:38:00,37
2019-10-20 19:39:00,35
2019-10-20 19:40:00,35
2019-10-20 19:41:00,35
2019-10-20 19:42:00,33
2019-10-20 19:43:00,21
2019-10-20 19:44:00,14
2019-10-20 19:45:00,16
2019-10-20 19:46:00,17
2019-10-20 19:47:00,21
2019-10-20 19:48:00,23
2019-10-20 19:49:00,14
2019-10-20 19:50:00,14
2019-10-20 19:51:00,18
2019-10-20 19:52:00,32
2019-10-20 19:53:00,28
2019-10-20 19:54:00,35
2019-10-20 19:55:00,28
2019-10-20 19:56:00,33
2019-10-20 19:57:00,33
2019-10-20 19:58:00,33
2019-10-20 19:59:00,34
2019-10-20 20:00:00,33
2019-10-20 20:01:00,31
2019-10-20 20:02:00,35
2019-10-20 20:03:00,31
2019-10-20 20:04:00,34
2019-10-20 20:05:00,35
2019-10-20 20:06:00,24
2019-10-20 20:07:00,34
2019-10-20 20:08:00,34
2019-10-20 20:09:00,34
2019-10-20 20:10:00,34
2019-10-20 20:11:00,29
2019-10-20 20:12:00,22
2019-10-20 20:13:00,29
2019-10-20 20:14:00,22
2019-10-20 20:15:00,32
2019-10-20 20:16:00,33
2019-10-20 20:17:00,33
2019-10-20 20:18:00,35
2019-10-20 20:19:00,35
2019-10-20 20:20:00,36
2019-10-20 20:21:00,30
2019-10-20 20:22:00,32
2019-10-20 20:23:00,33
2019-10-20 20:24:00,35
2019-10-20 20:25:00,33
2019-10-20 20:26:00,34
2019-10-20 20:27:00,33
2019-10-20 20:28:00,34
2019-10-20 20:29:00,32
2019-10-20 20:30:00,34
2019-10-20 20:31:00,32
2019-10-20 20:32:00,33
2019-10-20 20:33:00,35
2019-10-20 20:34:00,34
2019-10-20 20:35:00,34
2019-10-20 20:36:00,32
2019-10-20 20:37:00,33
2019-10-20 20:38:00,34
2019-10-20 20:39:00,33
2019-10-20 20:40:00,34
2019-10-20 20:41:00,34
2019-10-20 20:42:00,31
2019-10-20 20:43:00,35
2019-10-20 20:44:00,34
2019-10-20 20:45:00,36
2019-10-20 20:46:00,35
2019-10-20 20:47:00,30
2019-10-20 20:48:00,28
2019-10-20 20:49:00,34
2019-10-20 20:50:00,35
2019-10-20 20:51:00,35
2019-10-20 20:52:00,34
2019-10-20 20:53:00,34
2019-10-20 20:54:00,35
2019-10-20 20:55:00,37
2019-10-20 20:56:00,35
2019-10-20 20:57:00,34
2019-10-20 20:58:00,36
2019-10-20 20:59:00,34
2019-10-20 21:00:00,34
2019-10-20 21:01:00,36
2019-10-20 21:02:00,34
2019-10-20 21:03:00,34
2019-10-20 21:04:00,35
2019-10-20 21:05:00,37
2019-10-20 21:06:00,30
2019-10-20 21:07:00,33
2019-10-20 21:08:00,36
2019-10-20 21:09:00,33
2019-10-20 21:10:00,34
2019-10-20 21:11:00,35
2019-10-20 21:12:00,35
2019-10-20 21:13:00,35
2019-10-20 21:14:00,35
2019-10-20 21:15:00,34
2019-10-20 21:16:00,34
2019-10-20 21:17:00,33
2019-10-20 21:18:00,35
2019-10-20 21:19:00,33
2019-10-20 21:20:00,29
2019-10-20 21:21:00,29
2019-10-20 21:22:00,34
2019-10-20 21:23:00,35
2019-10-20 21:24:00,33
2019-10-20 21:25:00,34
2019-10-20 21:26:00,34
2019-10-20 21:27:00,34
2019-10-20 21:28:00,33
2019-10-20 21:29:00,33
2019-10-20 21:30:00,34
2019-10-20 21:31:00,33
2019-10-20 21:32:00,36
2019-10-20 21:33:00,33
2019-10-20 21:34:00,34
2019-10-20 21:35:00,33
2019-10-20 21:36:00,34
2019-10-20 21:37:00,34
2019-10-20 21:38:00,32
2019-10-20 21:39:00,34
2019-10-20 21:40:00,33
2019-10-20 21:41:00,30
2019-10-20 21:42:00,33
2019-10-20 21:43:00,32
2019-10-20 21:44:00,35
2019-10-20 21:45:00,32
2019-10-20 21:46:00,34
2019-10-20 21:47:00,35
2019-10-20 21:48:00,34
2019-10-20 21:49:00,32
2019-10-20 21:50:00,33
2019-10-20 21:51:00,32
2019-10-20 21:52:00,33
2019-10-20 21:53:00,34
2019-10-20 21:54:00,33
2019-10-20 21:55:00,33
2019-10-20 21:56:00,34
2019-10-20 21:57:00,33
2019-10-20 21:58:00,33
2019-10-20 21:59:00,33
2019-10-20 22:00:00,34
2019-10-20 22:01:00,33
2019-10-20 22:02:00,33
2019-10-20 22:03:00,33
2019-10-20 22:04:00,33
2019-10-20 22:05:00,35
2019-10-20 22:06:00,27
2019-10-20 22:07:00,34
2019-10-20 22:08:00,33
2019-10-20 22:09:00,33
2019-10-20 22:10:00,31
2019-10-20 22:11:00,35
2019-10-20 22:12:00,32
2019-10-20 22:13:00,32
2019-10-20 22:14:00,34
2019-10-20 22:15:00,33
2019-10-20 22:16:00,31
2019-10-20 22:17:00,33
2019-10-20 22:18:00,33
2019-10-20 22:19:00,32
2019-10-20 22:20:00,34
2019-10-20 22:21:00,32
2019-10-20 22:22:00,32
2019-10-20 22:23:00,34
2019-10-20 22:24:00,33
2019-10-20 22:25:00,32
2019-10-20 22:26:00,33
2019-10-20 22:27:00,32
2019-10-20 22:28:00,34
2019-10-20 22:29:00,30
2019-10-20 22:30:00,30
2019-10-20 22:31:00,31
2019-10-20 22:32:00,29
2019-10-20 22:33:00,27
2019-10-20 22:34:00,29
2019-10-20 22:35:00,27
2019-10-20 22:36:00,31
2019-10-20 22:37:00,27
2019-10-20 22:38:00,32
2019-10-20 22:39:00,31
2019-10-20 22:40:00,32
2019-10-20 22:41:00,35
2019-10-20 22:42:00,33
2019-10-20 22:43:00,33
2019-10-20 22:44:00,35
2019-10-20 22:45:00,32
2019-10-20 22:46:00,32
2019-10-20 22:47:00,33
2019-10-20 22:48:00,33
2019-10-20 22:49:00,31
2019-10-20 22:50:00,35
2019-10-20 22:51:00,32
2019-10-20 22:52:00,32
2019-10-20 22:53:00,34
2019-10-20 22:54:00,32
2019-10-20 22:55:00,33
2019-10-20 22:56:00,32
2019-10-20 22:57:00,30
2019-10-20 22:58:00,34
2019-10-20 22:59:00,32
2019-10-20 23:00:00,33
2019-10-20 23:01:00,32
2019-10-20 23:02:00,31
2019-10-20 23:03:00,32
2019-10-20 23:04:00,31
2019-10-20 23:05:00,31
2019-10-20 23:06:00,32
2019-10-20 23:07:00,29
2019-10-20 23:08:00,26
2019-10-20 23:09:00,30
2019-10-20 23:10:00,27
2019-10-20 23:11:00,31
2019-10-20 23:12:00,31
2019-10-20 23:13:00,30
2019-10-20 23:14:00,34
2019-10-20 23:15:00,31
2019-10-20 23:16:00,32
2019-10-20 23:17:00,31
2019-10-20 23:18:00,31
2019-10-20 23:19:00,32
2019-10-20 23:20:00,31
2019-10-20 23:21:00,30
2019-10-20 23:22:00,30
2019-10-20 23:23:00,31
2019-10-20 23:24:00,29
2019-10-20 23:25:00,31
2019-10-20 23:26:00,32
2019-10-20 23:27:00,31
2019-10-20 23:28:00,29
2019-10-20 23:29:00,32
2019-10-20 23:30:00,31
2019-10-20 23:31:00,30
2019-10-20 23:32:00,33
2019-10-20 23:33:00,30
2019-10-20 23:34:00,29
2019-10-20 23:35:00,32
2019-10-20 23:36:00,22
2019-10-20 23:37:00,31
2019-10-20 23:38:00,29
2019-10-20 23:39:00,29
2019-10-20 23:40:00,29
2019-10-20 23:41:00,30
2019-10-20 23:42:00,31
2019-10-20 23:43:00,29
2019-10-20 23:44:00,31
2019-10-20 23:45:00,28
2019-10-20 23:46:00,28
2019-10-20 23:47:00,31
2019-10-20 23:48:00,30
2019-10-20 23:49:00,31
2019-10-20 23:50:00,30
2019-10-20 23:51:00,30
2019-10-20 23:52:00,31
2019-10-20 23:53:00,31
2019-10-20 23:54:00,32
2019-10-20 23:55:00,31
2019-10-20 23:56:00,31
2019-10-20 23:57:00,32
2019-10-20 23:58:00,29
2019-10-20 23:59:00,30
