10056,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-26 02:41:00,43
2019-10-26 02:42:00,44
2019-10-26 02:43:00,44
2019-10-26 02:44:00,43
2019-10-26 02:45:00,43
2019-10-26 02:46:00,44
2019-10-26 02:47:00,43
2019-10-26 02:48:00,44
2019-10-26 02:49:00,44
2019-10-26 02:50:00,44
2019-10-26 02:51:00,44
2019-10-26 02:52:00,41
2019-10-26 02:53:00,39
2019-10-26 02:54:00,44
2019-10-26 02:55:00,44
2019-10-26 02:56:00,43
2019-10-26 02:57:00,44
2019-10-26 02:58:00,44
2019-10-26 02:59:00,44
2019-10-26 03:00:00,44
2019-10-26 03:01:00,44
2019-10-26 03:02:00,44
2019-10-26 03:03:00,44
2019-10-26 03:04:00,44
2019-10-26 03:05:00,44
2019-10-26 03:06:00,40
2019-10-26 03:07:00,43
2019-10-26 03:08:00,44
2019-10-26 03:09:00,45
2019-10-26 03:10:00,44
2019-10-26 03:11:00,44
2019-10-26 03:12:00,43
2019-10-26 03:13:00,43
2019-10-26 03:14:00,45
2019-10-26 03:15:00,44
2019-10-26 03:16:00,44
2019-10-26 03:17:00,45
2019-10-26 03:18:00,43
2019-10-26 03:19:00,44
2019-10-26 03:20:00,39
2019-10-26 03:21:00,43
2019-10-26 03:22:00,44
2019-10-26 03:23:00,45
2019-10-26 03:24:00,44
2019-10-26 03:25:00,44
2019-10-26 03:26:00,41
2019-10-26 03:27:00,43
2019-10-26 03:28:00,44
2019-10-26 03:29:00,45
2019-10-26 03:30:00,44
2019-10-26 03:31:00,44
2019-10-26 03:32:00,44
2019-10-26 03:33:00,44
2019-10-26 03:34:00,42
2019-10-26 03:35:00,45
2019-10-26 03:36:00,44
2019-10-26 03:37:00,45
2019-10-26 03:38:00,44
2019-10-26 03:39:00,44
2019-10-26 03:40:00,44
2019-10-26 03:41:00,42
2019-10-26 03:42:00,42
2019-10-26 03:43:00,44
2019-10-26 03:44:00,45
2019-10-26 03:45:00,44
2019-10-26 03:46:00,44
2019-10-26 03:47:00,42
2019-10-26 03:48:00,42
2019-10-26 03:49:00,45
2019-10-26 03:50:00,44
2019-10-26 03:51:00,45
2019-10-26 03:52:00,44
2019-10-26 03:53:00,43
2019-10-26 03:54:00,44
2019-10-26 03:55:00,42
2019-10-26 03:56:00,44
2019-10-26 03:57:00,45
2019-10-26 03:58:00,43
2019-10-26 03:59:00,45
2019-10-26 04:00:00,44
2019-10-26 04:01:00,42
2019-10-26 04:02:00,45
2019-10-26 04:03:00,44
2019-10-26 04:04:00,44
2019-10-26 04:05:00,45
2019-10-26 04:06:00,44
2019-10-26 04:07:00,44
2019-10-26 04:08:00,44
2019-10-26 04:09:00,44
2019-10-26 04:10:00,44
2019-10-26 04:11:00,45
2019-10-26 04:12:00,43
2019-10-26 04:13:00,44
2019-10-26 04:14:00,44
2019-10-26 04:15:00,42
2019-10-26 04:16:00,42
2019-10-26 04:17:00,44
2019-10-26 04:18:00,44
2019-10-26 04:19:00,45
2019-10-26 04:20:00,44
2019-10-26 04:21:00,44
2019-10-26 04:22:00,42
2019-10-26 04:23:00,45
2019-10-26 04:24:00,45
2019-10-26 04:25:00,44
2019-10-26 04:26:00,45
2019-10-26 04:27:00,45
2019-10-26 04:28:00,6
