22133,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-03-14 11:11:00,1
2019-03-14 11:12:00,1
2019-03-14 11:13:00,2
2019-03-14 11:15:00,5
2019-03-14 11:16:00,3
2019-03-14 11:18:00,3
2019-03-14 11:20:00,3
2019-03-14 11:21:00,1
2019-03-14 11:24:00,1
2019-03-14 11:26:00,3
2019-03-14 11:27:00,2
2019-03-14 11:29:00,6
2019-03-14 11:30:00,1
2019-03-14 11:34:00,5
2019-03-14 11:35:00,1
2019-03-14 11:36:00,4
2019-03-14 11:37:00,1
2019-03-14 11:38:00,1
2019-03-14 11:39:00,1
2019-03-14 11:40:00,1
2019-03-14 11:41:00,4
2019-03-14 11:42:00,1
2019-03-14 11:43:00,2
2019-03-14 11:44:00,1
2019-03-14 11:45:00,1
2019-03-14 11:46:00,1
2019-03-14 11:48:00,2
2019-03-14 11:49:00,1
2019-03-14 11:50:00,3
2019-03-14 11:51:00,2
2019-03-14 11:52:00,2
2019-03-14 11:53:00,1
2019-03-14 11:54:00,1
2019-03-14 11:56:00,2
2019-03-14 11:58:00,3
2019-03-14 12:00:00,3
2019-03-14 12:01:00,2
2019-03-14 12:03:00,4
2019-03-14 12:04:00,1
2019-03-14 12:05:00,1
2019-03-14 12:08:00,5
2019-03-14 12:09:00,4
2019-03-14 12:10:00,2
2019-03-14 12:12:00,1
2019-03-14 12:13:00,1
2019-03-14 12:14:00,5
2019-03-14 12:16:00,2
2019-03-14 12:17:00,2
2019-03-14 12:18:00,1
2019-03-14 12:20:00,4
2019-03-14 12:21:00,2
2019-03-14 12:22:00,5
2019-03-14 12:23:00,2
2019-03-14 12:25:00,1
2019-03-14 12:26:00,3
2019-03-14 12:27:00,2
2019-03-14 12:28:00,3
2019-03-14 12:30:00,1
2019-03-14 12:31:00,1
2019-03-14 12:33:00,4
2019-03-14 12:34:00,2
2019-03-14 12:35:00,1
2019-03-14 12:38:00,1
2019-03-14 12:40:00,1
2019-03-14 12:42:00,2
2019-03-14 12:43:00,2
2019-03-14 12:44:00,5
2019-03-14 12:45:00,1
2019-03-14 12:47:00,1
2019-03-14 12:48:00,1
2019-03-14 12:49:00,5
2019-03-14 12:50:00,1
2019-03-14 12:51:00,93
2019-03-14 12:58:00,3
2019-03-14 12:59:00,3
2019-03-14 13:00:00,4
2019-03-14 13:01:00,6
2019-03-14 13:02:00,1
2019-03-14 13:03:00,5
2019-03-14 13:04:00,10
2019-03-14 13:06:00,1
2019-03-14 13:07:00,3
2019-03-14 13:08:00,7
2019-03-14 13:09:00,2
2019-03-14 13:11:00,4
2019-03-14 13:12:00,3
2019-03-14 13:13:00,2
2019-03-14 13:15:00,3
2019-03-14 13:16:00,11
2019-03-14 13:18:00,2
2019-03-14 13:19:00,3
2019-03-14 13:20:00,6
2019-03-14 13:21:00,3
2019-03-14 13:22:00,8
2019-03-14 13:23:00,5
2019-03-14 13:24:00,3
2019-03-14 13:25:00,5
2019-03-14 13:26:00,4
2019-03-14 13:27:00,6
2019-03-14 13:28:00,4
2019-03-14 13:29:00,2
2019-03-14 13:30:00,9
2019-03-14 13:31:00,3
2019-03-14 13:32:00,5
2019-03-14 13:33:00,4
2019-03-14 13:34:00,2
2019-03-14 13:40:00,144
2019-03-14 13:41:00,71
2019-03-14 13:43:00,246
2019-03-14 13:45:00,32
2019-03-14 13:46:00,546
2019-03-14 13:47:00,219
2019-03-14 13:50:00,251
2019-03-14 13:51:00,58
2019-03-14 13:52:00,298
2019-03-14 13:53:00,590
2019-03-14 13:54:00,8
2019-03-14 13:55:00,740
2019-03-14 13:56:00,8
