468,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-21 09:14:00,1
2019-02-21 09:16:00,2
2019-02-21 09:17:00,1
2019-02-21 09:18:00,1
2019-02-21 09:21:00,1
2019-02-21 09:23:00,1
2019-02-21 09:24:00,1
2019-02-21 09:25:00,1
2019-02-21 09:28:00,2
2019-02-21 09:29:00,1
2019-02-21 09:30:00,2
2019-02-21 09:31:00,1
2019-02-21 09:32:00,2
2019-02-21 09:33:00,2
2019-02-21 09:34:00,1
2019-02-21 09:36:00,1
2019-02-21 09:38:00,1
2019-02-21 09:39:00,2
2019-02-21 09:43:00,2
2019-02-21 09:45:00,1
2019-02-21 09:49:00,2
2019-02-21 09:50:00,2
2019-02-21 09:51:00,1
2019-02-21 09:52:00,7
2019-02-21 09:53:00,9
2019-02-21 09:54:00,4
2019-02-21 09:56:00,3
2019-02-21 09:57:00,6
2019-02-21 09:58:00,9
2019-02-21 09:59:00,10
2019-02-21 10:00:00,1
2019-02-21 10:01:00,2
2019-02-21 10:03:00,2
2019-02-21 10:04:00,2
2019-02-21 10:05:00,1
2019-02-21 10:06:00,1
2019-02-21 10:07:00,1
2019-02-21 10:08:00,2
2019-02-21 10:09:00,1
2019-02-21 10:10:00,1
2019-02-21 10:11:00,1
2019-02-21 10:12:00,3
2019-02-21 10:13:00,1
2019-02-21 10:14:00,3
2019-02-21 10:15:00,1
2019-02-21 10:17:00,1
2019-02-21 10:20:00,1
2019-02-21 10:21:00,1
2019-02-21 10:22:00,2
2019-02-21 10:26:00,1
2019-02-21 10:28:00,1
2019-02-21 10:30:00,1
2019-02-21 10:31:00,2
2019-02-21 10:32:00,1
2019-02-21 10:34:00,2
2019-02-21 10:36:00,1
2019-02-21 10:37:00,1
2019-02-21 10:43:00,1
2019-02-21 10:44:00,1
2019-02-21 10:45:00,1
2019-02-21 10:47:00,1
2019-02-21 10:49:00,1
2019-02-21 10:50:00,1
2019-02-21 10:52:00,1
2019-02-21 10:56:00,1
2019-02-21 10:58:00,1
2019-02-21 10:59:00,1
2019-02-21 11:02:00,1
2019-02-21 11:04:00,1
2019-02-21 11:06:00,1
2019-02-21 11:07:00,1
2019-02-21 11:09:00,1
2019-02-21 11:11:00,1
2019-02-21 11:14:00,1
2019-02-21 11:18:00,1
2019-02-21 11:19:00,1
2019-02-21 11:21:00,1
2019-02-21 11:23:00,1
2019-02-21 11:25:00,1
2019-02-21 11:27:00,1
2019-02-21 11:28:00,1
2019-02-21 11:29:00,1
2019-02-21 11:30:00,1
2019-02-21 11:32:00,1
2019-02-21 11:36:00,1
2019-02-21 11:40:00,1
2019-02-21 11:43:00,1
2019-02-21 11:44:00,1
2019-02-21 11:49:00,1
2019-02-21 11:51:00,1
2019-02-21 11:54:00,1
2019-02-21 11:58:00,1
2019-02-21 12:00:00,1
2019-02-21 12:04:00,1
2019-02-21 12:10:00,1
2019-02-21 12:11:00,1
2019-02-21 12:15:00,1
2019-02-21 12:16:00,1
2019-02-21 12:18:00,1
2019-02-21 12:19:00,1
2019-02-21 12:20:00,1
2019-02-21 12:22:00,1
2019-02-21 12:24:00,1
2019-02-21 12:26:00,1
2019-02-21 12:28:00,1
2019-02-21 12:31:00,1
2019-02-21 12:34:00,1
2019-02-21 12:40:00,1
2019-02-21 12:42:00,1
2019-02-21 12:44:00,1
2019-02-21 12:46:00,1
2019-02-21 12:47:00,20
2019-02-21 15:37:00,1
2019-02-21 15:38:00,1
