1011,"select ra, dec, u, g, r, i, z, TAI_u, TAI_g, TAI_r, TAI_i, TAI_z, err_u, err_g, err_r, err_i, err_z, mE1_u, mE1_g, mE1_r, mE1_i, mE1_z, mE2_u, mE2_g, mE2_r, mE2_i, mE2_z, mCr4_u, mCr4_g, mCr4_r, mCr4_i, mCr4_z from PhotoObjAll where dec < # AND dec > # AND (ra > # AND ra < #)"
2019-11-25 05:17:00,4
2019-11-25 05:18:00,4
2019-11-25 05:19:00,3
2019-11-25 05:20:00,3
2019-11-25 05:21:00,4
2019-11-25 05:22:00,4
2019-11-25 05:23:00,4
2019-11-25 05:24:00,4
2019-11-25 05:25:00,9
2019-11-25 05:26:00,12
2019-11-25 05:27:00,8
2019-11-25 05:28:00,5
2019-11-25 05:29:00,4
2019-11-25 05:30:00,4
2019-11-25 05:31:00,3
2019-11-25 05:32:00,3
2019-11-25 05:33:00,3
2019-11-25 05:34:00,4
2019-11-25 05:35:00,3
2019-11-25 05:36:00,2
2019-11-25 05:37:00,3
2019-11-25 05:38:00,1
