31460,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID WHERE G.modelMag_r < # and G.modelMag_g < #"
2019-06-26 08:16:00,41
2019-06-26 08:17:00,37
2019-06-26 08:18:00,41
2019-06-26 08:19:00,41
2019-06-26 08:20:00,40
2019-06-26 08:21:00,39
2019-06-26 08:22:00,40
2019-06-26 08:23:00,40
2019-06-26 08:24:00,40
2019-06-26 08:25:00,39
2019-06-26 08:26:00,40
2019-06-26 08:27:00,34
2019-06-26 08:28:00,39
2019-06-26 08:29:00,37
2019-06-26 08:30:00,39
2019-06-26 08:31:00,38
2019-06-26 08:32:00,40
2019-06-26 08:33:00,38
2019-06-26 08:34:00,38
2019-06-26 08:35:00,38
2019-06-26 08:36:00,39
2019-06-26 08:37:00,36
2019-06-26 08:38:00,39
2019-06-26 08:39:00,39
2019-06-26 08:40:00,37
2019-06-26 08:41:00,38
2019-06-26 08:42:00,40
2019-06-26 08:43:00,36
2019-06-26 08:44:00,39
2019-06-26 08:45:00,38
2019-06-26 08:46:00,40
2019-06-26 08:47:00,37
2019-06-26 08:48:00,39
2019-06-26 08:49:00,40
2019-06-26 08:50:00,39
2019-06-26 08:51:00,39
2019-06-26 08:52:00,38
2019-06-26 08:53:00,39
2019-06-26 08:54:00,40
2019-06-26 08:55:00,39
2019-06-26 08:56:00,38
2019-06-26 08:57:00,37
2019-06-26 08:58:00,39
2019-06-26 08:59:00,39
2019-06-26 09:00:00,39
2019-06-26 09:01:00,38
2019-06-26 09:02:00,39
2019-06-26 09:03:00,38
2019-06-26 09:04:00,40
2019-06-26 09:05:00,38
2019-06-26 09:06:00,38
2019-06-26 09:07:00,37
2019-06-26 09:08:00,39
2019-06-26 09:09:00,39
2019-06-26 09:10:00,37
2019-06-26 09:11:00,39
2019-06-26 09:12:00,40
2019-06-26 09:13:00,37
2019-06-26 09:14:00,39
2019-06-26 09:15:00,39
2019-06-26 09:16:00,37
2019-06-26 09:17:00,36
2019-06-26 09:18:00,38
2019-06-26 09:19:00,36
2019-06-26 09:20:00,39
2019-06-26 09:21:00,37
2019-06-26 09:22:00,38
2019-06-26 09:23:00,37
2019-06-26 09:24:00,37
2019-06-26 09:25:00,37
2019-06-26 09:26:00,37
2019-06-26 09:27:00,35
2019-06-26 09:28:00,39
2019-06-26 09:29:00,36
2019-06-26 09:30:00,38
2019-06-26 09:31:00,38
2019-06-26 09:32:00,38
2019-06-26 09:33:00,37
2019-06-26 09:34:00,38
2019-06-26 09:35:00,38
2019-06-26 09:36:00,39
2019-06-26 09:37:00,37
2019-06-26 09:38:00,35
2019-06-26 09:39:00,37
2019-06-26 09:40:00,38
2019-06-26 09:41:00,38
2019-06-26 09:42:00,38
2019-06-26 09:43:00,38
2019-06-26 09:44:00,36
2019-06-26 09:45:00,37
2019-06-26 09:46:00,38
2019-06-26 09:47:00,36
2019-06-26 09:48:00,35
2019-06-26 09:49:00,38
2019-06-26 09:50:00,37
2019-06-26 09:51:00,37
2019-06-26 09:52:00,37
2019-06-26 09:53:00,36
2019-06-26 09:54:00,38
2019-06-26 09:55:00,37
2019-06-26 09:56:00,38
2019-06-26 09:57:00,36
2019-06-26 09:58:00,34
2019-06-26 09:59:00,36
2019-06-26 10:00:00,35
2019-06-26 10:01:00,36
2019-06-26 10:02:00,36
2019-06-26 10:03:00,37
2019-06-26 10:04:00,35
2019-06-26 10:05:00,19
2019-06-26 10:06:00,38
2019-06-26 10:07:00,35
2019-06-26 10:08:00,34
2019-06-26 10:09:00,37
2019-06-26 10:10:00,35
2019-06-26 10:11:00,36
2019-06-26 10:12:00,36
2019-06-26 10:13:00,37
2019-06-26 10:14:00,36
2019-06-26 10:15:00,35
2019-06-26 10:16:00,36
2019-06-26 10:17:00,36
2019-06-26 10:18:00,34
2019-06-26 10:19:00,36
2019-06-26 10:20:00,37
2019-06-26 10:21:00,37
2019-06-26 10:22:00,36
2019-06-26 10:23:00,37
2019-06-26 10:24:00,36
2019-06-26 10:25:00,35
2019-06-26 10:26:00,35
2019-06-26 10:27:00,36
2019-06-26 10:28:00,34
2019-06-26 10:29:00,36
2019-06-26 10:30:00,36
2019-06-26 10:31:00,36
2019-06-26 10:32:00,36
2019-06-26 10:33:00,35
2019-06-26 10:34:00,36
2019-06-26 10:35:00,36
2019-06-26 10:36:00,36
2019-06-26 10:37:00,34
2019-06-26 10:38:00,34
2019-06-26 10:39:00,35
2019-06-26 10:40:00,36
2019-06-26 10:41:00,36
2019-06-26 10:42:00,36
2019-06-26 10:43:00,36
2019-06-26 10:44:00,35
2019-06-26 10:45:00,34
2019-06-26 10:46:00,36
2019-06-26 10:47:00,36
2019-06-26 10:48:00,35
2019-06-26 10:49:00,35
2019-06-26 10:50:00,35
2019-06-26 10:51:00,35
2019-06-26 10:52:00,35
2019-06-26 10:53:00,34
2019-06-26 10:54:00,36
2019-06-26 10:55:00,34
2019-06-26 10:56:00,36
2019-06-26 10:57:00,35
2019-06-26 10:58:00,33
2019-06-26 10:59:00,35
2019-06-26 11:00:00,34
2019-06-26 11:01:00,34
2019-06-26 11:02:00,35
2019-06-26 11:03:00,33
2019-06-26 11:04:00,35
2019-06-26 11:05:00,21
2019-06-26 11:06:00,35
2019-06-26 11:07:00,36
2019-06-26 11:08:00,32
2019-06-26 11:09:00,36
2019-06-26 11:10:00,33
2019-06-26 11:11:00,35
2019-06-26 11:12:00,34
2019-06-26 11:13:00,34
2019-06-26 11:14:00,35
2019-06-26 11:15:00,34
2019-06-26 11:16:00,34
2019-06-26 11:17:00,34
2019-06-26 11:18:00,33
2019-06-26 11:19:00,34
2019-06-26 11:20:00,34
2019-06-26 11:21:00,34
2019-06-26 11:22:00,33
2019-06-26 11:23:00,32
2019-06-26 11:24:00,34
2019-06-26 11:25:00,35
2019-06-26 11:26:00,35
2019-06-26 11:27:00,34
2019-06-26 11:28:00,33
2019-06-26 11:29:00,33
2019-06-26 11:30:00,35
2019-06-26 11:31:00,34
2019-06-26 11:32:00,33
2019-06-26 11:33:00,34
2019-06-26 11:34:00,34
2019-06-26 11:35:00,34
2019-06-26 11:36:00,34
2019-06-26 11:37:00,35
2019-06-26 11:38:00,32
2019-06-26 11:39:00,33
2019-06-26 11:40:00,35
2019-06-26 11:41:00,33
2019-06-26 11:42:00,35
2019-06-26 11:43:00,34
2019-06-26 11:44:00,34
2019-06-26 11:45:00,34
2019-06-26 11:46:00,34
2019-06-26 11:47:00,33
2019-06-26 11:48:00,30
2019-06-26 11:49:00,34
2019-06-26 11:50:00,35
2019-06-26 11:51:00,33
2019-06-26 11:52:00,34
2019-06-26 11:53:00,33
2019-06-26 11:54:00,34
2019-06-26 11:55:00,32
2019-06-26 11:56:00,33
2019-06-26 11:57:00,34
2019-06-26 11:58:00,31
2019-06-26 11:59:00,33
2019-06-26 12:00:00,32
2019-06-26 12:01:00,34
2019-06-26 12:02:00,33
2019-06-26 12:03:00,33
2019-06-26 12:04:00,33
2019-06-26 12:05:00,24
2019-06-26 12:06:00,34
2019-06-26 12:07:00,33
2019-06-26 12:08:00,31
2019-06-26 12:09:00,32
2019-06-26 12:10:00,33
2019-06-26 12:11:00,33
2019-06-26 12:12:00,33
2019-06-26 12:13:00,32
2019-06-26 12:14:00,34
2019-06-26 12:15:00,32
2019-06-26 12:16:00,32
2019-06-26 12:17:00,32
2019-06-26 12:18:00,30
2019-06-26 12:19:00,34
2019-06-26 12:20:00,33
2019-06-26 12:21:00,33
2019-06-26 12:22:00,32
2019-06-26 12:23:00,32
2019-06-26 12:24:00,32
2019-06-26 12:25:00,34
2019-06-26 12:26:00,32
2019-06-26 12:27:00,29
2019-06-26 12:28:00,25
2019-06-26 12:29:00,25
2019-06-26 12:30:00,24
2019-06-26 12:31:00,25
2019-06-26 12:32:00,25
2019-06-26 12:33:00,24
2019-06-26 12:34:00,23
2019-06-26 12:35:00,24
2019-06-26 12:36:00,26
2019-06-26 12:37:00,33
2019-06-26 12:38:00,28
2019-06-26 12:39:00,32
2019-06-26 12:40:00,33
2019-06-26 12:41:00,32
2019-06-26 12:42:00,32
2019-06-26 12:43:00,33
2019-06-26 12:44:00,29
2019-06-26 12:45:00,32
2019-06-26 12:46:00,19
2019-06-26 12:47:00,28
2019-06-26 12:48:00,29
2019-06-26 12:49:00,32
2019-06-26 12:50:00,31
2019-06-26 12:51:00,31
2019-06-26 12:52:00,31
2019-06-26 12:53:00,30
2019-06-26 12:54:00,31
2019-06-26 12:55:00,31
2019-06-26 12:56:00,31
2019-06-26 12:57:00,32
2019-06-26 12:58:00,32
2019-06-26 12:59:00,29
2019-06-26 13:00:00,31
2019-06-26 13:01:00,31
2019-06-26 13:02:00,24
2019-06-26 13:03:00,24
2019-06-26 13:04:00,25
2019-06-26 13:05:00,24
2019-06-26 13:06:00,24
2019-06-26 13:07:00,26
2019-06-26 13:08:00,29
2019-06-26 13:09:00,24
2019-06-26 13:10:00,27
