4641,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-16 07:16:00,4
2019-03-16 07:51:00,4
2019-03-16 07:52:00,3
2019-03-16 08:27:00,7
2019-03-16 08:28:00,15
2019-03-16 08:29:00,11
2019-03-16 08:30:00,11
2019-03-16 08:31:00,14
2019-03-16 08:32:00,11
2019-03-16 08:33:00,16
2019-03-16 08:34:00,15
2019-03-16 08:35:00,9
2019-03-16 08:36:00,15
2019-03-16 08:37:00,22
2019-03-16 08:38:00,14
2019-03-16 08:39:00,19
2019-03-16 08:40:00,17
2019-03-16 08:41:00,19
2019-03-16 08:42:00,20
2019-03-16 08:43:00,11
2019-03-16 09:18:00,10
2019-03-16 09:19:00,23
2019-03-16 09:20:00,15
2019-03-16 09:21:00,20
2019-03-16 09:22:00,20
2019-03-16 09:23:00,19
2019-03-16 09:24:00,23
2019-03-16 09:25:00,22
2019-03-16 09:26:00,23
2019-03-16 09:27:00,23
2019-03-16 09:28:00,36
2019-03-16 09:29:00,36
2019-03-16 09:30:00,37
2019-03-16 09:31:00,46
2019-03-16 09:32:00,43
2019-03-16 09:33:00,44
2019-03-16 09:34:00,40
2019-03-16 09:35:00,57
2019-03-16 09:36:00,44
2019-03-16 09:37:00,55
2019-03-16 09:38:00,45
2019-03-16 09:39:00,60
2019-03-16 09:40:00,23
2019-03-16 10:15:00,41
2019-03-16 10:16:00,58
2019-03-16 10:17:00,56
2019-03-16 10:18:00,70
2019-03-16 10:19:00,59
2019-03-16 10:54:00,13
2019-03-16 10:55:00,69
2019-03-16 10:56:00,66
2019-03-16 10:57:00,64
2019-03-16 10:58:00,68
2019-03-16 10:59:00,66
2019-03-16 11:00:00,68
2019-03-16 11:01:00,68
2019-03-16 11:02:00,38
2019-03-16 11:37:00,17
2019-03-16 11:38:00,74
2019-03-16 11:39:00,67
2019-03-16 11:40:00,72
2019-03-16 11:41:00,72
2019-03-16 11:42:00,32
2019-03-16 12:17:00,45
2019-03-16 12:18:00,74
2019-03-16 12:19:00,72
2019-03-16 12:20:00,73
2019-03-16 12:21:00,76
2019-03-16 12:22:00,63
2019-03-16 12:23:00,36
2019-03-16 12:58:00,26
2019-03-16 13:33:00,13
2019-03-16 13:34:00,67
2019-03-16 13:35:00,74
2019-03-16 13:36:00,74
2019-03-16 13:37:00,23
2019-03-16 14:12:00,14
2019-03-16 14:31:00,1
2019-03-16 14:32:00,4
2019-03-16 14:33:00,3
2019-03-16 14:34:00,4
2019-03-16 14:35:00,4
2019-03-16 14:36:00,4
2019-03-16 14:37:00,5
2019-03-16 14:38:00,5
2019-03-16 14:39:00,5
2019-03-16 14:40:00,5
2019-03-16 14:41:00,4
2019-03-16 15:16:00,2
2019-03-16 15:17:00,4
2019-03-16 15:18:00,5
2019-03-16 15:19:00,5
2019-03-16 15:20:00,5
2019-03-16 15:21:00,5
2019-03-16 15:22:00,6
2019-03-16 15:23:00,3
2019-03-16 15:24:00,7
2019-03-16 15:25:00,5
2019-03-16 15:26:00,6
2019-03-16 15:27:00,5
2019-03-16 15:28:00,7
2019-03-16 15:29:00,5
2019-03-16 15:30:00,8
2019-03-16 15:31:00,6
2019-03-16 15:32:00,6
2019-03-16 15:33:00,7
2019-03-16 15:34:00,6
2019-03-16 15:35:00,5
2019-03-16 15:36:00,6
2019-03-16 15:37:00,1
2019-03-16 16:12:00,7
2019-03-16 16:13:00,6
2019-03-16 16:14:00,4
2019-03-16 16:49:00,4
2019-03-16 16:50:00,10
2019-03-16 16:51:00,5
2019-03-16 16:52:00,11
2019-03-16 16:53:00,15
2019-03-16 16:54:00,15
2019-03-16 16:55:00,9
2019-03-16 16:56:00,12
2019-03-16 16:57:00,12
2019-03-16 16:58:00,12
2019-03-16 16:59:00,7
2019-03-16 17:00:00,11
2019-03-16 17:01:00,12
2019-03-16 17:02:00,22
2019-03-16 17:03:00,10
2019-03-16 17:04:00,10
2019-03-16 17:05:00,13
2019-03-16 17:06:00,22
2019-03-16 17:07:00,22
2019-03-16 17:08:00,19
2019-03-16 17:09:00,24
2019-03-16 17:10:00,18
2019-03-16 17:11:00,19
2019-03-16 17:12:00,18
2019-03-16 17:13:00,29
2019-03-16 17:14:00,28
2019-03-16 17:15:00,28
2019-03-16 17:16:00,23
2019-03-16 17:17:00,29
2019-03-16 17:18:00,32
2019-03-16 17:19:00,30
2019-03-16 17:20:00,37
2019-03-16 17:21:00,38
2019-03-16 17:22:00,29
2019-03-16 17:23:00,39
2019-03-16 17:24:00,38
2019-03-16 17:25:00,38
2019-03-16 17:26:00,45
2019-03-16 17:27:00,42
