1328,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z_noqso as specz,s.zErr_noqso as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID AND                  ((flags & #)!=#) AND ((flags & #)=#) AND                  ((flags & #)=#) AND ((flags & #)!=#)"
2019-06-04 05:52:00,11
2019-06-04 05:53:00,9
2019-06-04 05:54:00,11
2019-06-04 05:55:00,11
2019-06-04 05:56:00,10
2019-06-04 05:57:00,9
2019-06-04 05:58:00,9
2019-06-04 05:59:00,2
2019-06-04 06:00:00,2
2019-06-04 06:01:00,5
2019-06-04 06:02:00,10
2019-06-04 06:03:00,5
2019-06-04 06:04:00,9
2019-06-04 06:05:00,8
2019-06-04 06:06:00,8
2019-06-04 06:07:00,7
2019-06-04 06:08:00,7
2019-06-04 06:09:00,6
2019-06-04 06:10:00,1
2019-06-04 06:11:00,2
2019-06-04 06:12:00,6
2019-06-04 06:13:00,5
2019-06-04 06:14:00,7
2019-06-04 06:15:00,6
2019-06-04 06:16:00,6
2019-06-04 06:17:00,7
2019-06-04 06:18:00,6
2019-06-04 06:19:00,9
2019-06-04 06:20:00,11
2019-06-04 06:21:00,10
2019-06-04 06:22:00,9
2019-06-04 06:23:00,9
2019-06-04 06:24:00,9
2019-06-04 06:25:00,8
2019-06-04 06:26:00,10
2019-06-04 06:27:00,7
2019-06-04 06:28:00,7
2019-06-04 06:29:00,7
2019-06-04 06:30:00,6
2019-06-04 11:59:00,1
2019-06-04 13:22:00,6
2019-06-04 13:23:00,5
2019-06-04 13:24:00,2
2019-06-04 13:25:00,2
2019-06-04 13:26:00,2
2019-06-04 13:27:00,3
2019-06-04 13:28:00,3
2019-06-04 13:29:00,4
2019-06-04 13:30:00,2
2019-06-04 13:31:00,2
2019-06-04 13:32:00,2
2019-06-04 13:33:00,6
2019-06-04 13:34:00,5
2019-06-04 13:35:00,4
2019-06-04 13:36:00,9
2019-06-04 13:37:00,6
2019-06-04 13:38:00,9
2019-06-04 13:39:00,11
2019-06-04 13:40:00,10
2019-06-04 13:41:00,10
2019-06-04 13:42:00,5
2019-06-04 13:43:00,3
2019-06-04 13:44:00,4
2019-06-04 13:45:00,6
2019-06-04 13:46:00,7
2019-06-04 13:47:00,4
2019-06-04 13:48:00,5
2019-06-04 13:49:00,7
2019-06-04 13:50:00,3
2019-06-04 13:51:00,4
2019-06-04 13:52:00,5
2019-06-04 13:54:00,7
2019-06-04 13:55:00,3
2019-06-04 13:56:00,5
2019-06-04 13:57:00,1
2019-06-04 13:58:00,2
2019-06-04 13:59:00,4
2019-06-04 14:00:00,9
2019-06-04 14:01:00,2
2019-06-04 14:02:00,1
2019-06-04 14:03:00,2
2019-06-04 14:04:00,3
2019-06-04 14:05:00,2
2019-06-04 14:06:00,6
2019-06-04 14:07:00,5
2019-06-04 14:08:00,6
2019-06-04 14:09:00,5
2019-06-04 14:10:00,5
2019-06-04 14:11:00,6
2019-06-04 14:12:00,4
2019-06-04 14:13:00,3
2019-06-04 14:14:00,3
2019-06-04 14:15:00,2
2019-06-04 14:16:00,1
2019-06-04 14:17:00,3
2019-06-04 14:18:00,3
2019-06-04 14:19:00,3
2019-06-04 14:20:00,4
2019-06-04 14:21:00,3
2019-06-04 14:22:00,3
2019-06-04 14:23:00,2
2019-06-04 14:24:00,3
2019-06-04 14:25:00,1
2019-06-04 14:26:00,5
2019-06-04 14:27:00,3
2019-06-04 14:28:00,4
2019-06-04 14:29:00,4
2019-06-04 14:30:00,5
2019-06-04 14:31:00,9
2019-06-04 14:32:00,10
2019-06-04 14:33:00,8
2019-06-04 14:34:00,9
2019-06-04 14:35:00,7
2019-06-04 14:36:00,7
2019-06-04 14:37:00,8
2019-06-04 14:38:00,6
2019-06-04 14:39:00,7
2019-06-04 14:40:00,5
2019-06-04 14:41:00,4
2019-06-04 14:42:00,3
2019-06-04 14:43:00,5
2019-06-04 14:44:00,3
2019-06-04 14:45:00,5
2019-06-04 14:46:00,2
