5949,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-15 09:50:00,20
2019-10-15 09:51:00,3
2019-10-15 09:52:00,12
2019-10-15 09:53:00,17
2019-10-15 09:54:00,10
2019-10-15 09:55:00,10
2019-10-15 09:56:00,10
2019-10-15 09:57:00,1
2019-10-15 09:58:00,5
2019-10-15 16:42:00,2
2019-10-15 16:43:00,27
2019-10-15 16:44:00,8
2019-10-15 16:45:00,36
2019-10-15 16:46:00,8
2019-10-15 16:47:00,21
2019-10-15 16:48:00,19
2019-10-15 16:51:00,17
2019-10-15 16:53:00,8
2019-10-15 16:54:00,7
2019-10-15 16:55:00,22
2019-10-15 16:56:00,15
2019-10-15 16:57:00,17
2019-10-15 16:58:00,3
2019-10-15 16:59:00,19
2019-10-15 17:00:00,11
2019-10-15 17:01:00,19
2019-10-15 17:02:00,25
2019-10-15 17:06:00,3
2019-10-15 17:07:00,6
2019-10-15 17:08:00,3
2019-10-15 17:09:00,21
2019-10-15 17:10:00,16
2019-10-15 17:11:00,10
2019-10-15 17:12:00,12
2019-10-15 17:13:00,21
2019-10-15 17:14:00,13
2019-10-15 17:15:00,2
2019-10-15 17:16:00,3
2019-10-15 17:17:00,10
2019-10-15 17:18:00,3
2019-10-15 17:19:00,11
2019-10-15 17:20:00,6
2019-10-15 17:21:00,13
2019-10-15 17:22:00,6
2019-10-15 17:23:00,12
2019-10-15 17:24:00,24
2019-10-15 17:25:00,15
2019-10-15 17:26:00,29
2019-10-15 17:27:00,14
2019-10-15 17:28:00,21
2019-10-15 17:29:00,34
2019-10-15 17:30:00,16
2019-10-15 17:31:00,14
2019-10-15 17:32:00,14
2019-10-15 17:33:00,3
2019-10-15 17:34:00,18
2019-10-15 17:35:00,6
2019-10-15 17:39:00,3
2019-10-15 17:40:00,10
2019-10-15 17:41:00,19
2019-10-15 17:42:00,1
2019-10-15 17:43:00,15
2019-10-15 17:44:00,11
2019-10-15 17:45:00,25
2019-10-15 17:46:00,35
2019-10-15 17:47:00,23
2019-10-15 17:48:00,17
2019-10-15 17:49:00,10
2019-10-15 17:50:00,5
2019-10-15 17:51:00,14
2019-10-15 17:52:00,5
2019-10-15 17:53:00,15
2019-10-15 17:54:00,4
2019-10-15 17:55:00,27
2019-10-15 17:56:00,19
2019-10-15 17:57:00,15
2019-10-15 17:58:00,9
2019-10-15 17:59:00,12
2019-10-15 18:00:00,3
2019-10-15 18:01:00,23
2019-10-15 18:02:00,10
2019-10-15 18:03:00,14
2019-10-15 18:04:00,15
2019-10-15 18:05:00,4
2019-10-15 18:06:00,6
2019-10-15 18:07:00,21
2019-10-15 18:08:00,21
2019-10-15 18:10:00,8
2019-10-15 18:11:00,17
2019-10-15 18:12:00,9
2019-10-15 18:13:00,4
2019-10-15 18:14:00,23
2019-10-15 18:15:00,15
2019-10-15 18:16:00,3
2019-10-15 18:17:00,18
2019-10-15 18:18:00,15
2019-10-15 18:19:00,22
2019-10-15 18:20:00,18
2019-10-15 18:21:00,25
2019-10-15 18:22:00,21
2019-10-15 18:23:00,4
2019-10-15 18:24:00,28
2019-10-15 18:25:00,4
2019-10-15 18:26:00,7
2019-10-15 18:28:00,7
2019-10-15 18:29:00,15
2019-10-15 18:30:00,10
2019-10-15 18:31:00,41
2019-10-15 18:32:00,20
2019-10-15 18:36:00,9
2019-10-15 18:37:00,24
2019-10-15 18:38:00,11
2019-10-15 18:41:00,10
2019-10-15 18:42:00,10
2019-10-15 18:44:00,6
2019-10-15 18:45:00,15
2019-10-15 18:46:00,6
2019-10-15 18:47:00,14
2019-10-15 18:48:00,31
2019-10-15 18:49:00,13
2019-10-15 18:50:00,13
2019-10-15 18:51:00,9
2019-10-15 18:53:00,10
2019-10-15 18:54:00,15
2019-10-15 18:55:00,19
2019-10-15 18:56:00,9
2019-10-15 18:57:00,30
2019-10-15 18:58:00,15
2019-10-15 18:59:00,18
2019-10-15 19:00:00,20
2019-10-15 19:01:00,13
2019-10-15 19:02:00,7
2019-10-15 19:03:00,10
2019-10-15 19:05:00,19
2019-10-15 19:06:00,10
2019-10-15 19:07:00,11
2019-10-15 19:08:00,10
2019-10-15 19:09:00,19
2019-10-15 19:10:00,10
2019-10-15 19:12:00,1
2019-10-15 19:13:00,27
2019-10-15 19:14:00,25
2019-10-15 19:16:00,26
2019-10-15 19:17:00,28
2019-10-15 19:18:00,20
2019-10-15 19:19:00,28
2019-10-15 19:20:00,5
2019-10-15 19:21:00,36
2019-10-15 19:22:00,5
2019-10-15 19:23:00,11
2019-10-15 19:26:00,14
2019-10-15 19:27:00,12
2019-10-15 19:28:00,19
2019-10-15 19:29:00,17
2019-10-15 19:30:00,19
2019-10-15 19:31:00,17
2019-10-15 19:32:00,9
2019-10-15 19:33:00,15
2019-10-15 19:34:00,12
2019-10-15 19:35:00,14
2019-10-15 19:36:00,22
2019-10-15 19:37:00,16
2019-10-15 19:38:00,10
2019-10-15 19:39:00,20
2019-10-15 19:40:00,31
2019-10-15 19:41:00,11
2019-10-15 19:42:00,21
2019-10-15 19:43:00,26
2019-10-15 19:44:00,9
2019-10-15 19:45:00,29
2019-10-15 19:46:00,35
2019-10-15 19:47:00,8
2019-10-15 19:48:00,32
2019-10-15 19:49:00,11
2019-10-15 19:50:00,7
2019-10-15 19:51:00,18
2019-10-15 19:52:00,10
2019-10-15 19:53:00,1
2019-10-15 19:55:00,23
2019-10-15 19:56:00,14
2019-10-15 19:57:00,10
2019-10-15 19:58:00,29
2019-10-15 19:59:00,11
2019-10-15 20:00:00,25
2019-10-15 20:01:00,16
2019-10-15 20:02:00,7
2019-10-15 20:03:00,13
2019-10-15 20:04:00,34
2019-10-15 20:05:00,4
2019-10-15 20:06:00,9
2019-10-15 20:07:00,12
2019-10-15 20:08:00,8
2019-10-15 20:09:00,9
2019-10-15 20:10:00,14
2019-10-15 20:11:00,13
2019-10-15 20:12:00,22
2019-10-15 20:13:00,9
2019-10-15 20:14:00,21
2019-10-15 20:16:00,19
2019-10-15 20:17:00,22
2019-10-15 20:18:00,13
2019-10-15 20:19:00,26
2019-10-15 20:20:00,19
2019-10-15 20:21:00,17
2019-10-15 20:22:00,14
2019-10-15 20:23:00,20
2019-10-15 20:24:00,11
2019-10-15 20:25:00,11
2019-10-15 20:26:00,21
2019-10-15 20:27:00,11
2019-10-15 20:28:00,16
2019-10-15 20:29:00,22
2019-10-15 20:30:00,16
2019-10-15 20:31:00,32
2019-10-15 20:32:00,20
2019-10-15 20:33:00,15
2019-10-15 20:34:00,6
2019-10-15 20:35:00,5
2019-10-15 20:36:00,4
2019-10-15 20:37:00,13
2019-10-15 20:38:00,10
2019-10-15 20:39:00,21
2019-10-15 20:40:00,17
2019-10-15 20:41:00,15
2019-10-15 20:42:00,19
2019-10-15 20:43:00,13
2019-10-15 20:44:00,17
2019-10-15 20:47:00,4
2019-10-15 20:48:00,22
2019-10-15 20:49:00,18
2019-10-15 20:50:00,19
2019-10-15 20:51:00,14
2019-10-15 20:52:00,14
2019-10-15 20:53:00,17
2019-10-15 20:54:00,34
2019-10-15 20:55:00,6
2019-10-15 20:56:00,28
2019-10-15 20:57:00,22
2019-10-15 20:58:00,41
2019-10-15 20:59:00,5
2019-10-15 21:00:00,12
