1367,"SELECT  &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-07-29 22:44:00,1
2019-07-29 22:45:00,1
2019-07-29 22:46:00,2
2019-07-29 22:48:00,5
2019-07-29 22:54:00,1
2019-07-29 22:55:00,1
2019-07-29 22:56:00,2
2019-07-29 22:58:00,5
2019-07-29 23:04:00,1
2019-07-29 23:05:00,1
2019-07-29 23:06:00,2
2019-07-29 23:08:00,5
2019-07-29 23:14:00,1
2019-07-29 23:15:00,1
2019-07-29 23:16:00,2
2019-07-29 23:18:00,7
2019-07-29 23:24:00,1
2019-07-29 23:25:00,1
2019-07-29 23:26:00,2
2019-07-29 23:28:00,7
2019-07-29 23:34:00,1
2019-07-29 23:35:00,1
2019-07-29 23:36:00,2
2019-07-29 23:38:00,5
2019-07-29 23:44:00,1
2019-07-29 23:45:00,1
2019-07-29 23:46:00,2
2019-07-29 23:48:00,5
2019-07-29 23:54:00,1
2019-07-29 23:55:00,1
2019-07-29 23:56:00,2
2019-07-29 23:58:00,5
