14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 02:13:00,9
2019-07-29 02:14:00,57
2019-07-29 02:15:00,6
2019-07-29 02:16:00,9
2019-07-29 02:17:00,9
2019-07-29 02:18:00,2
2019-07-29 02:19:00,3
2019-07-29 02:21:00,2
2019-07-29 02:22:00,2
2019-07-29 02:23:00,9
2019-07-29 02:24:00,58
2019-07-29 02:25:00,6
2019-07-29 02:26:00,9
2019-07-29 02:27:00,9
2019-07-29 02:28:00,2
2019-07-29 02:29:00,3
2019-07-29 02:31:00,2
2019-07-29 02:32:00,2
2019-07-29 02:34:00,68
2019-07-29 02:35:00,6
2019-07-29 02:36:00,9
2019-07-29 02:37:00,9
2019-07-29 02:38:00,2
2019-07-29 02:39:00,3
2019-07-29 02:41:00,2
2019-07-29 02:42:00,2
2019-07-29 02:44:00,66
2019-07-29 02:45:00,6
2019-07-29 02:46:00,9
2019-07-29 02:47:00,9
2019-07-29 02:48:00,2
2019-07-29 02:49:00,3
2019-07-29 02:51:00,2
2019-07-29 02:52:00,2
2019-07-29 02:54:00,66
2019-07-29 02:55:00,6
2019-07-29 02:56:00,9
2019-07-29 02:57:00,9
2019-07-29 02:58:00,2
2019-07-29 02:59:00,3
2019-07-29 03:01:00,2
2019-07-29 03:02:00,2
2019-07-29 03:04:00,67
2019-07-29 03:05:00,6
2019-07-29 03:06:00,9
2019-07-29 03:07:00,9
2019-07-29 03:08:00,2
2019-07-29 03:09:00,5
2019-07-29 03:11:00,2
2019-07-29 03:12:00,2
2019-07-29 03:14:00,66
2019-07-29 03:15:00,6
2019-07-29 03:16:00,9
2019-07-29 03:17:00,9
2019-07-29 03:18:00,2
2019-07-29 03:19:00,3
2019-07-29 03:21:00,2
2019-07-29 03:22:00,2
2019-07-29 03:24:00,67
2019-07-29 03:25:00,6
2019-07-29 03:26:00,9
2019-07-29 03:27:00,5
2019-07-29 03:28:00,6
2019-07-29 03:29:00,3
2019-07-29 03:31:00,2
2019-07-29 03:32:00,2
2019-07-29 03:34:00,66
2019-07-29 03:35:00,6
2019-07-29 03:36:00,10
2019-07-29 03:37:00,3
2019-07-29 03:38:00,8
2019-07-29 03:39:00,3
2019-07-29 03:41:00,2
2019-07-29 03:42:00,2
2019-07-29 03:44:00,66
2019-07-29 03:45:00,6
2019-07-29 03:46:00,9
2019-07-29 03:47:00,4
2019-07-29 03:48:00,7
2019-07-29 03:49:00,3
2019-07-29 03:51:00,2
