78714,"SELECT DISTINCT p.objID, p.type from PhotoPrimary as p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-19 12:32:00,238
2019-05-19 12:33:00,239
2019-05-19 12:34:00,242
2019-05-19 12:35:00,241
2019-05-19 12:36:00,225
2019-05-19 12:37:00,224
2019-05-19 12:38:00,232
2019-05-19 12:39:00,243
2019-05-19 12:40:00,242
2019-05-19 12:41:00,242
2019-05-19 12:42:00,235
2019-05-19 12:43:00,227
2019-05-19 12:44:00,225
2019-05-19 12:45:00,222
2019-05-19 12:46:00,233
2019-05-19 12:47:00,241
2019-05-19 12:48:00,237
2019-05-19 12:49:00,228
2019-05-19 12:50:00,227
2019-05-19 12:51:00,226
2019-05-19 12:52:00,231
2019-05-19 12:53:00,185
2019-05-19 13:23:00,27
2019-05-19 13:27:00,202
2019-05-19 13:28:00,221
2019-05-19 13:29:00,227
2019-05-19 13:30:00,239
2019-05-19 13:31:00,242
2019-05-19 13:32:00,244
2019-05-19 13:33:00,238
2019-05-19 13:34:00,225
2019-05-19 13:35:00,228
2019-05-19 13:36:00,227
2019-05-19 13:37:00,229
2019-05-19 13:38:00,246
2019-05-19 13:39:00,245
2019-05-19 13:40:00,240
2019-05-19 13:41:00,229
2019-05-19 13:42:00,229
2019-05-19 13:43:00,227
2019-05-19 13:44:00,225
2019-05-19 13:45:00,247
2019-05-19 13:46:00,242
2019-05-19 13:47:00,233
2019-05-19 13:48:00,226
2019-05-19 13:49:00,232
2019-05-19 13:50:00,230
2019-05-19 13:51:00,201
2019-05-19 13:52:00,188
2019-05-19 13:53:00,239
2019-05-19 13:54:00,244
2019-05-19 13:55:00,229
2019-05-19 13:56:00,224
2019-05-19 13:57:00,227
2019-05-19 13:58:00,240
2019-05-19 13:59:00,242
2019-05-19 14:00:00,233
2019-05-19 14:01:00,240
2019-05-19 14:02:00,230
2019-05-19 14:03:00,209
2019-05-19 14:04:00,225
2019-05-19 14:05:00,197
2019-05-19 14:06:00,240
2019-05-19 14:07:00,244
2019-05-19 14:08:00,238
2019-05-19 14:09:00,227
2019-05-19 14:10:00,228
2019-05-19 14:11:00,224
2019-05-19 14:12:00,231
2019-05-19 14:13:00,241
2019-05-19 14:14:00,241
2019-05-19 14:15:00,241
2019-05-19 14:16:00,93
2019-05-19 14:17:00,198
2019-05-19 14:18:00,226
2019-05-19 14:19:00,221
2019-05-19 14:20:00,240
2019-05-19 14:21:00,242
2019-05-19 14:22:00,244
2019-05-19 14:23:00,240
2019-05-19 14:24:00,228
2019-05-19 14:25:00,224
2019-05-19 14:26:00,225
2019-05-19 14:27:00,239
2019-05-19 14:28:00,244
2019-05-19 14:29:00,249
2019-05-19 14:30:00,240
2019-05-19 14:31:00,227
2019-05-19 14:32:00,231
2019-05-19 14:33:00,225
2019-05-19 14:34:00,234
2019-05-19 14:35:00,247
2019-05-19 14:36:00,246
2019-05-19 14:37:00,238
2019-05-19 14:38:00,226
2019-05-19 14:39:00,227
2019-05-19 14:40:00,231
2019-05-19 14:41:00,234
2019-05-19 14:42:00,245
2019-05-19 14:43:00,241
2019-05-19 14:44:00,241
2019-05-19 14:45:00,233
2019-05-19 14:46:00,226
2019-05-19 14:47:00,230
2019-05-19 14:48:00,230
2019-05-19 14:49:00,225
2019-05-19 14:50:00,240
2019-05-19 14:51:00,245
2019-05-19 14:52:00,237
2019-05-19 14:53:00,225
2019-05-19 14:54:00,228
2019-05-19 14:55:00,225
2019-05-19 14:56:00,235
2019-05-19 14:57:00,240
2019-05-19 14:58:00,241
2019-05-19 14:59:00,240
2019-05-19 15:00:00,230
2019-05-19 15:01:00,226
2019-05-19 15:02:00,226
2019-05-19 15:03:00,235
2019-05-19 15:04:00,245
2019-05-19 15:05:00,219
2019-05-19 15:06:00,228
2019-05-19 15:07:00,229
2019-05-19 15:08:00,233
2019-05-19 15:09:00,229
2019-05-19 15:10:00,239
2019-05-19 15:11:00,246
2019-05-19 15:12:00,243
2019-05-19 15:13:00,245
2019-05-19 15:14:00,230
2019-05-19 15:15:00,230
2019-05-19 15:16:00,226
2019-05-19 15:17:00,231
2019-05-19 15:18:00,244
2019-05-19 15:19:00,243
2019-05-19 15:20:00,242
2019-05-19 15:21:00,231
2019-05-19 15:22:00,225
2019-05-19 15:23:00,231
2019-05-19 15:24:00,227
2019-05-19 15:25:00,243
2019-05-19 15:26:00,248
2019-05-19 15:27:00,248
2019-05-19 15:28:00,229
2019-05-19 15:29:00,231
2019-05-19 15:30:00,232
2019-05-19 15:31:00,232
2019-05-19 15:32:00,243
2019-05-19 15:33:00,250
2019-05-19 15:34:00,247
2019-05-19 15:35:00,241
2019-05-19 15:36:00,229
2019-05-19 15:37:00,231
2019-05-19 15:38:00,235
2019-05-19 15:39:00,242
2019-05-19 15:40:00,246
2019-05-19 15:41:00,243
2019-05-19 15:42:00,236
2019-05-19 15:43:00,228
2019-05-19 15:44:00,227
2019-05-19 15:45:00,228
2019-05-19 15:46:00,240
2019-05-19 15:47:00,242
2019-05-19 15:48:00,246
2019-05-19 15:49:00,234
2019-05-19 15:50:00,226
2019-05-19 15:51:00,233
2019-05-19 15:52:00,231
2019-05-19 15:53:00,248
2019-05-19 15:54:00,240
2019-05-19 15:55:00,237
2019-05-19 15:56:00,243
2019-05-19 15:57:00,231
2019-05-19 15:58:00,231
2019-05-19 15:59:00,227
2019-05-19 16:00:00,248
2019-05-19 16:01:00,246
2019-05-19 16:02:00,249
2019-05-19 16:03:00,242
2019-05-19 16:04:00,227
2019-05-19 16:05:00,218
2019-05-19 16:06:00,230
2019-05-19 16:07:00,240
2019-05-19 16:08:00,245
2019-05-19 16:09:00,243
2019-05-19 16:10:00,241
2019-05-19 16:11:00,209
2019-05-19 16:12:00,231
2019-05-19 16:13:00,232
2019-05-19 16:14:00,16
