507,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-08-29 15:45:00,1
2019-08-29 15:49:00,1
2019-08-29 15:50:00,1
2019-08-29 15:54:00,1
2019-08-29 15:58:00,1
2019-08-29 16:02:00,1
2019-08-29 16:06:00,1
2019-08-29 16:11:00,1
2019-08-29 16:12:00,1
2019-08-29 16:18:00,1
2019-08-29 16:21:00,1
2019-08-29 16:26:00,1
2019-08-29 16:27:00,1
2019-08-29 16:31:00,2
2019-08-29 16:34:00,1
2019-08-29 16:35:00,1
2019-08-29 16:36:00,1
2019-08-29 16:39:00,1
2019-08-29 16:41:00,1
2019-08-29 16:42:00,1
2019-08-29 16:45:00,2
2019-08-29 16:49:00,2
2019-08-29 16:51:00,1
2019-08-29 16:52:00,2
2019-08-29 16:55:00,2
2019-08-29 16:57:00,2
2019-08-29 16:59:00,1
2019-08-29 17:00:00,1
2019-08-29 17:01:00,1
2019-08-29 17:04:00,1
2019-08-29 17:06:00,2
2019-08-29 17:12:00,1
2019-08-29 17:13:00,1
2019-08-29 17:17:00,1
2019-08-29 17:18:00,1
2019-08-29 17:19:00,1
2019-08-29 17:21:00,1
2019-08-29 17:22:00,1
2019-08-29 17:25:00,1
2019-08-29 17:27:00,1
2019-08-29 17:29:00,1
2019-08-29 17:31:00,1
2019-08-29 17:33:00,1
2019-08-29 17:34:00,1
2019-08-29 17:37:00,1
2019-08-29 17:40:00,2
2019-08-29 17:44:00,1
2019-08-29 17:46:00,1
2019-08-29 17:48:00,1
2019-08-29 17:49:00,1
2019-08-29 17:55:00,1
2019-08-29 17:58:00,2
2019-08-29 18:05:00,1
2019-08-29 18:06:00,1
2019-08-29 18:11:00,2
2019-08-29 18:18:00,1
2019-08-29 18:22:00,1
2019-08-29 18:25:00,2
2019-08-29 18:32:00,1
2019-08-29 18:33:00,1
2019-08-29 18:37:00,2
2019-08-29 18:39:00,1
2019-08-29 18:40:00,1
2019-08-29 18:45:00,2
2019-08-29 18:50:00,1
2019-08-29 18:51:00,1
2019-08-29 18:57:00,1
2019-08-29 18:58:00,1
2019-08-29 19:04:00,1
2019-08-29 19:05:00,1
2019-08-29 19:09:00,2
2019-08-29 19:14:00,2
2019-08-29 19:22:00,1
2019-08-29 19:23:00,1
2019-08-29 19:27:00,1
2019-08-29 19:28:00,1
2019-08-29 19:32:00,1
2019-08-29 19:33:00,1
2019-08-29 19:38:00,1
2019-08-29 19:39:00,1
2019-08-29 19:43:00,1
2019-08-29 19:44:00,1
2019-08-29 19:52:00,1
2019-08-29 19:53:00,1
2019-08-29 19:58:00,1
2019-08-29 19:59:00,1
2019-08-29 20:04:00,2
2019-08-29 20:16:00,2
2019-08-29 20:23:00,1
2019-08-29 20:24:00,1
2019-08-29 20:40:00,1
2019-08-29 20:41:00,1
2019-08-29 20:54:00,1
2019-08-29 20:55:00,1
2019-08-29 21:13:00,1
2019-08-29 21:14:00,1
2019-08-29 21:20:00,2
2019-08-29 21:26:00,2
2019-08-29 21:32:00,2
2019-08-29 22:21:00,1
2019-08-29 22:22:00,1
2019-08-29 22:26:00,1
2019-08-29 22:27:00,1
2019-08-29 22:30:00,2
2019-08-29 22:34:00,2
2019-08-29 22:37:00,2
2019-08-29 22:39:00,1
