5606,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-02-22 15:51:00,8
2019-02-22 15:52:00,19
2019-02-22 15:53:00,6
2019-02-22 15:54:00,4
2019-02-22 16:01:00,8
2019-02-22 16:02:00,20
2019-02-22 16:03:00,5
2019-02-22 16:04:00,4
2019-02-22 16:11:00,8
2019-02-22 16:12:00,20
2019-02-22 16:13:00,7
2019-02-22 16:14:00,4
2019-02-22 16:21:00,8
2019-02-22 16:22:00,19
2019-02-22 16:23:00,2
2019-02-22 16:24:00,7
2019-02-22 16:31:00,8
2019-02-22 16:32:00,21
2019-02-22 16:33:00,2
2019-02-22 16:34:00,8
2019-02-22 16:41:00,8
2019-02-22 16:42:00,20
2019-02-22 16:43:00,2
2019-02-22 16:44:00,7
2019-02-22 16:51:00,9
2019-02-22 16:52:00,22
2019-02-22 16:53:00,2
2019-02-22 16:54:00,8
2019-02-22 17:01:00,8
2019-02-22 17:02:00,20
2019-02-22 17:03:00,2
2019-02-22 17:04:00,9
2019-02-22 17:11:00,10
2019-02-22 17:12:00,20
2019-02-22 17:13:00,2
2019-02-22 17:14:00,7
2019-02-22 17:21:00,8
2019-02-22 17:22:00,21
2019-02-22 17:23:00,2
2019-02-22 17:24:00,7
2019-02-22 17:31:00,8
2019-02-22 17:32:00,22
2019-02-22 17:33:00,2
2019-02-22 17:34:00,8
2019-02-22 17:41:00,8
2019-02-22 17:42:00,21
2019-02-22 17:43:00,2
2019-02-22 17:44:00,8
2019-02-22 17:51:00,9
2019-02-22 17:52:00,22
2019-02-22 17:53:00,2
2019-02-22 17:54:00,8
2019-02-22 18:01:00,10
2019-02-22 18:02:00,19
2019-02-22 18:03:00,2
2019-02-22 18:04:00,7
2019-02-22 18:11:00,8
2019-02-22 18:12:00,20
2019-02-22 18:13:00,2
2019-02-22 18:14:00,7
2019-02-22 18:21:00,8
2019-02-22 18:22:00,21
2019-02-22 18:23:00,2
2019-02-22 18:24:00,8
2019-02-22 18:31:00,9
2019-02-22 18:32:00,23
2019-02-22 18:33:00,2
2019-02-22 18:34:00,8
2019-02-22 18:41:00,8
2019-02-22 18:42:00,21
2019-02-22 18:43:00,2
2019-02-22 18:44:00,8
2019-02-22 18:51:00,8
2019-02-22 18:52:00,21
2019-02-22 18:53:00,2
2019-02-22 18:54:00,8
2019-02-22 19:01:00,9
2019-02-22 19:02:00,20
2019-02-22 19:03:00,2
2019-02-22 19:04:00,7
2019-02-22 19:11:00,8
2019-02-22 19:12:00,22
2019-02-22 19:13:00,2
2019-02-22 19:14:00,7
2019-02-22 19:21:00,8
2019-02-22 19:22:00,19
2019-02-22 19:23:00,2
2019-02-22 19:24:00,7
2019-02-22 19:31:00,8
2019-02-22 19:32:00,20
2019-02-22 19:33:00,2
2019-02-22 19:34:00,7
2019-02-22 19:41:00,11
2019-02-22 19:42:00,22
2019-02-22 19:43:00,2
2019-02-22 19:44:00,8
2019-02-22 19:51:00,9
2019-02-22 19:52:00,19
2019-02-22 19:53:00,2
2019-02-22 19:54:00,7
2019-02-22 20:01:00,9
2019-02-22 20:02:00,19
2019-02-22 20:03:00,2
2019-02-22 20:04:00,7
2019-02-22 20:11:00,9
2019-02-22 20:12:00,20
2019-02-22 20:13:00,2
2019-02-22 20:14:00,8
2019-02-22 20:21:00,8
2019-02-22 20:22:00,21
2019-02-22 20:23:00,2
2019-02-22 20:24:00,7
2019-02-22 20:31:00,8
2019-02-22 20:32:00,19
2019-02-22 20:33:00,2
2019-02-22 20:34:00,8
2019-02-22 20:41:00,9
2019-02-22 20:42:00,19
2019-02-22 20:43:00,2
2019-02-22 20:44:00,9
2019-02-22 20:51:00,8
2019-02-22 20:52:00,19
2019-02-22 20:53:00,2
2019-02-22 20:54:00,8
2019-02-22 21:01:00,8
2019-02-22 21:02:00,20
2019-02-22 21:03:00,2
2019-02-22 21:04:00,7
2019-02-22 21:11:00,9
2019-02-22 21:12:00,21
2019-02-22 21:13:00,2
2019-02-22 21:14:00,8
2019-02-22 21:21:00,9
2019-02-22 21:22:00,21
2019-02-22 21:23:00,2
2019-02-22 21:24:00,8
2019-02-22 21:31:00,9
2019-02-22 21:32:00,21
2019-02-22 21:33:00,2
2019-02-22 21:34:00,8
2019-02-22 21:41:00,9
2019-02-22 21:42:00,19
2019-02-22 21:43:00,2
2019-02-22 21:44:00,7
2019-02-22 21:51:00,9
2019-02-22 21:52:00,20
2019-02-22 21:53:00,2
2019-02-22 21:54:00,8
2019-02-22 22:01:00,10
2019-02-22 22:02:00,19
2019-02-22 22:03:00,2
2019-02-22 22:04:00,7
2019-02-22 22:11:00,8
2019-02-22 22:12:00,22
2019-02-22 22:13:00,2
2019-02-22 22:14:00,8
2019-02-22 22:21:00,10
2019-02-22 22:22:00,21
2019-02-22 22:23:00,2
2019-02-22 22:24:00,7
2019-02-22 22:31:00,8
2019-02-22 22:32:00,19
2019-02-22 22:33:00,2
2019-02-22 22:34:00,8
2019-02-22 22:41:00,8
2019-02-22 22:42:00,23
2019-02-22 22:43:00,2
2019-02-22 22:44:00,8
2019-02-22 22:51:00,11
2019-02-22 22:52:00,20
2019-02-22 22:53:00,2
2019-02-22 22:54:00,8
2019-02-22 23:01:00,10
2019-02-22 23:02:00,20
2019-02-22 23:03:00,2
2019-02-22 23:04:00,7
2019-02-22 23:11:00,4
2019-02-22 23:12:00,27
2019-02-22 23:13:00,2
2019-02-22 23:14:00,7
2019-02-22 23:21:00,4
2019-02-22 23:22:00,27
2019-02-22 23:23:00,2
2019-02-22 23:24:00,7
2019-02-22 23:31:00,4
2019-02-22 23:32:00,24
2019-02-22 23:33:00,2
2019-02-22 23:34:00,8
2019-02-22 23:41:00,4
2019-02-22 23:42:00,26
2019-02-22 23:43:00,2
2019-02-22 23:44:00,7
2019-02-22 23:51:00,4
2019-02-22 23:52:00,23
2019-02-22 23:53:00,2
2019-02-22 23:54:00,7
