1512,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-01-14 07:18:00,14
2019-01-14 07:19:00,6
2019-01-14 07:20:00,13
2019-01-14 07:21:00,11
2019-01-14 07:22:00,6
2019-01-14 07:23:00,8
2019-01-14 07:24:00,17
2019-01-14 07:25:00,7
2019-01-14 07:26:00,8
2019-01-14 07:27:00,11
2019-01-14 07:28:00,11
2019-01-14 07:29:00,7
2019-01-14 07:30:00,8
2019-01-14 07:31:00,11
2019-01-14 07:32:00,8
2019-01-14 07:33:00,11
2019-01-14 07:34:00,8
2019-01-14 07:35:00,6
2019-01-14 07:36:00,9
2019-01-14 07:37:00,11
2019-01-14 07:38:00,8
2019-01-14 07:39:00,8
2019-01-14 07:40:00,12
2019-01-14 07:41:00,7
2019-01-14 07:42:00,11
2019-01-14 07:43:00,8
2019-01-14 07:44:00,8
2019-01-14 07:45:00,10
2019-01-14 07:46:00,7
2019-01-14 07:47:00,9
2019-01-14 07:48:00,6
2019-01-14 07:49:00,10
2019-01-14 07:50:00,7
2019-01-14 07:51:00,8
2019-01-14 07:52:00,12
2019-01-14 07:53:00,6
2019-01-14 07:54:00,6
2019-01-14 07:55:00,10
2019-01-14 07:56:00,9
2019-01-14 07:57:00,10
2019-01-14 07:58:00,7
2019-01-14 07:59:00,10
2019-01-14 08:00:00,8
2019-01-14 08:01:00,8
2019-01-14 08:02:00,12
2019-01-14 08:03:00,8
2019-01-14 08:04:00,9
2019-01-14 08:05:00,10
2019-01-14 08:06:00,15
2019-01-14 08:07:00,6
2019-01-14 08:08:00,10
2019-01-14 08:09:00,14
2019-01-14 08:10:00,7
2019-01-14 08:11:00,8
2019-01-14 08:12:00,14
2019-01-14 08:13:00,9
2019-01-14 08:14:00,9
2019-01-14 08:15:00,16
2019-01-14 08:16:00,10
2019-01-14 08:17:00,9
2019-01-14 08:18:00,13
2019-01-14 08:19:00,13
2019-01-14 08:20:00,10
2019-01-14 08:21:00,12
2019-01-14 08:22:00,13
2019-01-14 08:23:00,14
2019-01-14 08:24:00,12
2019-01-14 08:25:00,12
2019-01-14 08:26:00,15
2019-01-14 08:27:00,10
2019-01-14 08:28:00,12
2019-01-14 08:29:00,16
2019-01-14 08:30:00,12
2019-01-14 08:31:00,10
2019-01-14 08:32:00,13
2019-01-14 08:33:00,12
2019-01-14 08:34:00,9
2019-01-14 08:35:00,11
2019-01-14 08:36:00,12
2019-01-14 08:37:00,11
2019-01-14 08:38:00,10
2019-01-14 08:39:00,11
2019-01-14 08:40:00,13
2019-01-14 08:41:00,10
2019-01-14 08:42:00,10
2019-01-14 08:43:00,15
2019-01-14 08:44:00,10
2019-01-14 08:45:00,18
2019-01-14 08:46:00,3
2019-01-14 08:47:00,4
2019-01-14 08:48:00,3
2019-01-14 08:49:00,2
2019-01-14 08:50:00,2
2019-01-14 08:51:00,1
2019-01-14 08:52:00,4
2019-01-14 08:53:00,3
2019-01-14 08:54:00,2
2019-01-14 08:55:00,2
2019-01-14 08:56:00,2
2019-01-14 08:57:00,2
2019-01-14 08:58:00,2
2019-01-14 08:59:00,1
2019-01-14 09:00:00,2
2019-01-14 09:01:00,2
2019-01-14 09:02:00,2
2019-01-14 09:03:00,2
2019-01-14 09:04:00,2
2019-01-14 09:06:00,3
2019-01-14 09:07:00,2
2019-01-14 09:08:00,3
2019-01-14 09:09:00,3
2019-01-14 09:10:00,3
2019-01-14 09:11:00,2
2019-01-14 09:12:00,2
2019-01-14 09:13:00,2
2019-01-14 09:14:00,2
2019-01-14 09:15:00,6
2019-01-14 09:16:00,13
2019-01-14 09:17:00,15
2019-01-14 09:18:00,9
2019-01-14 09:19:00,10
2019-01-14 09:20:00,5
2019-01-14 09:21:00,6
2019-01-14 09:22:00,7
2019-01-14 09:23:00,5
2019-01-14 09:24:00,6
2019-01-14 09:25:00,6
2019-01-14 09:26:00,5
2019-01-14 09:27:00,7
2019-01-14 09:28:00,5
2019-01-14 09:29:00,6
2019-01-14 09:30:00,7
2019-01-14 09:31:00,5
2019-01-14 09:32:00,8
2019-01-14 09:33:00,4
2019-01-14 09:34:00,6
2019-01-14 09:35:00,7
2019-01-14 09:36:00,5
2019-01-14 09:37:00,8
2019-01-14 09:38:00,4
2019-01-14 09:39:00,5
2019-01-14 09:40:00,7
2019-01-14 09:41:00,4
2019-01-14 09:42:00,5
2019-01-14 09:43:00,7
2019-01-14 09:44:00,4
2019-01-14 09:45:00,8
2019-01-14 09:46:00,4
2019-01-14 09:47:00,4
2019-01-14 09:48:00,2
